id,text,shohei516,ktakano,toC1421,sunya9,H-tsukiji,kohei1110,unblee
0," ""comment evaluation/pptx_students/aoki/.txt""	-- ::. ",0,0,0,0,0,0,0
1,学習者と英単語の使用頻度に基づいた,0,0.141421356,0,0,0.042333376,0.204124145,0
3,発音,0,0,0,0,0,0,0
5,逐語訳,0,0,0,0,0,0,0
7,意訳を重視した英語教育をサポートする,0,0.174574312,0.173421994,0.122627868,0.15677236,0.062994079,0.094491118
8,e,0,0.115470054,0,0,0,0,0
9,ラーニングシステム,0,0,0,0,0,0,0
11,野村,0,0,0,0,0,0,0
13,言語学習における,0,0.163299316,0,0,0,0.11785113,0
14,e,0,0.115470054,0,0,0,0,0
15,ラーニングシステムについて,0,0,0,0,0,0,0
16,現在までの関連研究で,0,0.2,0.132453236,0,0.119736868,0,0
18,ラーニングに用いる教材を学習者に,0,0.103279556,0,0,0.04637389,0.223606798,0
19,選択させるのではなく,0,0,0,0,0.155542754,0.25,0
20,難易度などの観点から実験者が選択して,0,0.174574312,0.173421994,0.183941802,0.274351631,0.377964473,0.094491118
21,いる,0,0,0,0,0.103695169,0,0
22,下記のようなコンテンツは無作為,0,0.051639778,0,0,0.04637389,0.074535599,0
23,に選択された例題に,0,0,0,0,0.051847585,0.25,0
24,比べて,0,0,0,0,0,0,0
25,学習者が英語を話すような局面で発言の可能性の高い,0,0.182574186,0,0,0.065582584,0.158113883,0
26,英文と考え,0,0,0,0,0,0,0
27,られる,0,0,0,0,0,0,0
29,学習者の関心のるオンラインコンテンツ,0,0.141421356,0,0,0.042333376,0.272165527,0
31,学習者自身の執筆した英語ドキュメント,0,0.261861468,0.173421994,0.122627868,0.07838618,0.251976315,0.094491118
32,が参加してる英語での会話が行われて,0,0.163299316,0.162221421,0.114707867,0.036661779,0.11785113,0.088388348
33,いるため,0,0,0,0,0.219970673,0,0
34,学習者の英会話に用いる英文が直接取得できる,0,0.122474487,0,0,0.036661779,0.176776695,0
36,slack,0,0,0,0,0,0,0
37,であればログファイルを取得できる,0,0,0,0,0,0,0
38,執筆,0,0,0,0,0,0,0
39,を通して用いた,0,0,0,0,0,0,0
41,英文は学習者自身が選択したものであり,0,0.21821789,0.173421994,0.122627868,0.11757927,0.314970394,0.094491118
43,学習者との関連度が高い,0,0.25819889,0,0,0.092747779,0.223606798,0
44,実装,0,0.230940108,0,0,0.103695169,0,0
45,頻出単語から、英文を出題するこ,0,0,0,0,0.127000127,0,0
46,とができた,0,0,0,0,0,0,0
48,既存の英会話学習用のテキストの問題での学習をした学習者との,0,0.317542648,0.114707867,0.081110711,0.103695169,0.25,0.0625
49,発音正答率の比較,0,0.057735027,0,0,0,0,0
,,,,,,,,
,,0,3.193994115,1.103070499,0.747643983,2.021341407,3.326536967,0.528852821
