id,text,ktakano,H-tsukiji,kohei1110,toC1421
0," ""comment evaluation/pptx_students/aoki/.txt""	-- ::. ",0,0,0,0
1,学習者の読み書き頻度に基づいた,0.214834462,0.163299316,0.332181919,0
2,学習者の読み書き頻度の高い英文を問題として出題,0.198148481,0.322748612,0.196959649,0.058925565
3,し、高い学習意欲を保ったまま学習すること、,0.313822957,0.165144565,0.167967753,0.050251891
4,また,0,0,0,0
5,登録された単語データの頻出,0.032686023,0,0,0.136082763
6,単語から、英文を出題することが,0.214834462,0.326598632,0,0.223606798
7,できる,0,0.182574186,0,0
8,することができる,0.231125082,0.210818511,0,0
10,d,0,0,0,0
11,ocx,0,0,0,0
13,office,0,0,0,0
14,ファイルや,0,0,0,0
16,テキ,0,0,0,0
17,スト入力などから問題を登録,0.040032038,0,0,0
18,発音正答率の比較,0.040032038,0,0,0
20,また,0,0,0,0
22,学習者にマッチした問題が出題されていたかどうかもアン,0.241402275,0.110096377,0.223957004,0.050251891
23,ケートで回答させる,0,0,0,0
,,,,,
,,1.526917819,1.481280199,0.921066326,0.519118908
