id,text,ktakano,shohei516,sunya9,kohei1110,H-tsukiji,HoshinoYuta,unblee
0," ""comment evaluation/pptx_students/aoki/.txt""	-- ::. ",0,0,0,0,0,0,0
1,学習,0,0,0,0.158113883,0.158113883,0.2,0.416025147
2,・英語学習,0,0,0,0.111803399,0.111803399,0.424264069,0.294174203
3,を集め,0,0,0,0,0,0,0
5,・英語学習に関する,0,0,0,0.111803399,0.111803399,0.424264069,0.294174203
6,ラーニングシステムは学習者の学習意欲を維持するこ,0.055901699,0,0,0.1,0.25,0.316227766,0.394676109
7,とが困難である,0,0,0,0,0,0,0
9,現在,0,0,0,0,0,0,0
10,までの関連研究で,0,0,0,0,0,0,0.098058068
11,本研究ではこのような英文を率先して出題するシステムを提案す,0.102062073,0.077151675,0,0.136930639,0.136930639,0.230940108,0.240192231
15,開会式はどこで行われましたか？,0.079056942,0,0,0.070710678,0,0,0
17,という文章を英語で発話したい,0.088388348,0.133630621,0,0.079056942,0,0.3,0.138675049
18,“where ,0,0,0,0,0,0,0
19,did it take ,0,0,0,0,0,0,0
21,という表現を英文で使用した学習者,0.072168784,0.109108945,0,0.129099445,0.064549722,0.326598632,0.396296962
22,マッチ,0.176776695,0.267261242,0,0,0,0,0.138675049
23,した英文の例,0.306186218,0.15430335,0,0.182574186,0.091287093,0.115470054,0.240192231
25,Where did it take place,0,0,0,0,0,0,0
28,読み書き頻度の高い英文を使用しているので発話の難易度が低い,0.053300179,0.080582296,0,0.095346259,0,0.060302269,0.125436302
29,マッチしていない英文の例,0.395284708,0.239045722,0.169030851,0.141421356,0.070710678,0.089442719,0.248069469
31,Where was the Opening ceremony ,0,0,0,0,0,0,0
34,つから,0,0,0,0,0,0,0
35,実装,0,0,0,0,0,0,0.138675049
37,例文データについて,0,0,0,0,0,0,0
38,例文データは英借文サイトから取得したい,0.0625,0.094491118,0,0.055901699,0,0.070710678,0.098058068
39,Academic ,0,0,0,0,0,0,0
40,Phrasebank,0,0,0,0,0,0,0
42,論文用の英借文サイト,0,0,0,0,0.064549722,0,0
44,http,0,0,0,0,0,0,0
45,://www.phrasebank.manchester.ac.uk,0,0,0,0,0,0,0
47,英借文,0,0,0,0,0,0,0
48,ドットコム,0,0,0,0,0,0,0
50,ビジネス用の英文に秀いたサイト,0.072168784,0,0.15430335,0,0,0,0
52,http://www.eishakubun.com/,0,0,0,0,0,0,0
53,実験について,0,0,0,0,0,0,0
54,登録された英文から抽出した英単語データと,0.1875,0.094491118,0,0.223606798,0.055901699,0.070710678,0.098058068
55,一致,0,0,0,0,0,0,0
56,する例文をラン,0.102062073,0,0,0,0.273861279,0.230940108,0.160128154
57,ダムに出題したものと,0.088388348,0.133630621,0,0.079056942,0,0.2,0.138675049
59,登録された英文データでそれぞれ学習した,0.1875,0.094491118,0,0.279508497,0.055901699,0.141421356,0.245145169
60,際の成績を比較,0,0,0,0,0,0,0
,,,,,,,,
,,2.029244849,1.478187827,0.323334201,1.954934122,1.445413214,3.201292505,3.903384577
