id,text,shohei516,H-tsukiji,kohei1110,toC1421,unblee
0," ""comment evaluation/pptx_students/aoki/.txt""	-- ::. ",0,0,0,0,0
1,ラーニングシステムは学習者の学習意欲を維持する,0,0.368229847,0.165379646,0.096225045,0
2,ことが困難である,0,0,0,0,0
3,現在までの関連研究では,0,0.106298801,0.143222975,0,0.109108945
4,学習者,0,0.195283366,0.087705802,0,0
5,が,0,0,0,0,0
6,読み書きした英文中に含まれる英単語の出現,0,0.130188911,0,0,0.06681531
7,頻度に基づいて，発音練習する対象となる英文を提示,0,0.153429103,0.082689823,0.096225045,0.062994079
8,する．,0,0.368229847,0.248069469,0.288675135,0
9,これに,0,0,0,0,0
13,学習者は，英会話において実際に発話,0,0.247016091,0.05547002,0,0
14,する可能性が高いと考えられる英単語の発音を優先的,0,0.378444631,0.078446454,0.091287093,0.05976143
15,に練習することができる,0,0.230143654,0.124034735,0.144337567,0
16,読み書き頻度による出題が有効と思われる例,0,0.1391778,0,0,0.071428571
18,開会式はどこで行わ,0,0,0,0,0
19,れましたか？,0,0,0,0,0
21,備考,0,0,0,0,0
22,マッチしていない例文,0.188982237,0,0,0.144337567,0.094491118
23,Where ,0,0,0,0,0
24,was the ,0,0,0,0,0
25,Opening ceremony ?,0,0,0,0,0
26,読み書き頻度が高い英,0,0.230143654,0,0.144337567,0
27,文を使っておらず,0,0,0,0.166666667,0
28,実際に発話する機会が,0,0.322201116,0.124034735,0.144337567,0
29,少ない,0,0,0,0,0
30,マッチしている例文,0,0.046028731,0,0.144337567,0.094491118
31,Where did it take ,0,0,0,0,0
32,place?,0,0,0,0,0
33,読み書き頻度の高い英,0,0.230143654,0,0.144337567,0
34,文を使用した表現であ,0,0.041169348,0,0.129099445,0.084515425
36,発話する可能性が,0,0.368229847,0.124034735,0.144337567,0
37,高い,0,0.184114924,0,0,0
38,“where did it take “,0,0,0,0,0
39,という表現を過去に使用した,0,0.046028731,0,0,0.094491118
40,学習者場合,0,0.159448201,0.071611487,0,0
41,ビジネス用の英文に秀でたサイト,0,0,0,0,0
,,,,,,
,,0.188982237,3.94395026,1.30469988,1.8785414,0.738097117
