id,text,shohei516,kohei1110,H-tsukiji,unblee
0," ""comment evaluation/pptx_students/aoki/.txt""	-- ::. ",0,0,0,0
2,近年，英語学習の分野はグローバル化の進む現代において注目を,0,0,0.103142125,0.111111111
3,集めている．しかし，日本では英語スピーキングを専門的に教育できる,0,0,0.065232807,0.070272837
4,教員が少ないため，英語の教育課程において,0,0,0,0
5,ラーニングを用いた学,0,0,0,0
6,習方法が増加している,0,0.116444502,0.092253121,0.149071198
7,・また，教育課程で英語教育を受けた学習者であっても，その多くは,0,0.037582301,0.148872834,0.12830006
8,文,0,0,0,0
9,章中,0,0,0,0
10,で英文を使用することは多いが口頭での説明を求められた際など,0.113960576,0.078506867,0.186591124,0.201007563
11,にうまく発音ができないという問題を抱えている,0,0.0531494,0.168430384,0
12,既存の英語教育の発音問題を指摘し，解決策として,0,0.130188911,0.171903541,0.111111111
13,ラーニングを用いた英語,0,0,0,0
14,学習について提案している,0,0.130188911,0.257855312,0.333333333
16,e,0,0,0,0
17,ラーニングシステムを使用しての学習の際に日本語と英語の音声の弁別の仕方、,0,0.082338697,0.163082018,0.245954929
18,特に母音の発音に違いをスピーキングと,0,0,0.04612656,0
19,リスニング,0,0,0,0
20,に重点に置いて学習させる,0,0,0.230632802,0.149071198
23,英,0,0,0,0
24,語,0,0,0,0
25,教育の専門家ではない工学専門教員であっても容易に英語教育を実現するため．,0,0.031575449,0.050031279,0.080845208
26,意訳を通してより自然な日本語への翻訳を目指す機能，発音記号に準拠した的確な,0,0.075164603,0.119098267,0.12830006
27,スピーキングを目指す機能を実装した,0,0.116444502,0.092253121,0.149071198
29,ラーニングシステム,0,0,0,0
30,研究動機,0,0,0.218797487,0
31,・読み書き頻度の高い英単語は学習者自身が意味や用,0,0.130188911,0.206284249,0.148148148
32,法をよく理解しており，自身に関連の強いフレーズで,0,0.086792607,0.068761416,0.111111111
33,あると考えられる．,0,0,0.119098267,0.06415003
34,・学習者,0,0,0.364662479,0.314269681
35,が,0,0,0,0
36,読み書きした英文中に含まれる英単語の出,0.133630621,0.184114924,0.145864991,0.11785113
37,現頻度に基づいて，発音練習する対象となる英文を提,0.119522861,0.205846742,0.163082018,0.105409255
38,示,0,0,0,0
39,する,0,0.130188911,0.206284249,0.333333333
40,ことで,0,0,0.309426374,0.222222222
42,英会話において実際に発話する可能性,0,0.0531494,0.084215192,0.136082763
43,が高いと考えられる英単語の発音を優先的に練習する,0,0.130188911,0.171903541,0.111111111
44,ことができる,0,0,0.364662479,0.314269681
45,難易度などの観点から研究者が選択して,0,0.098413566,0.389840588,0.16798421
46,しかし，より効率的な学習形式を目指すため,0,0,0.145864991,0.15713484
47,読み書き頻度による出題が有効と思われる例,0,0.147620349,0.194920294,0
48,同じ意味あいの英文であっても,0.21821789,0.075164603,0.059549133,0
50,学習者の読み書き頻度の高い英文に応じて使用する英文が分かれる,0.209656967,0.216647443,0.286064784,0.246533421
51,学習者ごとの,0,0,0.297745667,0.25660012
52,読み書き頻度が高い英文,0.188982237,0.260377822,0.103142125,0
53,開会式はどこで行われ,0,0,0,0
54,ましたか？,0,0,0,0
55,ceremony,0,0,0,0
56,Where,0,0,0,0
57,Opening ,0,0,0,0
58,ceremony,0,0,0,0
60,単語レベルで一致した表,0,0.116444502,0.092253121,0.149071198
61,現,0,0,0,0
62,Where did it take ,0,0,0,0
63,句レベルで一致した表現,0,0.116444502,0.092253121,0.198761598
65,開会式はどこで行われましたか？,0,0,0,0
67,という文章を英語で発話したい,0,0.130188911,0.103142125,0.166666667
68,ユーザ情報データベース,0,0,0,0
69,音声認識,0,0,0,0
70,UI,0,0,0,0
71,問題生成,0,0,0.145864991,0
72,プログラム,0,0,0,0
73,例文データベース,0,0,0,0
74,英語,0,0,0,0
75,ドキュメント,0,0,0,0
76,オンライン,0,0,0,0
77,の活動履歴,0,0,0,0
78,翻訳した英文,0.21821789,0.225493808,0.1786474,0.19245009
80,学習者の関心のある,0,0,0.309426374,0.277777778
81,英文コンテンツ,0.267261242,0.092057462,0.145864991,0
82,発音練習を行う,0,0.075164603,0.119098267,0
83,正解音声を聞く,0,0,0,0
84,単語頻度,0,0.092057462,0,0
85,分析,0,0,0,0
86,共起頻度,0,0.092057462,0,0
87,頻出度に,0,0,0.072932496,0
88,応じて単語を,0,0,0,0
89,例文データベース,0,0,0,0
90,から抽出する,0,0.092057462,0.145864991,0.23570226
91,抽出元の,0,0,0,0
92,ドキュメントごと,0,0,0,0
93,に重みづけをする,0,0.075164603,0.119098267,0.19245009
95,英語ドキュメント,0,0,0,0
96,登録された単語データからドキュ,0.15430335,0.0531494,0.042107596,0
97,メントの形式ごとに重みづけを行,0,0,0,0
98,い頻出スコアを算出し，それに応,0,0.098413566,0.077968118,0.125988158
99,じて出題を行う,0,0,0.072932496,0
101,実験,0,0,0.103142125,0.222222222
102,実験目的,0,0,0.072932496,0.23570226
103,提案システムを用いた学習方法,0,0,0.138379681,0.149071198
104,読み書き頻度に基づ,0,0.130188911,0.051571062,0
105,いて学習する例文を選択する,0,0.092057462,0.291729983,0.353553391
106,とベースライン,0,0.150329206,0,0
107,無作為,0,0,0,0
108,に例文を抽出する,0,0.075164603,0.119098267,0.19245009
111,学習意欲と正答率を面で比較,0,0,0.126322788,0.498970133
112,することで提案システムの有用性を検証する,0,0.082338697,0.228314826,0.281091348
113,発音練習,0,0.092057462,0.145864991,0
114,アプリケーション,0,0,0,0
115,問題を解く,0,0,0.145864991,0
117,無作為に出題,0,0,0.059549133,0
119,読み書き頻度の高い単語を,0,0.195283366,0.051571062,0
120,含む英文を出題,0.21821789,0.075164603,0.119098267,0
121,例文データ,0.267261242,0.092057462,0,0
122,実験に用いる例文データ,0.188982237,0.065094455,0.051571062,0.111111111
123,Academic ,0,0,0,0
124,Phrasebank,0,0,0,0
125,英文論文用の英借文,0.15430335,0.0531494,0.042107596,0
127,用途別の英例文,0,0,0,0
129,を収,0,0,0,0
130,録し,0,0,0,0
131,たものを実験の例文データとして採用したい,0.3086067,0.159448201,0.126322788,0.272165527
134,シチュエーション別ごとに分類された,0,0,0.042107596,0
135,例文での発話練習での比較をすることによって,0,0.106298801,0.252645576,0.272165527
136,より平等な学習条件での比較が可能であると考え,0,0,0.168430384,0.181443685
137,られる,0,0,0,0
138,X ,0,0,0,0
139,was ,0,0,0,0
140,selected ,0,0,0,0
141,for its reliability and validity A ,0,0,0,0
142,case ,0,0,0,0
143,stud ,0,0,0,0
145,例文データの例,0.21821789,0.150329206,0.119098267,0
146,(X,0,0,0,0
147,はその信頼性と有効性のために,0,0,0,0
148,選ばれた,0,0,0,0
150,実験手順,0,0,0.145864991,0.23570226
152,被験者に英文で記述されたドキュメントをアップロードさせ,0.109108945,0.037582301,0.119098267,0
155,実験システムを用いて,0,0,0.059549133,0.12830006
157,ランダムに例文データか出題した問題,0.15430335,0.159448201,0.21053798,0.136082763
158,に回答される,0,0,0.059549133,0
160,実験システムを用いて,0,0,0.059549133,0.12830006
162,アップロードされたドキュメントの頻,0,0,0.042107596,0
163,出単語とマッチする英文を出題してたものを回答させる,0.21821789,0.150329206,0.238196534,0.224525105
165,それぞれの正解率を記録し，出題された英文対してのアン,0.113960576,0.157013734,0.155492603,0.167506303
166,ケートを行う,0,0,0,0
,,,,,
,,3.574933704,5.852307352,11.05879828,9.992891744
