id,text,H-tsukiji,toC1421,kohei1110
0," ""comment evaluation/pptx_students/aoki/.txt""	-- ::. ",0,0,0
1,とともに英語で話すというスキルが重要に益々なりつつある,0.026270347,0,0.042524326
2,発話、聞き取りという分野においては,0,0,0
3,カタカナ英語発音になってしまう，練習継続性の欠如や適切な指,0,0.055048188,0
4,導者の不足などの問題を抱えている．,0.028375218,0.149071198,0.137794564
5,研究目的,0.049147319,0,0.079555728
6,英文,0,0,0
7,の読み書きはできるが，会話中に簡単な単語が,0.085125653,0,0.045931521
8,思いつかな,0,0,0
9,い,0,0,0
10,単語,0.139009609,0,0
11,を知っていたとしても発音が通じないといった経験を,0,0,0
12,持つ,0,0,0
13,話す,0,0,0
14,ことに苦手意識の,0,0,0
15,ある,0.069504805,0,0.11250879
16,上記のような問題を抱えた,0.034752402,0,0.056254395
17,学習者を対象として,0.080257235,0,0
18,読み書き,0.069504805,0,0.11250879
19,頻度に基づいた出題が可能な，,0.034752402,0,0.056254395
20,音声認識機能を活用した英語スピーキング学習システムを提案す,0.062869461,0.055048188,0.169613383
22,学習者,0.098294637,0,0
23,がこれまでに読み書きした英文中に含まれる英,0.069504805,0.060858062,0.15001172
24,単語の出現頻度に基づいて，発音練習する対象となる,0.139009609,0.060858062,0.18751465
25,英文を提示,0,0,0
26,ことで,0.069504805,0,0.11250879
27,普段の英語の読み書き経験・学習において，正しい英,0.052540694,0,0.042524326
28,語発音を意識した学習を導入することにより，学習者,0.140450162,0.105409255,0.227349431
29,は，英会話において実際に発話する可能性が高いと考,0.024573659,0.064549722,0.159111457
30,えられる英単語の発音を優先的に練習することができ,0.065938047,0.057735027,0.21347042
32,読み書き頻度による出題が有効と思われる例,0.131351734,0.069006556,0.170097302
33,という文章を英語で発話したい,0.069504805,0.091287093,0.11250879
34,()発音正誤判定機能,0,0,0.056254395
35,Web記事論文原稿,0,0,0
36,()英単語頻度算出機能,0.034752402,0,0.11250879
37,学習者,0.098294637,0,0
38,()英語例文出題機能,0.034752402,0,0.056254395
39,共起頻度分析,0.040128618,0,0.06495698
40,資料,0,0,0
41,実装,0,0,0
42,学習者,0.098294637,0,0
43,がアップロードしたマイ,0.062166987,0.081649658,0.100630921
44,クロソフト,0,0,0
45,Office ,0,0,0
48,，自動で英文データ,0,0,0
49,を抽出し，,0.098294637,0.129099445,0.159111457
50,計算することが,0.080257235,0.105409255,0.324784901
51,でき,0,0,0
53,英文発話の正誤判定を行うため,0,0,0
55,音声,0,0,0
56,認識,0,0,0
57,を使用した．,0.098294637,0.129099445,0.159111457
58,発話練習用の例文データベース,0.031083494,0,0
60,と英借文,0,0,0
61,ドットコムの英文を利,0,0,0
62,用した．,0.098294637,0.129099445,0.159111457
63,プロトタイプシステム図,0.080257235,0.105409255,0.06495698
64,英文データベース,0,0,0
65,(javascript),0,0,0
66,学習者の作成した,0.139009609,0.091287093,0.11250879
67,(docx，pptx...),0,0,0
68,(javascript),0,0,0
69,(php),0,0,0
70,(javascript),0,0,0
71,英語例文出題機能,0.034752402,0,0.056254395
72,について，英単語頻度算出機能,0.034752402,0,0.11250879
73,によりある学習者,0.120385853,0,0.06495698
74,を，英単語スコア,0.049147319,0,0
75,実験１,0,0,0
76,データ,0,0,0
77,手順,0,0,0
78,名の被験者から提供された英文コンテンツをプロトタイプシステム,0,0,0.11250879
79,にアップロードする,0.040128618,0.105409255,0.259827921
80,結果,0,0,0
81,to,0,0,0
82,実験,0,0,0
83,結果の表は全て載せるのか？,0.124333974,0,0.050315461
84,結果への,0,0,0
,,,,
,,2.937623948,1.645334202,4.214605638
