id,text,ktakano,H-tsukiji,kaseiaoki,unblee,shohei516
0," ishikawa/.txt	-- ::. 
",0,0,0,0,0
1,ソフトウェア開発では，設計や実装に関する情報共有をする,0.260132991,0.061313934,0.145478593,0.051917413,0.097590007
2,際，参加者各自でメモを取ったり，議事録を残すことで必要,0.048365083,0.051298918,0,0.043437224,0
3,な情報を記録している．,0.114707867,0.081110711,0.19245009,0.206040846,0
4,何度もする事になったり，十分に共有出来たか確認出来ない,0.148466445,0,0,0.076193932,0
5,という問題がある,0,0.057353933,0,0.097128586,0
6,ソフトウェア開発では，開発や設計に関する情報を共有する,0.254906371,0.054073807,0.19245009,0.045786855,0
7,ため，意見交換を何度もする機会がある．,0.20232566,0.030656967,0.072739297,0.155752239,0
8,「なぜこの技術なんだっけ？」「この人に実装を任せれば早,0,0.024455799,0,0.041415768,0.311399578
9,く終わった,0,0,0,0,0
11,」といった振り返りをする事がある．,0.26765169,0.040555355,0,0.137360564,0
12,現在の問題を素早く解決したい．,0.102597835,0,0.172132593,0.122859023,0
13,本研究のアプローチ,0,0,0,0,0
15,物理ボタンを利用し，議論にタグを付けて議論を記録する．,0.375284168,0.234146453,0.333333333,0.356873214,0.074535599
17,現在と過去の議論をタグで紐付け，新しい議論での参考情報,0.169675937,0.269952762,0.320256308,0.190484829,0.071611487
18,として利用する．,0.432590456,0,0,0.097128586,0
19,効率,0,0,0,0,0
20,のよい,0,0.081110711,0,0,0
21,議論に繋げられる．,0.132453236,0.280975743,0.111111111,0.158610317,0
,,,,,,
,,2.509157739,1.267005093,1.539951415,1.780989396,0.555136671
