id,text,shohei516,ktakano,kohei1110,kaseiaoki,H-tsukiji,unblee
0," ishikawa/.txt	-- ::. 
",0,0,0,0,0,0
1,という問題がある．,0,0,0.172773685,0.426401433,0,0
6,書き込みの時間軸表示によるホワイトボードログの振り返り支援システムの実,0,0,0.03863337,0,0,0.064549722
7,装,0,0,0,0,0,0
8,議論の関連研究,0.092450033,0.268462422,0.282138246,0,0,0
11,知識活動支援システムによる会議コンテンツ間の関連性の獲得とその応用,0.046225016,0.067115606,0.105801842,0,0,0.058925565
15,情報,0,0,0,0,0,0
16,処理,0,0,0,0,0,0
17,学会,0,0,0,0,0,0
18,全国大会講演論文集）,0,0,0,0,0,0
21,議論マイニングによる議論掲示板利用者の能力,0,0.082199494,0,0,0,0
22,推定,0,0,0,0,0,0
26,情報処理学会,0,0,0,0,0,0
27,全国大会講演論文集）,0,0,0,0,0,0
30,参加者の議論能力と役割を考慮したオンライン議論の,0,0.105149946,0,0,0,0.061545745
31,分析,0,0,0,0,0,0
35,人工知能,0,0,0,0,0,0
36,学会,0,0,0,0,0,0
37,全国,0,0,0,0,0,0
38,大会論,0,0,0,0,0,0
39,文集,0,0,0,0,0,0
43,係り受け構造を用いた,0,0,0,0,0,0
44,Web,0,0,0,0,0,0
45,議論掲示板における投稿への自動,0,0.058123819,0,0,0,0
46,分類,0,0,0,0,0,0
50,電子情報通信学会,0,0,0,0,0,0
51,技術研究報告,0.092450033,0.134231211,0.211603685,0.174077656,0,0
53,ために様々な手段を利用して，意見交換を何度もする．,0,0.154996852,0.081446296,0,0.096225045,0.136082763
54,その度に「なぜこの技術なんだっけ？」「この人に実装を任,0,0.033557803,0,0.087038828,0,0
55,せれば早く終わった,0,0,0,0,0,0
56,手段に依存せずに，過去に取り上げた問題解決の手法やアイ,0,0,0,0.100503782,0.096225045,0.068041382
57,デアを確認する事で，現在の問題を素早く解決したい．,0,0.154996852,0.081446296,0.100503782,0.096225045,0.204124145
58,様々,0,0,0,0,0,0
59,な場所で利用出来る「物理ボタン」を利用し，議論にタ,0,0.134231211,0,0.174077656,0,0.058925565
60,グを付けて議論を記録する．,0,0.259937622,0.109271673,0,0.129099445,0.091287093
61,口頭＋資料,0,0,0,0,0,0
62,で,0,0.116247639,0,0,0,0
63,考え,0,0,0,0,0,0
64,を発言,0,0,0,0,0,0
65,議論のカテゴリをタグ化,0,0.174371458,0.183254167,0,0,0.102062073
66,の抽出,0,0,0.122169444,0,0,0
67,物理ボタン,0,0.082199494,0,0.426401433,0,0
69,押す,0,0,0,0,0,0
70,物理ボタンの代替となる記録用ページの作成,0,0.164398987,0,0.213200716,0,0
71,記録用ページの作成,0,0.116247639,0,0,0,0
72,物理ボタンにチャンネルの紐付けが出来ない．,0,0.0949158,0,0.246182982,0,0
73,で全てのメッセージを受け取る仕組みがあるものの，流れて,0,0.087874955,0.092351419,0.113960576,0,0
74,くるどのチャットが物理ボタンと紐付けているのか分かりづらい,0.133234678,0.096723882,0.13553483,0.250872603,0,0
75,可能性がある（ここは実装方法次第で解決出来るかも）,0,0,0.162892592,0.100503782,0,0.068041382
76,（前提技術）,0,0,0,0.213200716,0,0
77,単語をベクトル（数値配列）で表現する技術のこと,0.056613852,0.12329924,0.086386843,0.106600358,0.204124145,0.072168784
78,距離,0,0,0,0,0,0
79,が,0,0,0,0,0,0
80,の技術と同様に、文書を,0,0,0,0.174077656,0,0
81,ベクトル（パラグラフベクトル）で表現,0,0,0,0,0,0
82,する,0,0.348742916,0.244338889,0,0.288675135,0.204124145
83,技術,0,0,0,0.301511345,0,0
84,殆ど．,0,0,0,0,0,0
85,によってその決まるまでに至ったプロセスを示す事が出来る．,0,0.043937478,0,0,0,0
,,,,,,,
,,0.420973612,2.901962326,2.110043277,3.209115304,0.91057386,1.189878364
