id,text,shohei516,kohei1110,sunya9,H-tsukiji,HoshinoYuta,H-tsukiji
0," ishikawa/.txt	-- ::. 
",0,0,0,0,0,0
1,様々な場所で議論をしたり，議論のメンバーが変わる事で，,0,0.045454545,0,0.143131253,0,0.213200716
2,同じ組織内,0,0,0,0,0,0
3,で,0,0,0,0,0,0
4,似たような話を何度もする事になったり，十分,0,0,0,0.112587994,0,0.134164079
5,に共有出来たか確認出来ないという問題がある．,0,0,0,0.118678166,0,0
6,手段に依存せず，過去に取り上げた問題解決の手法やアイデ,0,0,0,0.395593886,0,0
7,アを確認する事で，現在の問題を素早く解決したい．,0,0.050251891,0,0.316475109,0,0.047140452
8,本研究の目的とアプローチ,0,0.226133508,0.40824829,0.059339083,0,0
9,目的：議論の手段に依存せず、議論の情報を集約可能な手段の検討と,0,0,0.105409255,0.214497995,0,0.146059349
10,開発,0,0,0,0,0,0
11,アプローチ：様々,0,0,0,0,0,0
12,な場所で,0,0,0,0,0,0
13,利用可能な「,0,0,0,0,0,0
14,物理ボタン」を利用し，議論にタグ,0,0.123091491,0,0.242250792,0,0.173205081
15,を付けて議論を記録する,0,0,0,0.178017249,0,0.141421356
18,現在と過去の議論をタグで紐付け，新しい議論で情報として利用する,0,0.038924947,0,0.245140565,0,0.182574186
21,議論の手段に依存せず、議論内容の記録が可能にする（例：テキストチャッ,0,0,0,0.253744592,0,0.188982237
22,トで行なった開発議論と口頭での開発議論の紐付け）,0,0,0,0.095154222,0,0.151185789
23,タグとして考えると「研究」「実装」「アイデア」「アドバイス」などが挙げられる．,0,0.213200716,0.144337567,0.20979534,0,0.15
24,実際の議論（会話）例,0,0,0,0.118678166,0,0.282842712
25,p,0,0,0,0,0,0
26,hp.ini,0,0,0,0,0,0
27,の設定を変更することで、,0,0,0,0.118678166,0,0.141421356
28,秒以上の音声も録音,0,0,0,0,0,0
29,することができました。,0,0,0,0.137037742,0,0.163299316
30,なるほど。どのように変更したのですか。,0,0.184637236,0,0.29070095,0,0.288675135
31,php.ini,0,0,0,0,0,0
32,にある「,0,0,0,0,0,0
33,upload_max_filesize,0,0,0,0,0,0
34,」の初期値は２,0,0,0,0,0,0
35,M,0,0,0,0,0,0
37,で,0,0,0,0,0,0
38,すが、それを,0,0,0,0,0,0
39,M,0,0,0,0,0,0
40,に変更し、同時に「,0,0.087038828,0,0.068518871,0,0
41,post_max_size,0,0,0,0,0,0
43,初期値８,0,0,0,0,0,0
44,M,0,0,0,0,0,0
45,から,0,0,0,0,0,0
46,M,0,0,0,0,0,0
47,に変更しました。,0,0.106600358,0,0.083918136,0,0
48,K,0,0,0,0,0,0
49,さん,0,0,0,0,0,0
50,T,0,0,0,0,0,0
51,さん,0,0,0,0,0,0
52,個,0,0,0,0,0,0
53,の発言から,0,0,0,0,0,0
54,タグを付けられそう,0,0.075377836,0,0.237356332,0,0.212132034
55,な会話群は,0,0,0,0,0,0.2
56,件（,0,0,0,0,0,0
57,個の発言）．,0,0,0,0,0,0
58,上記例の場合,0,0,0,0.068518871,0,0
61,PHP,0,0,0,0,0,0
63,サーバー設定,0,0,0,0,0,0
64,」といったタグで記録す,0,0.075377836,0,0.178017249,0,0.070710678
65,ることで，振り返り時に利用出来る,0,0,0,0.053074489,0,0.126491106
66,と,0,0,0,0,0,0
67,いう利点や，「,0,0.106600358,0,0,0,0
68,サーバー設,0,0,0,0,0,0
69,定,0,0,0,0,0,0
70,」に関して知識のある人物の発見が出来る,0,0,0,0,0,0
71,のではないか,0,0.301511345,0,0.356034497,0,0.141421356
73,従来方式と比較,0,0,0,0,0,0
74,アイデアそのものや決定した方式そのものが記録される,0,0.045454545,0,0.071565627,0,0
75,アイデアを提案した人や実装方式に関する一連の議論,0,0.053300179,0,0.167836272,0,0.1
76,が,0,0,0,0.118678166,0,0
77,記録さ,0,0,0,0,0,0
78,れる,0,0,0,0,0,0
79,の利点」が記録される．,0,0,0,0,0,0
80,情報を記録,0,0,0,0,0,0
81,タグ化した議論の分類,0,0.075377836,0,0.237356332,0,0.212132034
82,検証,0,0,0,0,0,0
84,以下の文章を分かち書きした上で日常的な文章,0,0.047673129,0,0.037529331,0,0
85,個を含めて関,0,0,0,0,0,0
86,連度を検証,0,0,0,0,0,0
89,php.ini,0,0,0,0,0,0
90,の設定を変更することで、,0,0,0,0.118678166,0,0.141421356
91,秒以上の音声も録音すること,0,0,0,0.096900317,0,0.115470054
92,ができました,0,0,0,0,0,0
96,php.ini,0,0,0,0,0,0
97,ファイルの変更が必要です」,0,0,0,0,0,0
99,一番関連,0,0.106600358,0,0,0,0
100,して,0,0.150755672,0,0.118678166,0,0
101,いる文章として抽出する事が出来たものの，値と,0,0,0,0.134568391,0,0.053452248
102,しては低い（,0,0.106600358,0,0.083918136,0,0
106,何度か試行すると別の結果が出てくる事もあり，短い文章だと,0,0,0,0.034259435,0,0.040824829
107,有効性があまり示せず，チャットの場合は短い文章で会話が続く,0,0,0,0,0,0.085280287
108,事もあるので,0,0,0,0.083918136,0,0.1
109,DocVec,0,0,0,0,0.40824829,0
110,だと上手く抽出出来ないかもしれない事が,0,0,0,0.053074489,0,0.063245553
111,分かりました．,0,0,0,0,0,0
112,によってその決まるまでに至ったプロセスを示す事,0,0,0,0.048450158,0,0.057735027
113,が出来る,0,0,0,0,0,0
,,,,,,,
,,0,2.219962972,0.657995112,5.700350837,0.40824829,4.124488326
