id,text,shohei516,kohei1110,H-tsukiji,HoshinoYuta
0," ishikawa/.txt	-- ::. 
",0,0,0,0
1,ソフトウェア開発では，設計や実装，技術に関する情報共,0,0,0.121828981,0
2,有・意見交換,0,0,0,0
4,する必要が必ずあり，複数の手段を利用して,0.133630621,0,0.170940865,0.223606798
5,頻繁におこなわれている．,0,0,0.040291148,0
6,会話や議論の情報は個人でのメモや開発用ツールに蓄積され,0,0.034585723,0.121482383,0
7,ているものの，同じ組織内で同様の話を繰り返す事,0,0,0,0
8,が,0,0,0.080582296,0.316227766
9,ある．,0,0,0,0
10,研究課題,0,0.324442842,0,0
11,様々,0,0,0,0
12,な手段で行われた会話・議論で生まれた情報をどの,0,0,0.214886124,0
13,様,0,0,0,0
15,手法を用いて統合するか．,0.188982237,0.114707867,0.282038037,0.158113883
16,発言・議論内容の関連度をどのように抽出するか．,0.125988158,0.114707867,0.322329186,0.105409255
17,研究動機,0,0.324442842,0,0
18,実際にソフトウェア開発に関わった時に「なぜこの技術なん,0,0,0.053721531,0
19,だっけ？」「この人に実装を任せれば早く終わった,0,0,0.098692754,0
22,いった振り返りをする事があった．,0.338061702,0,0.180187493,0.141421356
24,もし，様々な場所での会話が統合されていれば，こういった,0.119522861,0,0.050964719,0
25,問題を解決出来ていたのではないかと考えた．,0.15430335,0.046829291,0.197385508,0
26,目的：,0,0,0,0
27,議論手段に依存しない議論情報を集約可能な手段の検討と,0,0,0.150755672,0
28,開,0,0,0,0
29,発,0,0,0,0
31,アプローチ：,0,0,0,0
32,議論がどこで行われたかを指定し，発言内容にタグを,0,0.108821438,0.254823596,0.1
33,付けて記録,0,0.162221421,0.056980288,0
34,発言記録時に，その発言のトピック（カテゴリ）を抽出し，そのカテゴリ,0,0,0.039088155,0
35,に関連する発言・議論を推薦する．,0.267261242,0.040555355,0.341881729,0.223606798
36,過去の議論の情報を提供することで，情報を持つユーザーの推薦や，議論,0.097590007,0,0.228868854,0.081649658
37,の元となった問題の解決を図るシステムを提案する．,0.133630621,0.162221421,0.170940865,0.111803399
38,上記例の場合，「,0,0.066226618,0,0
39,サーバー,0,0,0,0
41,解決,0,0,0,0
42,」といったタグで,0,0.162221421,0.341881729,0
43,記録する．これで，他に議論をした時に情報として推薦する事が出,0.202030509,0.030656967,0.323047869,0.169030851
44,来る．,0,0,0,0
47,サーバー,0,0,0,0
48,」に関して知識のある人物の発見も可能と考えられる．,0,0,0,0
49,K,0,0,0,0
50,さん,0,0,0,0
51,従来方式との比較,0,0.198679854,0,0
52,メモで記録する場合の特徴,0.15430335,0.093658581,0.197385508,0.129099445
53,アイデアそのものや決定した方式そのものが記録される．,0,0.069171446,0.07288943,0
54,本提案方式の特徴,0,0.344123601,0.040291148,0
55,れる．,0,0,0,0
56,議論タグ,0,0.162221421,0.398862018,0
57,提案システムの流れ,0,0.264906471,0.046524211,0
58,[WIP],0,0,0,0
59,チャットでの,0,0,0,0
60,開発に関する発言,0,0,0,0
61,書き手,0,0,0,0
63,A,0,0,0,0
65,話し手,0,0,0,0
67,B,0,0,0,0
69,口頭での,0,0,0,0
70,開発に関する発言,0,0,0,0
71,読み手・聞き手,0,0,0,0
73,読み手や聞き手が必要,0,0,0.040291148,0.158113883
74,だと感じた発言を記録,0,0,0,0
75,提案システム,0,0.324442842,0.056980288,0
77,関連する過去の発言を推薦,0.169030851,0.051298918,0.180187493,0.141421356
79,解決してくれそうな人物を推薦,0,0,0.032897585,0
81,推薦された情報を,0,0,0.120873445,0
82,元に議論を進める,0,0,0.093048421,0
83,実装,0,0,0.241746889,0
86,発言に対してタグを付けて記録するためのデータベー,0.133630621,0.162221421,0.341881729,0.111803399
87,スとプロトタイプシステムの作成,0,0.114707867,0,0
88,No,0,0,0,0
89,column,0,0,0,0
90,name,0,0,0,0
91,内容,0,0.114707867,0,0
92,id,0,0,0,0
93,ユ,0,0,0,0
95,ザー,0,0,0,0
96,ID,0,0,0,0
97,name,0,0,0,0
98,ユーザー名,0,0,0,0
99,password_digest,0,0,0,0
100,パスワード,0,0,0,0
101,No,0,0,0,0
102,column,0,0,0,0
103,name,0,0,0,0
104,内容,0,0.114707867,0,0
105,id,0,0,0,0
106,タグ,0,0.229415734,0.402911482,0
107,ID,0,0,0,0
108,name,0,0,0,0
109,タグ名,0,0.162221421,0.284901441,0
110,users table,0,0,0,0
111,tags table,0,0,0,0
112,documents table,0,0,0,0
113,No,0,0,0,0
114,column,0,0,0,0
115,name,0,0,0,0
116,内容,0,0.114707867,0,0
117,id,0,0,0,0
118,発言,0,0,0,0
119,ID,0,0,0,0
120,author_name,0,0,0,0
121,発言者名,0,0,0,0
122,desc,0,0,0,0
123,発言内容,0,0.081110711,0,0
124,source,0,0,0,0
125,発言元,0,0,0,0
126,said_time,0,0,0,0
127,発言時間,0,0,0,0
129,中間テーブルを作成し，誰がデー,0,0,0.032897585,0
130,タを追加したか、発言にどんなタ,0,0,0.028490144,0
131,グが付けられたかを紐付ける,0,0.102597835,0.072074997,0
132,実装（２）,0,0,0.170940865,0
133,記録用ページ,0,0,0,0
134,確認用ページ,0,0,0,0
135,記録一覧ページ,0,0,0,0
,,,,,
,,2.21796613,4.397542797,6.699675609,2.171307847
