id,text,ktakano,shohei516,H-tsukiji,kohei1110
0," ishikawa/.txt	-- ::. 
",0,0,0,0
1,ブレインストーミングにおける,0,0,0,0
2,情報統合支援,0.182574186,0,0,0
3,する必要があり，複数の手段を利用して頻繁,0.111803399,0,0,0.094491118
4,にコミュニケーションがおこなわれている．,0.079056942,0,0,0
5,開発者同士の交流やコミュニケーション能力の向上を目的と,0,0,0,0
6,して，アイディアの創出を目的とした,0.119522861,0,0,0.202030509
7,ブレインストーミング,0,0,0,0
8,が利用,0.335410197,0,0,0
9,されて,0.111803399,0,0,0
10,いる．,0.079056942,0,0,0
11,研究動機,0,0,0,0
13,ソフトウェア開発に関わった時に「なぜこの技術なのか？」,0.055901699,0,0.065653216,0.094491118
14,「この人に実装を任せれば早く終わっていた」といったコ,0,0.133630621,0.196959649,0
15,ミュニケーションの不足が原因となって,0.039528471,0,0,0
16,いそう,0,0,0.131306433,0
17,な事が多く,0,0,0,0
18,あった．,0,0,0,0
20,円滑なコミュニケーションが出来ていれば，こういった問題,0,0,0,0
21,を解決出来ていたのではないかと考えた．,0.035355339,0,0.16609096,0.119522861
22,関連研究（１）,0.182574186,0,0,0
24,チャット・議論支援に関する研究,0,0,0,0
27,リアルタイム,0,0,0,0
28,なコミュニケーション行為であるチャットへの意味タグ付加,0.089642146,0,0.070186241,0
29,と,0.079056942,0,0,0
30,電子,0,0,0,0
31,ゼミナールへの,0,0,0,0
32,適用,0,0,0,0
34,処理学会論文誌,0,0,0,0
37,発言,0.158113883,0,0,0
39,意味タグを付加した上でやり取りする機能を含むチャットシステムの提案,0.159752413,0,0.107211253,0.077151675
41,知識活動支援システムによる会議コンテンツ間の関連性の獲得とその応用,0,0,0.053605627,0
44,対面式会議を総括的に支援する知識活動システムの開発,0.023836565,0,0.055989251,0
47,Chatplexer,0,0,0,0
48,：チャットを併用する口頭発表における発表者のための重要発言選択支援の試,0.061237244,0,0,0
49,み,0,0,0,0
53,情報,0,0,0,0
54,処理学会論文誌,0,0,0,0
57,口頭,0,0,0,0
58,発表をした際の聴衆のチャットフィードバックから重要な発言の発見を支援するシス,0.131558703,0,0,0.074124932
59,テムの提案,0.055901699,0,0,0
60,関連研究（２）,0,0,0,0
62,議論,0,0,0,0
64,議論参加者の分類,0,0,0,0
67,参加者の議論能力と役割を考慮したオンライン議論の分析,0.06846532,0,0,0.077151675
