id,text,H-tsukiji,ktakano,ktakano
0," ishikawa/.txt	-- ::. 
",0,0,0
1,技術系チャットを利用したブレインストー,0.028571429,0.284901441,0.122627868
2,ミングを対象とした情報統合,0.03380617,0.370809924,0.2901905
3,開発に関する情報が，個人でのメモや開発用ツールに蓄積さ,0.045584231,0.045454545,0.097823198
4,れているものの，会話や議論まではプロジェクト全体に行き,0.028571429,0.056980288,0
5,渡らないという問題がある．,0,0,0
6,研究動機,0,0,0.114707867
7,ソフトウェア開発に関わった時に「なぜこの技術なのか？」,0.106904497,0.053300179,0
8,「この人に実装を任せれば早く終わっていた」といったコ,0.053452248,0.02665009,0
9,ミュニケーションの不足が原因となって,0,0,0
10,いそう,0,0,0
11,な事が多く,0,0,0
12,あった．,0.151185789,0,0
13,円滑なコミュニケーションが出来ていれば，こういった問題,0,0,0
14,を解決出来ていたのではないかと考えた．,0.101418511,0.033709993,0
15,研究課題,0.106904497,0.053300179,0.229415734
17,様々な手段で行われた会話・議論で生まれた情報をどの様,0.091168461,0.090909091,0.097823198
18,な手法を用いて統合するか．,0.226778684,0.263822427,0
20,発言・議論内容の関連度をどのように抽出するか．,0.352766841,0.251259454,0.054073807
22,過去,0.151185789,0,0
24,良い意見・アイディア,0.261861468,0,0
25,をどの様に現在,0.130930734,0.043519414,0
27,議論,0,0.075377836,0
29,統合,0,0.150755672,0
30,するか．,0.453557368,0.376889181,0
31,過去にあった良い意見やアイディアというもの自体,0.285714286,0,0
32,を見つけや,0,0,0
33,すく,0,0,0
34,したい．,0.075592895,0.376889181,0.324442842
35,過去にあった良い意見やアイディアを見つけ，現在の議論に紐,0.277173947,0.025125945,0
36,付けることで，新たな良い意見やアイディアの創出に繋げたい．,0.187082869,0,0
37,ソフトウェア開発に関する議論やアイディアが出る場所として,0.09258201,0.030772873,0
39,技術系チャットでのブレインストーミング,0,0.18844459,0
41,利用,0,0.075377836,0
42,する．,0.453557368,0.376889181,0
43,ブレインストーミング参加者に，チャット上で出てきたアイ,0,0.056980288,0
44,ディアや意見をタグで記録してもらう．,0.15430335,0.184637236,0.132453236
46,ブレインストーミングで記録されたアイディアや意見をスコア,0.213808994,0.079950269,0
47,化して抽出することで，議論やアイディアの統合を目指す．,0.293987366,0.213200716,0
48,発言を記録,0.053452248,0.053300179,0
49,発言者,0,0,0
50,口頭＋資料,0,0,0
51,で,0.075592895,0,0
52,アイディアなど,0.226778684,0,0
53,アイディアに対する考え,0.160356745,0,0
54,聞き手,0,0,0
56,資料＝ホワイトボードやパワーポイントなどの媒体,0,0,0
57,ブレインストーミング,0,0.075377836,0
58,発言の類似度の抽出,0.151185789,0.113066754,0
59,話し手,0,0,0
60,参加者が必要だと感じ,0,0,0
61,た発言,0.075592895,0.075377836,0
63,タグで記録,0.130930734,0.043519414,0
64,過去のアイディアや意,0.21821789,0,0
65,見で関連度の高いものを,0.03380617,0.033709993,0
66,提示,0,0,0
67,聞き手,0,0,0
68,テーマが違う所からアイディアが再利用されることは無い．,0.136752692,0.045454545,0
69,過去のブレインストーミングの内容が比較される事で，アイ,0.080178373,0.106600358,0
70,ディアが再利用される可能性がある．,0.053452248,0.053300179,0
71,過去の意見と統合することで，その場での議論では発見出来な,0.273505384,0.181818182,0
72,かった考えやアイディアの導出に繋げられる．,0.09258201,0,0
73,実装,0.075592895,0.075377836,0
74,発言の記録,0.053452248,0.053300179,0
75,発言やアイディア,0.213808994,0.053300179,0
76,の内容を記録,0,0,0
77,議論内容,0,0.053300179,0
78,データベース,0,0,0
79,発言者,0,0,0
80,議論タグ,0.106904497,0.106600358,0
81,データベース,0,0,0
83,タグ化した議論の分類,0.151185789,0.075377836,0
85,発言の類似度の抽出,0.151185789,0.113066754,0
86,チャット,0,0.075377836,0
87,システム,0.151185789,0,0
88,考え・アイディア,0.160356745,0,0
89,を投稿,0,0,0
90,実装（３）,0.053452248,0.053300179,0
91,実装（４）,0.053452248,0.053300179,0
92,発言,0.075592895,0.075377836,0
93,の類似度を,0.106904497,0.106600358,0
94,抽出,0.075592895,0,0
95,する機能の作成,0.349148624,0.304635898,0
96,と,0,0,0
97,する,0.453557368,0.376889181,0
99,学習済みモデルは,0,0,0
100,fastText,0,0,0
101,と呼ばれる,0,0,0
102,を応用した技術を,0.043643578,0.304635898,0.187317162
103,利用して作成されたものを利用した．,0.087287156,0.326395605,0.187317162
104,①発言,0.075592895,0.075377836,0
106,記録,0,0,0
107,（実装（１））,0.053452248,0.159900537,0.114707867
108,を利用した名詞・動詞・形容詞の,0.03380617,0.202259959,0.14509525
109,抽出（ストップワードの除去）,0.043643578,0,0
