id,text,ktakano,H-tsukiji,shohei516,kaseiaoki,unblee,H-tsukiji,misamatsuoka,toC1421,unblee
0," .txt	-- ::. 
",0,0,0,0,0,0,0,0,0
4,英語音声の聞き取りやすさに関する研究,0.15713484,0.120385853,0.113227703,0,0.083333333,0.064549722,0.080064077,0.1496264,0.123091491
7,著者：喜多,0,0,0,0,0,0,0,0,0
8,，収録,0,0,0,0,0,0,0,0,0
9,刊行物：情報処理学会研究報告マルチメディア通信と分散処理（,0.030429031,0,0,0,0.064549722,0,0,0,0
10,話し手,0,0,0,0,0,0,0,0,0
11,の出身地域や国によって、英語音声の聞き取りやすさが違うことも明記されている．,0.144337567,0.073720978,0.069337525,0,0.051031036,0.039528471,0.147087101,0.183254167,0.150755672
14,会話文と説明文における単語認知の差異とリスニングスピードに関する,0.055555556,0,0,0,0.11785113,0,0,0.070534562,0
15,」「英語,0.096225045,0.147441956,0,0,0,0,0,0.122169444,0
16,見，収録,0,0,0,0,0,0,0,0,0
17,刊行物：外国語教育フォーラム,0,0,0,0,0,0,0,0,0
24,英語が好きでない学習者の動機づけをめざす協働学習の試み」,0.027777778,0.170251306,0,0,0,0.228217732,0,0.105801842,0
25,通常の英語リスニング学習,0.048112522,0.147441956,0,0,0,0.158113883,0,0.183254167,0
26,で用いられている,0.111111111,0.085125653,0,0,0,0,0,0.141069123,0
28,地域発音,0.068041382,0,0,0,0,0,0,0,0
29,を考慮しない）音声,0.166666667,0.085125653,0.160128154,0,0,0.182574186,0.226455407,0,0
30,聞き取れない,0,0,0,0,0,0,0,0,0
32,苦手意識の発生・助長,0,0,0,0,0,0,0,0,0
33,Figure ,0,0,0,0,0,0,0,0,0
34,英語リスニング学習の問題点,0.048112522,0.147441956,0,0,0,0.158113883,0,0.244338889,0
35,指導者,0,0,0,0,0,0,0,0,0
36,学習者のレベルの把握が困難,0,0.197814142,0,0,0,0.212132034,0,0.054635836,0
37,どこが聞き取れてい,0,0.085125653,0,0,0.11785113,0,0,0,0
38,ないのかわからない,0.03928371,0.060192927,0,0.123091491,0.166666667,0.129099445,0,0.249377334,0
39,？？？？,0,0,0,0,0,0,0,0,0
41,？？？？,0,0,0,0,0,0,0,0,0
