id,text,H-tsukiji,ktakano,sunya9,toC1421,kaseiaoki,unblee,shohei516,unblee
0," kamimura/.txt	-- ::. 
",0,0,0,0,0,0,0,0
3,「日本語話者が考える英語の母音の響きに,0.070014004,0.038575837,0,0,0,0,0,0
4,ついて」,0,0,0,0,0,0,0,0
6,著者：野澤，,0,0,0,0,0,0,0,0
7,収録刊行物：言語文化共同研究プロジェクト,0,0.033407655,0,0,0,0,0,0
14,個々人によって変わる英語の聞き取りやすさは，母音の発音に対するイメージの差が関係してい,0.047565149,0.078621363,0.089984254,0.153846154,0.071611487,0,0.069337525,0.092450033
16,「英語リスニング指導におけるポーズ挿入と減速の効果についての研究」,0.060633906,0.100222966,0,0,0,0,0,0
17,（著者,0,0,0,0,0,0,0,0
19,池上,0,0,0,0,0,0,0,0
21,収録刊行物,0,0,0,0,0,0,0,0
23,言語文化研究,0,0.054554473,0,0,0,0,0,0
26,音声スピードの変化よりも，「音声の間にポーズを入れる」方が，英語リスニング能力の不足している学生には効果的である，,0.118033421,0.086710997,0,0.031814238,0,0.082408564,0,0
27,という考察,0,0,0,0,0,0,0,0
28,学習者の聞き取りやすさを,0,0.084515425,0.072547625,0.124034735,0,0,0,0.149071198
29,考慮しない音声,0.099014754,0.054554473,0,0.080064077,0,0,0,0
30,？？？？？,0,0,0,0,0,0,0,0
33,聞き取れる！,0,0,0,0,0,0,0,0
34,！！！！,0,0,0,0,0,0,0,0
36,英語リスニングに,0.121267813,0.133630621,0,0,0,0,0,0
37,苦手,0,0,0,0,0,0,0,0
38,意識,0,0,0,0,0,0,0,0
39,がない人,0,0,0.114707867,0,0.182574186,0,0,0
40,繰り返し学習,0,0.133630621,0,0,0,0,0,0
41,繰り返し学習,0,0.133630621,0,0,0,0,0,0
42,学習意識・,0,0.133630621,0,0,0,0,0,0
43,リスニング能力の向上,0,0.163663418,0,0,0,0,0,0
44,学習者によって異なる様々な英語音声の「聞き取りやすさ」を,0.121267813,0.100222966,0,0,0,0,0,0
45,算出し，算出結果を用いて学習者に適した音源を推薦すること,0.045834925,0.227284323,0.043355498,0.037062466,0,0.048001536,0,0
46,で，英語リスニング学習を支援するシステムは存在していない,0.054232614,0.268926437,0.102597835,0.087705802,0.081649658,0.113592367,0.079056942,0
47,研究課題の概要（例）,0.085749293,0.188982237,0,0,0,0,0,0
48,聞き取りやすい地域の音声から順に学習,0.129640745,0.071428571,0.061313934,0,0,0,0,0
49,によって異なる「地域発音英語の聞き取りやすさ」を算出し，,0.121267813,0.133630621,0,0.049029034,0,0,0,0
50,算出結果を用いて学習者に適した順番の音声で学習す,0.099014754,0.190940654,0,0,0,0,0,0
52,システムを提案,0,0.200445931,0,0,0.182574186,0,0,0
53,従来,0.171498585,0.094491118,0,0,0,0.359210604,0,0
54,システム,0,0.188982237,0,0,0.25819889,0,0,0
55,ランダムな音声の順で学習,0.085749293,0.094491118,0,0,0,0,0,0
56,聞き取れない、,0,0,0.162221421,0.138675049,0,0,0,0
57,わからない、、,0,0,0.229415734,0,0.182574186,0,0,0
58,正答率算出,0,0.163663418,0,0,0,0,0,0
59,集計結果と解答,0.099014754,0.054554473,0,0,0,0,0,0
60,を格納,0,0,0,0,0,0,0,0
61,問題選択,0,0,0.114707867,0.098058068,0,0,0.176776695,0
62,正答,0,0,0,0,0,0,0,0
63,率,0,0.094491118,0,0,0,0,0,0
64,算出,0,0.188982237,0,0,0,0,0,0
66,算,0,0,0,0,0,0,0,0
67,出,0,0,0,0,0,0,0,0
68,問題文章,0,0,0.114707867,0.098058068,0,0,0.176776695,0
69,を算,0,0,0,0,0,0,0,0
70,出,0,0,0,0,0,0,0,0
71,問題文章,0,0,0.114707867,0.098058068,0,0,0.176776695,0
72,地域,0.171498585,0,0,0,0,0,0,0
74,地域別正,0.099014754,0,0,0,0,0,0,0
75,答率,0,0.06681531,0,0,0,0,0,0
76,すべての問題について，その,0,0.054554473,0.093658581,0.080064077,0,0,0.144337567,0
77,(cx),0,0,0,0,0,0,0,0
78,を算,0,0,0,0,0,0,0,0
