id,text,shohei516,ktakano,toC1421,kaseiaoki,H-tsukiji,kohei1110
0," kamimura/.txt	-- ::. 
",0,0,0,0,0,0
1,実験,0,0.16495722,0.087038828,0,0.359210604,0
2,とべースラインとなるシステムによる学習方法（音源の聞き取りやすさを考慮,0,0.174077656,0.078729582,0,0.162459108,0
3,しない順序で学習する方法）とでの，学習者の英語リスニング能力と学習意識,0,0.321672144,0.099840383,0.059234888,0,0.118469776
4,の変化を比較することにより，提案システムの有用性を検証する．,0,0.285714286,0.150755672,0,0.155542754,0.149071198
5,提案システム,0,0.233284737,0.123091491,0,0.381000381,0
6,ベース,0,0.08247861,0,0,0,0
7,ライン,0,0.08247861,0,0,0,0
8,システム,0,0.24743583,0.087038828,0,0.538815906,0
9,ベースラインシステム,0,0.238095238,0.050251891,0,0.311085508,0
10,実験,0,0.16495722,0.087038828,0,0.359210604,0
11,実験,0,0.16495722,0.087038828,0,0.359210604,0
12,実験,0,0.16495722,0.087038828,0,0.359210604,0
14,学習前,0,0.116642369,0.061545745,0,0.254000254,0
15,英語リスニング学習したことがあるか？,0.204124145,0.370389266,0.142133811,0,0,0.421637021
16,英語リスニングは好きか？,0,0.285714286,0.201007563,0,0,0
18,英語リスニングに対して苦手意識がある,0.223606798,0.368855557,0.233549683,0.115470054,0,0.346410162
23,学習後,0,0.116642369,0,0,0,0
25,地域ごとの音声の差を意識できたか,0,0.134687006,0.106600358,0.737864787,0,0.105409255
27,差を感じたか？,0,0,0,0.547722558,0,0
30,提案システムを用いて，,0,0.19047619,0.100503782,0,0.311085508,0
31,継続,0,0.24743583,0,0,0,0
32,して学習したいと思うか？,0,0.067343503,0,0,0,0.210818511
34,提案システムによる学習では，,0.125,0.24743583,0.087038828,0,0.269407953,0
35,英語リスニングに興味が湧く,0,0.24743583,0.130558242,0,0,0
36,英語リスニングが楽しいと思えたか？,0,0.202030509,0.142133811,0,0,0
38,以下の点をベースラインシステムによる実験結果と，提案システム,0,0.273550602,0.104972776,0,0.433224289,0
39,による実験結果とを比較することで,0,0.184427778,0.116774842,0,0.160643866,0.115470054
41,実力テストの,0,0,0,0,0,0
42,正答率の変化,0,0.142857143,0.100503782,0,0,0.149071198
43,学習,0,0.16495722,0,0,0,0
44,継続率,0,0.291605922,0.061545745,0,0,0
45,学習意識の変化（英語学習への動機付けや，苦手意識,0,0.13746435,0.058025885,0.172132593,0,0.344265186
46,の改善等）,0,0,0,0,0,0
47,実験システム,0,0.291605922,0.123091491,0,0.635000635,0
48,ベース,0,0.08247861,0,0,0,0
49,ライン,0,0.08247861,0,0,0,0
50,ランダムな（学習者の聞き取りやすさを考慮しない）順番で学習,0,0.119047619,0.025125945,0,0,0.074535599
51,実験,0,0.16495722,0.087038828,0,0.359210604,0
52,実験システム,0,0.291605922,0.123091491,0,0.635000635,0
53,提案システム,0,0.233284737,0.123091491,0,0.381000381,0
54,実験システム,0,0.291605922,0.123091491,0,0.635000635,0
57,穴埋,0,0,0,0,0,0
58,め問題生成機能,0,0,0.130558242,0,0.179605302,0
59,DB,0,0,0,0,0,0
60,に登,0,0,0,0,0,0
61,録された英文から，指定単語数分の穴埋めを持つ,0,0.024868237,0.026243194,0,0,0
62,リスニング用の英文を生成する機能,0,0.269374012,0.142133811,0,0.073323558,0
63,Ex),0,0,0,0,0,0
64,穴埋め個数が,0,0,0,0,0,0
65,個の場合,0,0.116642369,0,0,0,0
66,聞き取れなかった単語箇所,0,0.095238095,0,0,0,0
67,をクリックし，,0,0,0,0,0,0.182574186
68,聞き取れた単語はそのまま,0,0.095238095,0,0,0,0
69,空欄にしておく,0,0,0,0,0.103695169,0.149071198
70,解答を送信時,0,0,0,0,0,0
71,空欄,0,0,0,0,0,0
72,単語数,0,0,0,0,0,0
74,全空欄数,0,0,0,0,0,0
75,を正答率として算出,0,0.142857143,0.100503782,0,0,0
76,実験,0,0.16495722,0.087038828,0,0.359210604,0
78,実験手順,0,0.174963553,0.061545745,0,0.254000254,0
81,実力テストの正答率の,0,0.08247861,0.087038828,0,0,0
82,変化,0,0.08247861,0,0,0,0.25819889
83,実施期間,0,0,0,0,0.127000127,0
84,１～２日（ベースライン,0,0.073771111,0,0,0,0
85,日・提案システム,0,0.19047619,0.100503782,0,0.311085508,0
86,日,0,0,0,0,0,0
87,or,0,0,0,0,0,0
88,どちらも一日）,0,0.047619048,0,0,0,0
90,学習とテストに使用する問題数,0,0.155869922,0.164487924,0,0.067884423,0
92,ベースライン：,0,0.116642369,0,0,0,0
94,問,0,0,0,0,0,0
96,提案システム：,0,0.233284737,0.123091491,0,0.381000381,0
98,問（,0,0,0,0,0,0
99,地域５～,0,0.116642369,0.123091491,0.182574186,0,0
100,問，上位,0,0,0,0,0,0
101,地域）,0,0.16495722,0.174077656,0.25819889,0,0
103,テスト：,0,0,0,0,0,0
104,問～,0,0,0,0,0,0
106,実験内容,0,0.116642369,0.061545745,0.182574186,0.254000254,0.182574186
108,提案システムによる学習後に実施するテストの正答率と，ベースラインシステ,0,0.297380857,0.144841365,0,0.149440644,0
109,ムによる学習後に実施するテストの正答率を比較する．,0,0.238095238,0.150755672,0,0,0
110,実験,0,0.16495722,0.087038828,0,0.359210604,0
112,実験手順,0,0.174963553,0.061545745,0,0.254000254,0
115,実力テストの正答率の,0,0.08247861,0.087038828,0,0,0
116,変化,0,0.08247861,0,0,0,0.25819889
117,Figre ,0,0,0,0,0,0
118,実験の流れ図①,0,0.116642369,0.061545745,0,0.254000254,0
119,被験者,0,0,0,0,0,0
120,①ベースラインのシステム,0,0.238095238,0.050251891,0,0.311085508,0
121,による学習,0,0.16495722,0,0,0,0
122,ベース,0,0.08247861,0,0,0,0
123,ライン,0,0.08247861,0,0,0,0
124,システム,0,0.24743583,0.087038828,0,0.538815906,0
125,②テスト実施（,0,0,0,0,0,0
126,回目）,0,0,0.061545745,0,0,0
127,③提案システムによる学習,0,0.285714286,0.100503782,0,0.311085508,0
128,提案,0,0.08247861,0.087038828,0,0,0
129,システム,0,0.24743583,0.087038828,0,0.538815906,0
131,テスト実施（,0,0,0,0,0,0
132,回目）,0,0,0.061545745,0,0,0
134,テスト,0,0,0,0,0,0
135,の正答率を比較,0,0.095238095,0.100503782,0,0,0
136,実験,0,0.16495722,0.087038828,0,0.359210604,0
138,実験手順,0,0.174963553,0.061545745,0,0.254000254,0
141,テスト問題の実施方法,0,0.041239305,0.130558242,0,0.089802651,0
142,被験者,0,0,0,0,0,0
143,提案,0,0.08247861,0.087038828,0,0,0
144,システム,0,0.24743583,0.087038828,0,0.538815906,0
145,正答率の平均,0,0.095238095,0.100503782,0,0,0
146,#NAME?,0,0,0,0,0,0
147,テスト問題（,0,0,0.184637236,0,0.127000127,0
148,問,0,0,0,0,0,0
,,,,,,,
,,0.552730943,13.62670479,6.537744369,2.255772142,13.25541054,3.06577531
