id,text,ktakano,H-tsukiji,kaseiaoki,shohei516,kohei1110
0," kamimura/.txt	-- ::. 
",0,0,0,0,0
2,関連研究①,0.426006434,0,0,0,0
3,地域,0.172132593,0,0,0,0
4,発音,0.172132593,0,0,0,0
5,音声が,0,0.099503719,0.267261242,0,0
6,存在,0,0,0,0,0
7,し，その聞き取りやすさが違うことも明記されている．,0.119352479,0.110389465,0.148249863,0.083624201,0.219264505
8,関連,0.25819889,0,0,0,0
9,研究②,0.344265186,0,0,0,0
12,（著者：池上，収録刊行物：,0,0,0,0,0
13,音声スピードの変化よりも，「音声の間にポーズを入れる」方が，英語リスニング能力の不足している学生には効果,0.060858062,0.140719509,0.251976315,0,0.186338998
14,的である，という考察,0,0,0,0,0
16,学習意識の低下,0,0,0,0,0
19,学習継続率が下がる,0,0,0,0,0.158113883
21,リスニング能力が向上しな,0.115470054,0.088998832,0.239045722,0,0.353553391
22,い,0,0.199007438,0,0,0
24,学習意識の低下,0,0,0,0,0
26,苦手意識の,0,0,0,0,0
27,発生,0,0,0,0,0
28,や学習意欲の低下,0,0,0,0,0
29,学習者によって異なる様々な地域発音英語の「聞き取りやすさ」を,0.143443828,0,0,0,0
30,算出し，算出結果を用いて学習者に適した音源を推薦することで，,0.138013112,0.079780463,0.142857143,0.080582296,0.126773138
31,英語リスニング学習を支援するシステムは存在していない,0.114755062,0.165839532,0.178174161,0,0.210818511
32,聞き取りやすい地域の,0.198761598,0,0.15430335,0,0
33,音声から順に学習,0.043033148,0.04975186,0.133630621,0,0
35,学習意識の改善＊,0,0,0,0,0
37,学習継続率の,0,0,0,0,0.182574186
38,向上,0,0,0,0,0.158113883
39,これなら,0,0,0,0,0
40,続けられる,0,0,0,0,0
41,英語リスニングに,0,0,0,0,0.111803399
42,苦手意識がある人,0.043033148,0,0,0,0
44,リスニング能力の,0,0,0,0,0.223606798
45,向上,0,0,0,0,0.158113883
46,英語リスニングに,0,0,0,0,0.111803399
47,苦手意識がある人,0.043033148,0,0,0,0
