id,text,toC1421,H-tsukiji,misamatsuoka
0," kamimura/.txt	-- ::. 
",0,0,0
2,］「何が英語のリスニングを困難にするのか,0.133630621,0.144337567,0.326598632
6,著者：前田，大木,0,0,0
7,収録刊行物：,0,0,0
8,白鴎大学教育学部論集,0,0,0
14,地域発音音声が存在し，その聞き取りやすさが違うことも明記されている．,0.026462806,0.200081683,0.048507125
15,的である，という,0,0.11785113,0
16,考察,0,0,0
18,」「英語リスニング能力向上のための映画教材の,0,0,0
19,活用」,0,0,0
20,（著者：水澤,0,0,0
21,収録刊行物：,0,0,0
22,"Lingua (), ",0,0,0
28,洋画を学習コンテンツとして活用した研究．実際に英語リスニング能力の向上に繋がったという結論,0.121045507,0.098058068,0
30,」「大学生の英語リスニング能力におけるシャドーイングの効果,0,0,0
32,洋楽歌詞の活用を,0,0,0
33,通して」,0,0,0
34,（著者：河野，林，毛利,0,0,0
35,収録刊行物：,0,0,0
36,佐賀大学教育実践研究,0.109108945,0,0
42,洋楽,0,0,0
43,をシャドーイング教材として活用した,0.054554473,0.11785113,0
44,研究,0.21821789,0,0
45,結果,0,0,0
46,：学習後に学習者のリスニング能力の向上はあまり見られず，学習意識の向上は見られた．,0.061858957,0.178174161,0
47,ランク,0,0,0
48,singapole,0,0,0
49,indonesia,0,0,0
50,ランク,0,0,0
51,singapole,0,0,0
52,indonesia,0,0,0
53,算出した地域別正答率,0.089087081,0.288675135,0
54,（聞き取りやすさ）の高い順,0,0.058925565,0
55,に地域を推薦し，学習,0.109108945,0.176776695,0
56,提案システムによる地域の推薦の例,0,0.105409255,0.089442719
57,実装,0,0,0
59,穴埋,0,0,0
60,め問題生成機能,0,0.058925565,0
63,DB,0,0,0
64,に登,0,0,0
65,録された英文から，指定単語数分の穴埋めを持つ,0,0,0
66,リスニング用の英文を生成する機能,0.089087081,0.144337567,0
67,Ex),0,0,0
68,穴埋め個数が,0,0,0
69,個の場合,0,0.166666667,0
70,空欄,0,0,0
71,箇所,0,0,0
72,をクリック,0,0,0
74,空欄箇所の単語を表示,0,0,0
75,DB,0,0,0
76,に誤答単語として登録,0,0,0
77,聞き取れなかった空欄箇所,0,0,0
78,をクリック,0,0,0
79,正答率算出へ,0.062994079,0.272165527,0
80,Ex,0,0,0
82,しない順序で学習する方法）とでの，正答率や継続率，学習意識の変化を比較,0.21170245,0.371580268,0
83,することにより，提案システムの有用性を検証する．,0.17251639,0.298142397,0
84,Figure ,0,0,0
85,提案システムによって期待される効果,0,0.096225045,0
86,英語リスニングに,0,0,0
87,苦手意識がある人,0,0,0
88,聞き取れる！,0,0,0
89,楽しい！,0,0,0
91,学習意識の改善＊,0.062994079,0.068041382,0
93,学習継続率の,0.188982237,0.204124145,0
94,向上,0,0,0
95,これなら,0,0,0
96,続けられる,0,0,0
98,リスニング能力の,0,0,0
99,向上,0,0,0
100,テスト,0,0,0
101,の点が,0,0,0
102,上がった！,0,0,0
103,被験者,0,0,0
104,表,0,0,0
105,被験者一覧,0,0,0
106,被験者,0,0,0
107,職種,0,0,0
108,出身国,0,0,0
109,人数,0,0,0
110,留学経験あり,0,0,0
111,留学経験なし,0,0,0
112,学生,0,0,0
113,日本,0,0,0
114,？人,0,0,0
115,？人,0,0,0
116,学生,0,0,0
117,タイ,0,0,0
118,？人,0,0,0
119,？人,0,0,0
120,学生,0,0,0
121,インドネシア,0,0,0
122,？人,0,0,0
123,？人,0,0,0
124,学生,0,0,0
125,ベトナム,0,0,0
126,？人,0,0,0
127,？人,0,0,0
128,学生,0,0,0
129,シンガポール,0,0,0
130,？人,0,0,0
131,？人,0,0,0
132,実験システム,0.385758375,0.25,0.141421356
134,ベースライン,0,0,0
137,ランダムな（学習者の聞き取りやすさを考慮しない）順番で学習,0.094491118,0.204124145,0
139,音源,0,0,0
141,集めた,0,0,0
142,か国分音声＋音声ソースの音源からランダム,0,0.15713484,0
143,従来,0,0,0
144,方式,0,0,0
145,音声をランダムに問題提供,0,0.176776695,0
146,解答,0,0,0
147,Figre,0,0,0
148,ベースライン学習の概要図,0.048795004,0.052704628,0
149,正答率を算出,0.062994079,0.272165527,0
150,ランダム,0,0,0
151,な音声の,0,0.23570226,0
152,順番,0,0,0
153,で,0,0,0
154,学習,0.109108945,0.11785113,0
155,実験システム,0.385758375,0.25,0.141421356
156,提案,0,0,0
157,システム,0,0.23570226,0
158,学習者が聞き取りやすい地域発音英語の順番で学習,0.065795169,0.177667264,0
160,音源,0,0,0
162,集めた,0,0,0
163,か国分の音声,0,0.166666667,0
164,提案方式,0,0,0
165,解答,0,0,0
166,被験者,0,0,0
167,Figre,0,0,0
168,提案,0,0,0
169,方式の概要図,0,0,0
170,正答率を算出,0.062994079,0.272165527,0
171,聞き取りやすい地域を推薦,0,0.11785113,0
172,聞き取りやすい,0,0.166666667,0
173,地域発音から学習,0.054554473,0.058925565,0
174,提案システムの評価方法,0,0.11785113,0
176,以下の項目を，ベースラインシステムによる実験結果①と提案システ,0,0.07856742,0.066666667
177,ムによる実験結果②とで比較し，②が①を上回ることで，提案システム,0.038575837,0.166666667,0
178,の有用性を,0,0,0
179,示,0,0,0
180,す．,0,0,0
182,評価項目,0,0,0.141421356
184,学習継続率,0.188982237,0.204124145,0
186,正答率の向上度合い,0.054554473,0.23570226,0
188,学習,0.109108945,0.11785113,0
189,意識,0,0,0
190,の変化,0,0,0
191,実験①,0.545544726,0.11785113,0.2
192,実験目的・方法,0.314970394,0.068041382,0.115470054
194,評価項目,0,0,0.141421356
195,「学習継続率」に関する検証．,0.21821789,0.176776695,0
