id,text,H-tsukiji,toC1421,unblee
0," kamimura/.txt	-- ::. 
",0,0,0
2,「何が英語のリスニングを困難にするのか,0.133630621,0.144337567,0.326598632
4,学習意識の低下,0.062994079,0.068041382,0
6,苦手意識の,0,0,0
7,発生,0,0,0
8,や学習意欲の低下,0.062994079,0.068041382,0
10,学習意識の低下＊,0.062994079,0.068041382,0
12,学習継続率の,0.188982237,0.204124145,0
13,低下,0,0,0
15,リスニング能力の低下,0,0,0
16,負のサイクル,0,0,0
17,本研究により解決する課題,0.292770022,0.158113883,0
18,こっちの,0,0,0
19,方,0,0,0
21,概要・利点①,0,0,0
23,学習者,0.077151675,0.166666667,0
24,によって異なる「地域発音英語の聞き取りやすさ」を算出し，,0.038575837,0.125,0
25,算出結果を用いて学習者に適した,0.04454354,0.096225045,0
26,音声,0,0.23570226,0
27,の順番で学習す,0.062994079,0.068041382,0
29,システムを提案,0,0.166666667,0
31,英語リスニング学習における，,0.062994079,0.068041382,0
32,負のサイクル,0,0,0
33,に陥りやすい学習者を,0.054554473,0.176776695,0
34,継続して学習できる,0.163663418,0.176776695,0
35,良いサイクル,0,0,0
36,に導くことができる．,0,0,0
37,提案,0,0,0
38,システム,0,0.23570226,0
40,概要・利点②,0,0,0
41,良いサイクルの例,0,0,0.115470054
42,続けられる！,0,0,0
43,良い,0,0,0
44,サイクル,0,0,0
45,正答率算出機能,0.054554473,0.23570226,0
46,集計結果と,0,0,0
47,解答を格納,0,0,0
48,音声地域を表示,0,0.136082763,0
49,問題データ送信,0,0.068041382,0
50,地域,0,0,0
51,選択,0,0,0
52,地域別正答率算出,0.048795004,0.210818511,0
53,地域＊,0,0,0
54,続けられ,0,0,0
56,システムを利用し,0.062994079,0.340206909,0
57,リスニング能力の向上,0,0,0
58,Ex,0,0,0
59,）以下,0,0,0
61,表のような地域別正答率の場合,0.206196525,0.267261242,0
62,正答率が一定以上になるまで,0.048795004,0.263523138,0
63,位から（,0,0,0
64,Singapole,0,0,0
65,から）学習,0.077151675,0.083333333,0
66,前,0,0,0
68,聞き取れる！,0,0,0
69,聞き取りやすい,0,0.166666667,0
70,地域を順位付けし,0,0,0
71,学習者に推薦,0.062994079,0.136082763,0
72,問題正答率の算出,0.054554473,0.294627825,0
74,録されている問題を元に，指定個数の空欄をランダム,0,0.0372678,0
75,な箇所に持つ穴埋め問題を生成する．,0.089087081,0.19245009,0
77,学習者は聞き取れなかった単語の空欄,0.048795004,0.105409255,0
78,箇所を,0,0,0
79,クリック,0,0,0
81,空欄箇所の単語を,0,0,0
82,表示・空欄,0,0,0
83,箇所の単語,0,0,0
85,DB,0,0,0
86,に誤答単語として登録,0,0,0
88,解答を送信,0,0,0
90,空欄個数,0,0,0
91,n,0,0,0
93,誤答単語数,0,0,0
94,f,0,0,0
96,(n,0,0,0
98,f)/n,0,0,0
99,を正答率とする,0.188982237,0.476289672,0
101,解答を送信,0,0,0
102,Ex,0,0,0
103,）空欄個数,0,0,0
104,の場合,0,0.23570226,0
105,聞き取れなかった,0,0,0
106,空欄をクリック,0,0,0
107,空欄箇所の単語,0,0,0
108,（例では,0,0,0.2
109,this,0,0,0
111,DB,0,0,0
112,に登録,0,0,0
113,(n,0,0,0
115,f)/,0,0,0
116,n,0,0,0
117,を計算し,0.077151675,0.166666667,0
118,DB,0,0,0
119,に格納,0,0,0
120,次,0,0,0
121,の問題へ,0,0.11785113,0
122,か国分音声からランダム,0,0.11785113,0
123,Figre,0,0,0
124,か国から，聞き取りやすい地域の音声で学習,0.041239305,0.222717702,0
125,Figre,0,0,0
126,正答率の,0.077151675,0.333333333,0
127,推移,0,0.11785113,0
128,学習継続率,0.188982237,0.204124145,0
129,実験目的・,0.385758375,0.083333333,0.141421356
130,方法,0,0,0
131,①と②を統合して「学習継続率」と定義．,0.178174161,0.240562612,0
132,各システムによる「学習継続率」を比較し，提案システムに,0.131590339,0.319801075,0
133,よる学習での「学習継続率」が，ベースラインシステムによ,0.138013112,0.223606798,0
134,る学習でのそれを上回ることで，提案システムによる学習に,0.072739297,0.15713484,0
135,より英語学習の継続率が向上したと言える．,0.123717915,0.178174161,0.075592895
136,実験,0.545544726,0.11785113,0.2
137,データ,0,0,0
139,間もなく開園！,0,0,0
140,s,0,0,0
141,インドネ,0,0,0
142,シンガ,0,0,0
143,学習継続率,0.188982237,0.204124145,0
145,実験手順,0.46291005,0.083333333,0.141421356
146,日何問,0.062994079,0,0.230940108
148,何日で終えた,0.062994079,0,0.230940108
150,実験①,0.545544726,0.11785113,0.2
151,学習継続率,0.188982237,0.204124145,0
152,正答,0,0.23570226,0
153,率,0.109108945,0.23570226,0
155,推移,0,0.11785113,0
156,実験目的・,0.385758375,0.083333333,0.141421356
157,方法,0,0,0
158,a,0,0,0
159,b,0,0,0
160,正答率の推移は，地域別，問題別の,0.036369648,0.23570226,0
161,パターンを算出．,0,0,0
163,算出した結果を各システムごとに比較,0.041239305,0.178174161,0
165,比較,0,0,0
166,の結果，提案システムの結果の方が安定して高ければ，,0.034503278,0.149071198,0
167,提案システムによる学習では，,0.054554473,0.176776695,0
168,「学習者がより聞き取りやすい,0.048795004,0.210818511,0
170,学習意識の改善された状態」,0.04454354,0.048112522,0
171,で学習できていると言える．,0.048795004,0.052704628,0.089442719
172,実施期間・実験データ,0.272772363,0.058925565,0.1
173,実験①と同様,0.385758375,0.083333333,0.141421356
174,被験者,0,0,0
175,ベースラインシステムによる,0,0.136082763,0
176,学習終了後,0.062994079,0.068041382,0
177,問題別・地域別の,0,0.048112522,0
178,正答率の推移,0.062994079,0.340206909,0
