id,text,toC1421,kaseiaoki,misamatsuoka,shohei516,H-tsukiji,HoshinoYuta
0," kamimura/.txt	-- ::. 
",0,0,0,0,0,0
1,学習者の聞き取りやすさ,0,0,0,0,0,0
2,を考慮しない音声,0.231455025,0.086066297,0.226455407,0,0.23570226,0.160128154
3,算出することや，算出結果を用いて学習者に適した音源を推薦する,0.133630621,0.223606798,0,0,0,0
4,ような研究・システムは存在していない,0.21821789,0.060858062,0.160128154,0,0.083333333,0.113227703
7,既存の正答率算出方法,0.119522861,0,0,0,0,0
9,問題または,0,0,0,0,0,0
10,セッションごとの算出,0,0,0,0,0,0
13,音源,0,0,0,0,0,0
14,の地域,0,0,0,0,0.204124145,0
16,国,0,0,0,0,0,0
18,ごとの正答率算出,0.133630621,0,0,0,0,0
19,方法,0,0,0,0,0,0
23,問題別やセッション別の学習者の傾向ではなく，,0,0,0,0,0,0
24,音源の地域,0,0,0,0,0.144337567,0
26,国,0,0,0,0,0,0
28,ごとの学習者の聞き取りやすさを算出することが,0.089087081,0.198761598,0.065372045,0,0,0
29,可能,0,0,0,0,0,0
30,地域別正答率算出機能の特徴,0.101015254,0,0,0,0.077151675,0
31,地域別正答率算出方法,0.109108945,0,0,0,0.083333333,0
32,問題,0,0,0,0,0,0
33,音源,0,0,0,0,0,0
34,地域,0,0,0,0,0.204124145,0
35,音声別,0,0,0,0,0.144337567,0
36,正答率,0.188982237,0,0,0,0,0
38,地域別正答率,0.133630621,0,0,0,0.102062073,0
41,P,0,0,0,0,0,0
42,N_,0,0,0,0,0,0
43,C,0,0,0,0,0,0
44,X_,0,0,0,0,0,0
45,CX=(X_X_X_,0,0,0,0,0,0
46,X_)/,0,0,0,0,0,0
47,N_,0,0,0,0,0,0
48,X_,0,0,0,0,0,0
49,P,0,0,0,0,0,0
50,N_,0,0,0,0,0,0
51,X_,0,0,0,0,0,0
52,N_,0,0,0,0,0,0
53,X_,0,0,0,0,0,0
54,P,0,0,0,0,0,0
55,N_,0,0,0,0,0,0
56,C,0,0,0,0,0,0
57,X_,0,0,0,0,0,0
58,CX=(X_X_X_,0,0,0,0,0,0
59,X_)/,0,0,0,0,0,0
60,N_,0,0,0,0,0,0
61,X_,0,0,0,0,0,0
62,P,0,0,0,0,0,0
63,N_,0,0,0,0,0,0
64,X_,0,0,0,0,0,0
65,N_,0,0,0,0,0,0
66,X_,0,0,0,0,0,0
70,Step,0,0,0,0,0,0
71,算出,0,0,0,0,0,0
72,の流れ,0,0,0,0,0,0
73,Step,0,0,0,0,0,0
74,Step,0,0,0,0,0,0
75,地域別正答率が高い,0.119522861,0,0,0,0.091287093,0
76,地域,0,0,0,0,0.204124145,0
77,聞き取りやすい地域,0,0,0,0,0.11785113,0
78,地域推薦機能の概要図,0.05976143,0,0,0,0.091287093,0
79,Figure,0,0,0,0,0,0
80,提案システムによる地域推薦機能の概要図,0.050507627,0,0,0,0.077151675,0
81,地域別,0,0,0,0,0.144337567,0
82,C,0,0,0,0,0,0
83,Cx=,0,0,0,0,0,0
86,C,0,0,0,0,0,0
87,Cx=,0,0,0,0,0,0
90,地域別正答率の最も高い,0.109108945,0,0,0,0.083333333,0
91,地域を判定,0,0,0,0,0.144337567,0
94,地域別,0,0,0,0,0.144337567,0
95,正答率,0.188982237,0,0,0,0,0
97,＜基準値,0,0,0,0,0,0
99,Fals,0,0,0,0,0,0
100,e,0,0,0,0,0,0
101,TRUE,0,0,0,0,0,0
102,判定,0,0,0,0,0,0
103,された地域を学習者に推薦,0,0,0.160128154,0,0.083333333,0
104,算出した地域別正答率のデータ,0.252538136,0.056343617,0.148249863,0,0.231455025,0.104828484
105,学習者,0,0,0,0,0,0
106,FALSE,0,0,0,0,0,0
107,判定され,0,0,0.226455407,0,0,0
108,た地域を除外,0,0,0,0,0.144337567,0
109,楽しい！,0,0,0,0,0,0
110,音声,0,0,0,0,0.204124145,0
111,別,0,0,0,0,0,0
112,正答率の算出,0.15430335,0,0,0,0,0
113,方法,0,0,0,0,0,0
114,な箇所に持つ穴埋め問題を生成,0,0,0,0,0,0
116,空欄は，,0,0,0.196116135,0,0,0
118,全空欄，,0,0,0.138675049,0,0,0
120,頭文字表,0,0,0,0,0,0
121,示，,0,0,0,0,0,0
123,どちらも含む，の三つのオプション選択可能）．,0,0.056343617,0,0,0,0
125,に聞き取れなかった,0,0,0,0,0,0
126,単語,0,0,0,0,0,0
127,として登録,0,0,0,0,0,0
128,N,0,0,0,0,0,0
129,聞き取れなかった単語数,0,0,0,0,0,0
130,F,0,0,0,0,0,0
132,(N,0,0,0,0,0,0
133,F)/N,0,0,0,0,0,0
134,を正答率,0.188982237,0,0,0,0,0
135,空欄箇所の単語（例では,0,0,0.098058068,0,0,0
138,・正答率,0.188982237,0,0,0,0,0
140,f)/),0,0,0,0,0,0
141,・次の問題へ,0,0,0,0,0,0
142,音声,0,0,0,0,0.204124145,0
143,別,0,0,0,0,0,0
144,正答率算出の例,0.133630621,0,0,0,0,0
145,か国分の音声,0,0,0,0,0.144337567,0
146,被験者,0,0,0,0,0,0
147,ベースラインシステム,0,0,0,0,0,0
148,問題,0,0,0,0,0,0
149,DB,0.133630621,0,0,0,0,0
150,ランダム問題,0,0,0,0,0,0
151,出題機能,0,0,0,0,0,0
152,実験における各システムの概要図,0.119522861,0,0,0,0.182574186,0
153,穴埋め問題,0,0,0,0,0,0
154,生成機能,0,0,0,0,0,0
155,学習履歴,0,0,0,0,0,0
156,DB,0.133630621,0,0,0,0,0
157,地域推薦,0,0,0,0,0.144337567,0
158,機能,0,0,0,0,0,0
159,ランダムを選択,0,0,0,0,0,0
160,聞き取りやすい,0,0,0,0,0,0
161,地域を推薦,0,0,0,0,0.144337567,0
162,推薦された地域を選択,0,0,0.175411604,0,0.091287093,0
163,システム,0,0,0,0,0,0
164,ステムによる学習時の結果からそれぞれ算出する．,0.094491118,0.158113883,0,0,0,0
165,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0
167,5,0,0,0,0,0,0
168,0,0,0,0,0,0,0
170,問題の空欄個数：,0,0,0.113227703,0,0,0
171,個,0,0,0,0,0,0
172,オプション：全空欄,0,0,0.113227703,0,0,0
173,Figure,0,0,0,0,0,0
174,解答,0,0,0,0,0,0
175,をそれぞれ算出する．,0.15430335,0.172132593,0,0,0,0
176,パターンを算出する．,0.15430335,0.172132593,0,0,0,0
177,算出した結果を各システムごとに比較する．,0.236227796,0.158113883,0.138675049,0,0.072168784,0.098058068
178,で学習できているという指標の１つとなる．,0.050507627,0,0.074124932,0,0,0
179,Figure,0,0,0,0,0,0
180,提案システムによる学習の,0,0,0,0,0,0
181,結果,0,0,0,0,0,0
182,学習,0,0,0,0,0,0
183,意欲の,0,0,0,0,0,0
184,向上といった，,0,0,0,0,0,0
185,「学習意識の向上」を,0,0,0,0,0,0
186,感じた人数が,0.094491118,0,0,0,0,0
187,，ベースラインシステム,0,0,0,0,0,0
189,る学習時のそれより,0,0,0,0,0,0
190,多ければ,0,0,0,0,0,0
191,システムにより，学習者の学,0,0,0,0,0,0
192,習意識が向上したと言える．,0.163663418,0.060858062,0.160128154,0,0.083333333,0.113227703
193,実験③,0.133630621,0,0,0,0.40824829,0
194,学習意識の変化,0,0,0,0,0,0
196,アンケートの信頼性について,0,0,0,0,0,0
198,アンケートに答えるのは人間であるため，どうしても，「うまくいく,0,0,0,0,0,0
199,ようにしたい」という気持ちが働くため，実験結果が良くなるように,0.192879187,0.043033148,0.113227703,0.166666667,0.176776695,0.080064077
200,答えてしまう可能性があり，それがアンケートの信頼性を損ねる．,0,0,0.065372045,0,0,0
203,アンケート数を増やす（本質ではない質問も追加する）,0.094491118,0.105409255,0,0,0.072168784,0
205,実験目的の説明の時，明らかにしたいことを伏せて説明するように,0.370624658,0.206724558,0.108785659,0,0.169841555,0.076923077
206,工夫する．,0.188982237,0.210818511,0,0,0,0
207,この２点を実施することで，アンケートの信頼性を保つ．,0.089087081,0.198761598,0.065372045,0,0,0
208,英語リスニング学習は好きか？,0,0.521749195,0,0,0,0
209,英語リスニング学習に対して興味があるか,0,0.4,0,0,0.091287093,0
210,学習開始前の学習者の英語学習に対する学習意識の調査．,0,0,0,0,0,0
211,アンケート内容,0,0,0,0,0,0
213,学習前,0,0,0,0,0,0
215,留学したことはあるか？または留学に興味があるか,0.115727512,0.129099445,0.113227703,0,0.176776695,0.080064077
218,英語に関する資格を持っているか,0,0.298142397,0,0,0,0
220,TOEIC,0,0,0,0,0,0
221,の点数等もあれば）,0,0,0,0,0,0
223,主要,0,0,0,0,0,0
224,科目のうち，最も得意な教科は,0,0,0,0,0,0
226,実験③,0.133630621,0,0,0,0.40824829,0
227,学習意識の変化,0,0,0,0,0,0
229,実験データ③,0.094491118,0,0,0,0.433012702,0
233,実験データ④,0.094491118,0,0,0,0.433012702,0
235,学習後,0,0,0,0,0.144337567,0
237,音源の変化によって聞き取りやすさが変化することを感じることが,0.071428571,0.239045722,0.052414242,0,0,0
238,できたか,0,0,0,0,0,0
241,実験時に何かシステムに不具合やバグはなかったか,0.047245559,0,0,0,0.144337567,0
244,どの地域が一番聞き取りやすく,0,0,0,0,0.091287093,0
246,どの地域が一番聞き取りやすかった,0,0,0,0,0.091287093,0
248,実験③,0.133630621,0,0,0,0.40824829,0
249,学習意識の変化,0,0,0,0,0,0
251,Figure ,0,0,0,0,0,0
252,実験①の流れ,0.094491118,0,0,0,0.288675135,0
253,１２月初頭予定,0,0,0,0,0,0
254,問題,0,0,0,0,0,0
255,音源,0,0,0,0,0,0
256,地域,0,0,0,0,0.204124145,0
257,音声別,0,0,0,0,0.144337567,0
258,正答率,0.188982237,0,0,0,0,0
260,地域,0,0,0,0,0.204124145,0
261,別,0,0,0,0,0,0
262,問題,0,0,0,0,0,0
263,正答率,0.188982237,0,0,0,0,0
264,％,0,0,0,0,0,0
266,地域別正答率,0.133630621,0,0,0,0.102062073,0
269,N,0,0,0,0,0,0
270,N_,0,0,0,0,0,0
271,C,0,0,0,0,0,0
272,X_,0,0,0,0,0,0
273,Cx_= (,0,0,0,0,0,0
274,X_X_,0,0,0,0,0,0
276,CX_all=(Cx_Cx_)/,0,0,0,0,0,0
277,N_,0,0,0,0,0,0
278,X_,0,0,0,0,0,0
279,N,0,0,0,0,0,0
280,N_,0,0,0,0,0,0
281,X_,0,0,0,0,0,0
282,Cx_= (,0,0,0,0,0,0
283,X_X_,0,0,0,0,0,0
285,N_,0,0,0,0,0,0
286,X_,0,0,0,0,0,0
287,N,0,0,0,0,0,0
288,N_,0,0,0,0,0,0
289,C,0,0,0,0,0,0
290,X_,0,0,0,0,0,0
291,Cx_= (,0,0,0,0,0,0
292,X_X_,0,0,0,0,0,0
294,CX_all=(Cx_Cx_)/,0,0,0,0,0,0
295,N_,0,0,0,0,0,0
296,X_,0,0,0,0,0,0
297,N,0,0,0,0,0,0
298,N_,0,0,0,0,0,0
299,X_,0,0,0,0,0,0
300,Cx_= (,0,0,0,0,0,0
301,X_X_,0,0,0,0,0,0
303,N_,0,0,0,0,0,0
304,X_,0,0,0,0,0,0
,,,,,,,
,,6.605798952,3.756114832,2.712832824,0.166666667,8.298497061,0.826521343
