id,text,ktakano,toC1421,H-tsukiji,kaseiaoki
0," kamimura/.txt	-- ::. 
",0,0,0,0
1,アジア諸国の人々が話す英語は，,0,0,0,0
2,その地域ごとに,0,0,0,0
3,英語圏の人々が話す英語と,0,0,0,0
4,比べて，聞き取りやすい発音が多く含まれ,0.188982237,0,0,0
5,ている可能性がある．,0.05,0,0,0
6,苦手意識がある学習者,0.089442719,0.066666667,0.079056942,0.134839972
7,学習者の英語能力を,0.1,0.074535599,0.088388348,0.150755672
8,考慮しない音声・教材,0.15,0.074535599,0.088388348,0
9,現状の英語リスニング学習の問題点,0.04472136,0.066666667,0,0.134839972
10,Figure ,0,0,0,0
11,英語リスニング学習の問題点,0.05,0.074535599,0,0.150755672
12,苦手意識がある学習者,0.089442719,0.066666667,0.079056942,0.134839972
13,指導者,0,0,0,0
15,初級,0,0,0,0
16,(EX:,0,0,0,0
17,スピードゆっくり,0,0,0,0
20,中級,0,0,0,0
21,(EX:,0,0,0,0
22,スピード普通,0,0,0,0
25,上級,0,0,0,0
26,(EX:,0,0,0,0
27,スピード早い,0,0,0,0
29,聞き取れる・聞き取れない，の,0,0,0,0
30,二,0,0,0,0
31,つの状態でしか,0,0,0,0
32,学習者の英語リスニング能力を計れない．,0.081649658,0.060858062,0.072168784,0.123091491
33,EX),0,0,0,0
34,初級の,0,0,0,0
35,問題,0,0,0,0
37,聞き取れた,0,0,0,0
38,中級の,0,0,0,0
39,問題,0,0,0,0
41,聞き取れない,0,0,0,0
42,本研究により解決する課題,0.089442719,0.133333333,0.158113883,0
43,学習者の英語リスニング能力,0.089442719,0.066666667,0.079056942,0.134839972
45,個々人で異なる,0,0,0,0
47,の範囲で聞き取りがし,0.2,0.074535599,0,0
48,やすく，継続して学習しやすい音声から，段階的に学習するような,0.275,0.223606798,0.088388348,0.150755672
49,仕組みや，それを支援するシステムは存在していない,0.212132034,0.158113883,0.125,0
50,初級～中級の間の,0,0,0,0
51,英語能力を持つ学習者,0.089442719,0.066666667,0.079056942,0.134839972
52,初級,0,0,0,0
53,中級,0,0,0,0
54,上級,0,0,0,0
55,学習者の,0.141421356,0.105409255,0.125,0.213200716
56,英語能力,0,0,0,0
57,中級～上級の間の,0,0,0,0
58,英語能力を持つ学習者,0.089442719,0.066666667,0.079056942,0.134839972
59,が,0,0.149071198,0,0
60,継続,0.1,0,0,0
61,して学習,0.141421356,0.210818511,0,0.213200716
62,しやすい,0.212132034,0.105409255,0,0
64,聞き取りやすい,0.353553391,0,0,0
66,地域発音英語を，学習者,0.089442719,0.066666667,0.079056942,0.134839972
67,の学習履歴から推定し，推定した地域の音声から学習者,0.156524758,0.133333333,0.039528471,0.134839972
68,に段階的,0,0,0,0
70,出題,0,0,0,0
71,す,0,0,0,0
72,る英語リスニング学習支援システムを提案．,0.081649658,0.060858062,0,0.123091491
73,初級,0,0,0,0
74,中級,0,0,0,0
75,上級,0,0,0,0
76,学習者の,0.141421356,0.105409255,0.125,0.213200716
77,英語能力,0,0,0,0
78,初級～中級の間の,0,0,0,0
79,英語能力を持つ学習者,0.089442719,0.066666667,0.079056942,0.134839972
80,中級～上級の間の,0,0,0,0
81,英語能力を持つ学習者,0.089442719,0.066666667,0.079056942,0.134839972
82,EX,0,0,0,0
83,）この,0,0,0,0
84,よう,0,0,0,0
85,な曖昧な段階の英語能力を持つ学習者に対し，,0.075592895,0.056343617,0.06681531,0.113960576
86,学習,0.1,0.149071198,0,0.301511345
87,継続,0.1,0,0,0
88,しやすい地域音声を推定,0.223606798,0.066666667,0,0
89,し，学習者,0.173205081,0.172132593,0.102062073,0.174077656
90,に出題．,0,0,0,0
91,初級,0,0,0,0
92,中級,0,0,0,0
93,上級,0,0,0,0
94,初級～中級の間の,0,0,0,0
95,英語能力を持つ学習者,0.089442719,0.066666667,0.079056942,0.134839972
96,中級～上級の間の,0,0,0,0
97,英語能力を持つ学習者,0.089442719,0.066666667,0.079056942,0.134839972
98,聞き取れる！,0,0,0,0
99,楽しい！,0,0,0,0
101,学習意識の改善＊,0.057735027,0.086066297,0,0.174077656
103,学習継続率の,0.173205081,0.086066297,0,0.174077656
104,向上,0.1,0,0,0
106,リスニング能力の,0,0,0,0
107,向上,0.1,0,0,0
108,学習者の,0.141421356,0.105409255,0.125,0.213200716
109,英語能力,0,0,0,0
110,音源,0,0,0,0
111,推薦機能,0,0,0,0
112,地域,0,0,0,0
113,別正答率,0.115470054,0,0,0
114,算出機能,0.070710678,0,0,0
115,正答,0.1,0,0,0
116,率,0.1,0,0,0
118,情報を取得,0,0,0,0
119,算出,0.1,0,0,0
120,結果を送信,0,0,0,0
121,問題,0,0,0,0
122,の提示,0,0,0,0
123,地域発音英語音声,0.1,0,0,0
124,提案システム,0.070710678,0,0,0
126,手順,0,0,0,0
129,提案,0,0,0,0
130,システム,0.1,0,0,0
131,による学習方法を実現するため，以下の手順を行う．,0.106066017,0.158113883,0.125,0.106600358
133,地域発音英語による英語リスニング学習の履歴から，,0.031622777,0.047140452,0,0.095346259
134,地域,0,0,0,0
135,別,0,0,0,0
136,の正答率,0.141421356,0,0,0
137,を算出する．,0.212132034,0.210818511,0.25,0
139,算出した地域別の正答率から学習者の得意な発音やアクセントを多,0.166410059,0.082689823,0.049029034,0.083624201
140,く含む地域を推定し，その推定結果から，,0.030151134,0.044946657,0,0
141,地域ごとの問題の出題数,0,0,0,0
142,を決める．,0,0,0,0
143,地域別正答率の算出方法,0.122474487,0,0,0
144,Step,0,0,0,0
145,算出,0.1,0,0,0
146,の流れ,0,0,0,0
147,Step,0,0,0,0
148,Step,0,0,0,0
150,以下,0,0,0,0
151,の手順に従って，地域別正答率を算出する．,0.188982237,0.112687234,0.133630621,0
152,地域別正答率の算出方法,0.122474487,0,0,0
153,問題,0,0,0,0
154,音源,0,0,0,0
155,地域,0,0,0,0
156,音声別,0.141421356,0,0,0
157,正答率,0.141421356,0,0,0
159,地域別正答率,0.1,0,0,0
162,P,0,0,0,0
163,A,0,0,0,0
164,さん,0,0,0,0
165,C,0,0,0,0
169,B,0,0,0,0
170,さん,0,0,0,0
172,P,0,0,0,0
173,A,0,0,0,0
174,さん,0,0,0,0
176,B,0,0,0,0
177,さん,0,0,0,0
181,#NAME?,0.313049517,0.066666667,0.079056942,0.134839972
182,EX,0,0,0,0
184,地域推薦機能,0,0,0,0
185,Cx=%,0,0,0,0
186,Cx=%,0,0,0,0
187,地域別正答率の最も低い,0.081649658,0,0,0
188,地域から順,0.057735027,0,0,0
190,判定,0,0,0,0
192,基準値,0,0,0,0
193,された地域として分類,0.05,0,0,0
194,基準値,0,0,0,0
196,を超えた,0,0,0,0
197,地域を除外,0,0,0,0
198,Ex)Θ,0,0,0,0
201,EX)C,0,0,0,0
204,EX)C,0,0,0,0
207,EX,0,0,0,0
209,C ,0,0,0,0
210,EX)C,0,0,0,0
211,除外,0,0,0,0
213,以下の手順により，学習者に出題する，地域ごとの問題数を決める．,0.120604538,0.134839972,0.159900537,0.090909091
214,STEP,0,0,0,0
215,１：一定以下の地域を除外,0.089442719,0,0,0
216,STEP:,0,0,0,0
217,除外されなかった地域の中でも，より聞き取りやすい地域,0.180906807,0,0,0
218,音声での問題を多く含むように出題．,0.081649658,0,0,0
219,出題数算出パターンは,0.05,0,0,0
223,パターン,0,0,0,0
224,：正答率の順位による出題数算出．,0.122474487,0,0,0
226,全問題数,0,0,0,0
227,P,0,0,0,0
228,個とし，出題数,0.05,0.074535599,0,0
229,X,0,0,0,0
230,個を求めたい地域の，正答率の順位,0.081649658,0,0,0
231,位，出題する地域の,0.1,0.149071198,0.176776695,0
232,総数,0,0,0,0
234,C,0,0,0,0
235,個とする,0.141421356,0.210818511,0.25,0
236,X,0,0,0,0
238,P,0,0,0,0
240,(C,0,0,0,0
242,N)/C(C,0,0,0,0
245,と,0,0,0,0
246,なるように，それぞれの地域の出題数を設定．,0,0,0,0
247,地域推薦機能,0,0,0,0
249,パターン,0,0,0,0
250,の例と特徴,0,0,0,0
252,地域ごとの正答率にあまり差がない場合でも，出題する音声の,0.173205081,0.086066297,0.102062073,0
253,地域ごとの問題数を変えてしまう．,0,0,0,0
255,地域ごとの正答率に大きく差が出た場合でも，出題問題数毎に,0.05547002,0,0,0
256,一定割合は，差の大きな両社とも出題される,0.035355339,0,0,0
258,地域除外で解決？）,0,0,0,0
259,地域推薦機能,0,0,0,0
260,地域,0,0,0,0
261,地域別正答率,0.1,0,0,0
262,C,0,0,0,0
263,％,0,0,0,0
264,C,0,0,0,0
265,％,0,0,0,0
266,C,0,0,0,0
267,％,0,0,0,0
268,全,0,0,0,0
269,問出題する場合,0.1,0.149071198,0.176776695,0
270,C=,0,0,0,0
271,問,0,0,0,0
272,",C=",0,0,0,0
273,問,0,0,0,0
274,",C=",0,0,0,0
275,問,0,0,0,0
276,地域,0,0,0,0
277,地域別正答率,0.1,0,0,0
