id,text,toC1421,H-tsukiji
0," kamimura/.txt	-- ::. 
",0,0
1,で実施される海外,0,0
2,研修や,0,0
3,企業における,0,0
4,提携先などとして,0,0
5,様々,0,0
6,な国との繋がりが,0,0
7,重要となりつつある,0,0
8,EX),0,0
9,アジア・ヨーロッパ,0,0
10,同じ「英語」という言語でも，様々な国の人々が話す英語は，,0,0
11,発,0,0
12,話,0.301511345,0
13,者,0,0
14,の出身地域ごとに,0,0.08247861
15,わからない,0,0
17,英語リスニング能力の低下,0,0
18,研究動機,0,0.101015254
20,地域発音英語,0,0.16495722
22,英語リスニングに苦手意識がある人にとっても，,0,0
24,聞き取りやすい発音やアクセントが多く,0,0.058321184
25,含まれている可能性がある,0,0.116642369
28,聞き取りやすさ：,0,0
29,本研究では，発音やアクセントといった音響的特徴の違いを要因とした,0,0.09035079
30,聞き手の，,0,0
31,英語語句そのものや意味,0,0
33,表現の認知のしやすさ,0,0
34,と定義．,0,0
36,学習者の英語能力を,0,0.071428571
37,考慮しない音声・教材,0,0
38,地域発音英語,0,0.16495722
39,こっちの方,0,0
40,が,0,0
41,聞き取りやすい！,0,0
42,聞き取りづらい,0,0
43,聞き取りやすい！,0,0
44,聞き手,0,0
45,によって異なる地域発音英語の「聞き取りやすさ」,0,0.116642369
46,を算出する研究・システムは存在していない,0,0.215979699
48,Figure ,0,0
49,研究課題の概要（例）,0,0.071428571
50,ー,0,0
51,ー,0,0
52,ー,0,0
53,ー,0,0
54,ー,0,0
55,ー,0,0
56,地域発音英語,0,0.16495722
58,以下の,0,0
59,二,0,0
60,つを提案．,0,0.428571429
62,聞き手によって,0,0
63,異なる地域発音英語の「聞き取りやすさ」,0,0.116642369
65,算出するシステム．,0,0.24743583
67,算出結果の高い地域発音英語から，段階的に学習させるような,0,0.118864328
68,英語,0,0
69,リスニング学習,0,0.101015254
70,方法．,0,0.142857143
71,提案システムおよび提案する学習方法の有用性を実験により検証．,0,0.594321639
72,Figure ,0,0
73,研究課題の概要（例）,0,0.071428571
74,ー,0,0
75,ー,0,0
