id,text,ktakano,toC1421,H-tsukiji
0," kamimura/.txt	-- ::. 
",0,0,0
1,グ,0,0,0
2,ローバル化の急速な進展とともに，英語を,0,0,0
3,用いた，多くの国の人々とのコミュニケーション,0,0,0
4,機会が増加している．,0.162221421,0,0.11250879
5,様々な国の人々が話す英語は，欧米英語や英国英語と比べて，,0,0,0
6,欧米英語・英国英語の音声を,0,0,0
7,用いた英語リスニング学習,0,0,0
8,聞き取りやすさ：発音やアクセントといった音響的特徴の違いを要因とした,0.153896753,0,0.071156807
9,欧米英語・英国英語の,0,0,0
10,音声を用いた学習,0,0,0
11,聞き取りづらい,0,0,0
12,聞き取りやすい,0,0,0
13,聞き取れる！,0,0,0
14,楽しい！,0,0,0
15,Figure ,0,0,0
16,英語リスニングに,0,0,0
17,苦手意識がある学習者,0.036273813,0,0
18,研究目的,0,0,0
19,以下の機能を持つシステムを提案．,0.181369063,0.047404546,0
20,異なる地域発音,0.093658581,0.061199006,0
21,英語ごと,0,0,0
24,聞き取りやすさ」,0,0,0
25,算出する機能．,0.187317162,0.122398012,0
26,算出した「聞き取りやすさ」から，地域発音英語の地域ごとの,0.117073226,0.061199006,0.06495698
27,出題数を算出する機能．,0.217642875,0.237022732,0.050315461
28,提案システムおよび提案システムを用いた学習方法の実現,0.112480318,0.058798103,0
29,可能性,0,0,0.079555728
31,実験により検証．,0.1720618,0,0.159111457
33,提案システムには，以下のような特徴がある．,0.132453236,0.043274232,0.183726085
35,学習者毎の地域発音英語の聞き取りやすさを,0.081110711,0.035333263,0
36,算出．,0,0,0
38,学習者にとって，聞き取りやすいと感じる英語,0,0,0
39,発音,0.081110711,0,0
41,アクセントを持つ国,0,0,0
43,地域の抽出．,0.057353933,0.074953169,0
45,算出した「聞き取りやすさ」,0.081110711,0,0.11250879
46,から，地域ごとの出題数を算出．,0.099339927,0.173096929,0.045931521
48,地域,0.081110711,0.105999788,0
49,発音に着目,0.114707867,0,0
50,した場合の,0.114707867,0,0.159111457
51,パーソナライゼーション,0.081110711,0,0
52,機能．,0.243332132,0,0
53,提案,0.081110711,0,0
54,システム,0.081110711,0.105999788,0
56,概要・,0,0,0
57,特徴,0.081110711,0,0
59,出題数,0.114707867,0.224859507,0.079555728
60,算出,0,0,0
61,機能,0.243332132,0,0
62,Figure ,0,0,0
64,以下,0,0,0
65,の手順,0,0,0
66,により，学習者に出題する，地域ごとの問題数,0.114707867,0.33728926,0.039777864
67,を算出する．,0.057353933,0.149906338,0
68,STEP,0,0,0
69,：出題するすべての地域（国）を地域別正答率に基づいて順位付け．,0.086710997,0.11331854,0.030069239
70,出題数,0.114707867,0.224859507,0.079555728
71,算出,0,0,0
72,機能,0.243332132,0,0
73,地域,0.081110711,0.105999788,0
74,地域別正答率,0.040555355,0.052999894,0
75,C,0,0,0
76,％,0,0,0
77,C,0,0,0
79,C,0,0,0
80,％,0,0,0
81,順位,0,0,0
82,地域,0.081110711,0.105999788,0
83,地域別正答率,0.040555355,0.052999894,0
84,C,0,0,0
86,C,0,0,0
88,C,0,0,0
90,EX,0,0,0
92,地域を順位付けする場合,0.072547625,0.142213639,0
93,ある地域について，その出題数を算出．,0.132453236,0.173096929,0.045931521
95,正答率の順位,0,0,0
96,による出題数算出,0.093658581,0.183597018,0.06495698
99,正答率の順位を,0,0,0
101,順位,0,0,0
102,の高い地域,0.057353933,0.074953169,0
103,を多く,0,0,0
104,含,0,0,0
105,む：X=..×(.....)/σ,0,0,0
109,順位の低い地域,0.046829291,0.061199006,0
110,を多く含,0,0,0
111,む：X=..×../σ,0,0,0
114,出題数算出機能,0.202776776,0.158999682,0.056254395
115,STEP:,0,0,0
116,ある地域について，その出題数を算出,0.132453236,0.173096929,0.045931521
119,正答率の比,0,0,0
120,率,0,0,0
121,による出題数算出．,0.093658581,0.183597018,0.06495698
122,全問題数,0.046829291,0.428393043,0
123,P,0,0,0
124,個とし，出題数,0.162221421,0.26499947,0.168763185
125,X,0,0,0
126,個を求めたい地域,0.046829291,0.183597018,0
127,c,0,0,0
128,の，正答率を,0,0,0
129,AVE,0,0,0
130,T,0,0,0
132,出題する地域の,0.140487872,0.183597018,0.06495698
133,総数,0,0,0
135,C,0,0,0
136,個とする．,0.057353933,0.299812676,0
139,正答,0,0,0
140,率,0,0,0
141,の高い地域を多く含む：,0.040555355,0.052999894,0
142,X=..×......../σ,0,0,0
146,正答,0,0,0
147,率,0,0,0
148,の低い地域を多く含む：,0.040555355,0.052999894,0
149,X=..×(.........)/(..×).σ,0,0,0
152,出題数,0.114707867,0.224859507,0.079555728
153,算出,0,0,0
154,機能,0.243332132,0,0
156,パターン,0.081110711,0,0.22501758
157,とパターン,0.057353933,0,0.159111457
158,の考え方の違い,0.114707867,0,0
159,パターン,0.081110711,0,0.22501758
161,正答率の順位,0,0,0
162,による出題数算出．,0.093658581,0.183597018,0.06495698
164,正答率,0,0,0
165,の，順位,0,0,0
167,応じて聞き取りやすさにある,0.072547625,0,0
168,程度,0,0,0
169,の差,0,0,0
170,が,0.243332132,0,0
171,あると判断．,0.057353933,0,0
172,パターン,0.081110711,0,0.22501758
174,正答率の比率,0,0,0
175,による出題数算出,0.093658581,0.183597018,0.06495698
178,正答率の,0,0,0
179,・差,0,0,0
180,が少ない地域同士,0.046829291,0.061199006,0
182,聞き取りやすさに差が,0.040555355,0,0
183,ない,0,0,0
184,・差,0,0,0
185,が大きい地域同士,0.046829291,0.061199006,0
187,聞き取りやすさに差が,0.040555355,0,0
188,ある,0.081110711,0,0
189,と判断．,0,0,0
190,出題数,0.114707867,0.224859507,0.079555728
191,算出,0,0,0
192,機能,0.243332132,0,0
194,パターン,0.081110711,0,0.22501758
195,とパターン,0.057353933,0,0.159111457
196,の違い,0.081110711,0,0
197,（全,0,0.105999788,0
198,問出題，聞き取りやすい地域を多く含む場合の例）,0.054073807,0.141333051,0.03750293
199,出題数,0.114707867,0.224859507,0.079555728
200,算出,0,0,0
201,機能,0.243332132,0,0
202,パターン,0.081110711,0,0.22501758
203,パターン２,0.114707867,0,0.159111457
204,出題数,0.114707867,0.224859507,0.079555728
205,出題数,0.114707867,0.224859507,0.079555728
