,,ktakano,sunya9,unblee,shohei516,kohei1110,toC1421,H-tsukiji,kaseiaoki
1,観賞魚が小さいために，病気の時に現れる外観や動きの,0,0,0.144337567,0,0,0,0,0
2,変化に気づきにくい,0,0,0,0,0,0,0.103695169,0
3,個体,0,0,0,0,0,0,0.359210604,0
5,模様,0,0,0,0,0,0,0.179605302,0
6,を考慮,0,0,0,0,0,0.188982237,0,0
7,し,0,0,0,0,0.137360564,0,0,0
10,変化を検知,0,0,0,0,0,0,0.127000127,0
13,欠点：画像の向き・角度・光の加減に影響されやすい,0,0,0,0,0.086874449,0.239045722,0.113592367,0
14,枚目,0,0,0,0.3086067,0,0,0,0.666666667
18,枚目,0,0,0,0.3086067,0,0,0,0.666666667
19,Ｎ枚目,0,0,0,0.3086067,0,0,0,0.666666667
25,本研究の提案手法,0,0.204124145,0,0,0,0,0,0
29,各識別画像の類似度の合計を識別画像集合の類似度とする,0,0,0,0,0.030714756,0.084515425,0.040160966,0.052704628
31,目的：画像の向き・角度・光の影響を減少,0,0.15430335,0,0,0,0.142857143,0.067884423,0
32,枚目,0,0,0,0.3086067,0,0,0,0.666666667
33,枚目,0,0,0,0.3086067,0,0,0,0.666666667
34,Ｎ枚目,0,0,0,0.3086067,0,0,0,0.666666667
35,枚目,0,0,0,0.3086067,0,0,0,0.666666667
36,枚目,0,0,0,0.3086067,0,0,0,0.666666667
37,Ｍ枚目,0,0,0,0.3086067,0,0,0,0.666666667
42,枚目,0,0,0,0.3086067,0,0,0,0.666666667
45,枚目,0,0,0,0.3086067,0,0,0,0.666666667
50,枚,0,0,0,0.21821789,0,0,0,0.471404521
51,目の類似度,0,0,0,0.125988158,0,0,0,0.272165527
53,枚目～,0,0,0,0.3086067,0,0,0,0.666666667
55,枚目の類似度の合計,0,0,0,0.195180015,0,0,0,0.421637021
56,を識別画像集合の類似度とする,0,0,0,0,0.056077215,0.15430335,0.073323558,0.096225045
57,本研究のアプローチ,0.071066905,0.23570226,0,0,0,0,0,0
63,枚,0,0,0,0.21821789,0,0,0,0.471404521
66,本研究では，初期画像集合と,0,0.182574186,0,0,0,0,0,0
70,算出した類似度を前日または初期類似度と比較,0,0,0,0,0.036711155,0,0,0
72,類似度の差分がしきい値を超えたら外観変化を検知,0,0,0,0,0.091573709,0,0.059868434,0
88,外観変化,0,0,0,0,0,0,0.127000127,0
95,実験１（１）,0.055048188,0,0,0,0,0.084515425,0.160643866,0
96,目的,0,0.40824829,0,0,0,0,0.179605302,0
97,異なる模様の画像を学習データとして代用した場合の,0.087038828,0,0,0,0.048564293,0,0.063500064,0
98,外観変化検知,0,0,0,0,0,0,0.103695169,0
102,似た柄の千代紙,0,0,0,0,0,0.109108945,0,0
103,種類を,0.123091491,0,0,0,0,0,0,0
108,何も加工を施さない場合を「健康,0,0,0,0,0.061429512,0,0,0
111,小さい白点を付与したものを「白点病,0,0,0,0,0.038096966,0,0,0
118,と,0,0,0.40824829,0,0,0,0,0
122,を学習データとした場合，,0.123091491,0,0,0,0.068680282,0,0,0
142,実験１（２）,0.071066905,0,0,0,0,0.109108945,0.207390339,0
144,結果,0,0,0,0,0,0,0.179605302,0
148,異なる模様の画像を学習データとして代用した,0.093048421,0,0,0,0.051917413,0,0.067884423,0
151,実験２（１）,0.071066905,0,0,0,0,0.109108945,0.207390339,0
153,目的,0,0.40824829,0,0,0,0,0.179605302,0
155,提案手法による外観変化検知,0,0,0,0,0,0,0.080321933,0
160,種類の千代紙を観賞魚の個体,0.061545745,0,0,0,0,0.094491118,0.179605302,0
165,時系列が進むごとに病気が進行と想定,0,0,0.166666667,0,0,0,0.073323558,0
167,何も加工を施さない場合を「健康,0,0,0,0,0.061429512,0,0,0
173,小さい白点を付与したものを「白点病,0,0,0,0,0.038096966,0,0,0
188,個体,0,0,0,0,0,0,0.359210604,0
193,個体,0,0,0,0,0,0,0.359210604,0
198,個体,0,0,0,0,0,0,0.359210604,0
203,個体,0,0,0,0,0,0,0.359210604,0
208,個体,0,0,0,0,0,0,0.359210604,0
213,個体,0,0,0,0,0,0,0.359210604,0
218,個体,0,0,0,0,0,0,0.359210604,0
223,実験２（２）,0.055048188,0,0,0,0,0.084515425,0.160643866,0
229,時間の経過につれ病気が進行している様子を,0,0,0.144337567,0.077151675,0.145692879,0,0,0
231,ることは困難,0,0,0,0,0.097128586,0,0,0
232,.......DayDayDayDayDayDay回目回目回目,0,0,0,0.150187852,0,0,0,0.324442842
233,....DayDayDayDayDayDay回目回目回目,0,0,0,0.150187852,0,0,0,0.324442842
234,個体,0,0,0,0,0,0,0.359210604,0
237,個体,0,0,0,0,0,0,0.359210604,0
240,実験２（３）,0.071066905,0,0,0,0,0.109108945,0.207390339,0
244,時間が経過するごとに類似度が減少,0,0,0,0,0.051917413,0.142857143,0.067884423,0.089087081
248,と,0,0,0.40824829,0,0,0,0,0
251,で類似度が,0,0,0,0,0,0,0.103695169,0
253,減少しているため，,0,0,0,0.109108945,0.137360564,0,0,0
255,で病気,0,0,0.288675135,0,0,0,0.127000127,0
256,症状の発見が可能,0,0,0,0,0.068680282,0,0,0
263,個体,0,0,0,0,0,0,0.359210604,0
266,個体,0,0,0,0,0,0,0.359210604,0
269,データ収集,0.174077656,0,0,0,0,0,0,0
,,1.056257628,1.593200521,1.560513516,4.947520677,1.308306516,1.652518768,7.551842544,10.52351403
