,,H-tsukiji,kohei1110,shohei516,toC1421
17,研究,0,0.158113883,0,0
19,研究動機,0,0.111803399,0,0
26,体に寄生虫や白いカビが付着する,0,0.064549722,0,0
27,白点病,0.233549683,0,0.230940108,0
30,や背びれが溶けたりボロボロに破れたりする尾腐れ病,0.047673129,0.055901699,0,0
33,カメラで撮影した画像を基に外観変化を検知す,0.042640143,0.05,0.18973666,0.316227766
34,る手法が観賞魚の病気の早期発見に,0.110096377,0.064549722,0,0
36,健康,0.134839972,0,0,0
37,白点病,0.233549683,0,0.230940108,0
39,尾腐れ病,0.077849894,0,0,0
40,ヒレや尻尾が溶けるように,0.067419986,0,0,0
42,研究課題,0,0.111803399,0,0
43,時系列で分類し，,0.134839972,0.079056942,0.2,0.25
49,を提案,0.134839972,0,0,0
50,本研究の特徴,0,0.091287093,0,0
52,初期画像集合と,0,0,0.115470054,0.144337567
53,識別画像集合,0,0,0.115470054,0.144337567
54,を比較,0,0.158113883,0,0
56,算出した類似度を前日または初期類似度と比較,0,0.084515425,0.053452248,0.133630621
81,初期画像,0,0,0.141421356,0.176776695
83,画像,0,0,0.2,0.25
84,画像の回転,0,0,0.141421356,0.176776695
93,システム概要図,0,0.091287093,0,0
94,画像集合,0,0,0.141421356,0.176776695
106,画像集合,0,0,0.141421356,0.176776695
110,画像集合,0,0,0.141421356,0.176776695
114,画像集合,0,0,0.141421356,0.176776695
118,画像集合,0,0,0.141421356,0.176776695
122,個体の識別機能の概要図,0,0.070710678,0,0
132,画像集合,0,0,0.141421356,0.176776695
139,初期画像集合,0,0,0.115470054,0.144337567
144,画像,0,0,0.2,0.25
148,画像集合,0,0,0.141421356,0.176776695
166,し,0,0.158113883,0.2,0.5
171,画像,0,0,0.2,0.25
177,し，,0,0.158113883,0.2,0.5
189,像集合を学習データ,0,0,0,0.125
194,別する,0,0.111803399,0,0
195,学習データセット,0,0,0,0.144337567
196,実験１,0.381385036,0.223606798,0.141421356,0
198,実験目的,0.381385036,0.335410197,0.141421356,0
200,観賞魚の画像を用いて病気判定をする場合，症状,0,0.055901699,0.070710678,0.088388348
201,を発生してい,0,0.091287093,0.115470054,0.288675135
202,る観賞魚の画像データを学習データとして用意する必要が,0,0.143019388,0.060302269,0.150755672
205,病気と模様の区別のつきにくい外観変化に対して，,0,0.055901699,0.070710678,0
208,病気画像から病気の検知が可能,0,0,0.070710678,0.088388348
212,異なる模様の画像を学習データとして代用した場合の,0,0.055901699,0.141421356,0.353553391
215,が可能であるか検証する,0,0.079056942,0,0
216,実験１,0.381385036,0.223606798,0.141421356,0
217,実験,0.53935989,0.316227766,0.2,0
220,実験例,0.476731295,0.223606798,0.141421356,0
221,（健康）,0.134839972,0,0,0
222,（白点病）,0.233549683,0,0.230940108,0
223,（白点）,0.190692518,0,0.282842712,0
224,と柄,0.190692518,0.111803399,0.141421356,0
225,（健康）,0.134839972,0,0,0
226,実験１,0.381385036,0.223606798,0.141421356,0
228,組全てが，白点病の有無に関係なく柄ごとに分類,0.243934688,0,0.180906807,0
230,例,0.134839972,0,0,0
232,柄,0.269679945,0,0.2,0
233,（健康）,0.134839972,0,0,0
234,と,0,0.158113883,0,0
235,柄,0.269679945,0,0.2,0
236,（白点病）,0.233549683,0,0.230940108,0
237,を学習データとした場合，,0,0.079056942,0.1,0.375
238,柄,0.269679945,0,0.2,0
239,（白,0.134839972,0,0.2,0
240,点,0.134839972,0,0.2,0
242,は柄１（健康），,0.233549683,0,0.115470054,0
243,柄,0.269679945,0,0.2,0
244,（健康,0.134839972,0,0,0
246,は柄２（白点病）に分類,0.33028913,0.064549722,0.244948974,0
247,異なる模様の画像で学習データを作成することは困難,0.042640143,0.1,0.126491106,0.158113883
249,異なる模様の画像を学習データとして代用した場合，外観検知,0,0.05,0.126491106,0.316227766
252,柄１（健康）,0.233549683,0,0.115470054,0
253,柄２（白点病）,0.301511345,0.070710678,0.268328157,0
254,学習データ,0,0,0,0.176776695
255,識別画像,0,0,0.141421356,0.176776695
256,柄１（白点病）,0.301511345,0,0.268328157,0
257,柄２（健康）,0.233549683,0.091287093,0.115470054,0
260,分類結果,0.190692518,0,0,0
261,柄１（健康）,0.233549683,0,0.115470054,0
262,柄２（白点病）,0.301511345,0.070710678,0.268328157,0
263,実験２,0.381385036,0.335410197,0.141421356,0
264,実験,0.53935989,0.316227766,0.2,0
274,の画像データ例,0.077849894,0,0.115470054,0.144337567
277,における時系列症状変化例,0.067419986,0,0,0
278,実験,0.53935989,0.316227766,0.2,0
279,2,0,0.158113883,0,0
280,実験２,0.381385036,0.335410197,0.141421356,0
283,単体の画像データ間の,0,0,0.1,0.125
285,で比較,0.095346259,0.111803399,0.141421356,0
286,する場合,0,0.111803399,0,0
289,している画像データの,0,0.158113883,0.2,0.5
293,提案,0.134839972,0,0,0
294,方式の適用により系列画像集合間の,0,0,0.081649658,0.102062073
296,で比較する場合,0.067419986,0.158113883,0.1,0
299,している画像データの外観変化の検知が,0,0.119522861,0.151185789,0.377964473
304,今回の実験で使用した模様以外でも,0.254823596,0.179284291,0.226778684,0.188982237
305,病気の症状を検知可能で,0.060302269,0,0.089442719,0
309,撮影した画像に識別したい個体以外が,0,0.105409255,0.2,0.5
314,外観変化を検知した場合，病気,0,0.064549722,0.081649658,0.204124145
,,11.87579519,6.913080675,11.40441293,9.058325338
