,,H-tsukiji,toC1421,sunya9,kohei1110,ktakano
1,を識別するときに，それまでに識別された個,0.055048188,0.095346259,0,0.170560573,0.043437224
3,観賞魚の代用として千代紙を使用,0,0.150755672,0,0,0
9,実際の観賞魚の場合，対象が動くため他のタイミングで撮影す,0,0,0,0,0.020707884
10,るのか，また背景の海藻などのノイズの影響を受けてしまうので,0,0,0,0.047673129,0.048564293
16,ように対象である観賞魚の画像範囲を決めるのか,0.123091491,0,0,0.238365647,0.218539319
22,画像,0,0,0,0.53935989,0.206040846
23,の変化量を検知した後にどのような病気なのかを分類する,0.288675135,0.181818182,0.087038828,0.081311563,0.24849461
26,の変化と病気の変化の判別をつける案,0.092318618,0,0,0,0
33,類似度,0,0,0,0,0.097128586
34,をどのように見ているのか,0.194624736,0,0,0.120604538,0.215003291
36,学習時に健康個体の特徴量,0.035533453,0,0,0,0.056077215
42,を基にしているのか，比較画像を重ね合わせてそ,0.116051771,0.100503782,0.096225045,0.314626602,0.206040846
43,の差分をとるような類似度なのか,0.142133811,0,0,0.055048188,0.224308862
46,白点病,0.201007563,0,0,0,0.039652579
47,ではたくさんあるように見えたが実験の一つの点を大き,0.261116484,0,0.096225045,0,0.206040846
48,くする変化は妥当なの,0.043519414,0,0,0,0
51,白点が増えていく場合も実験,0.213200716,0,0.11785113,0,0.084115823
53,どのように判定,0.201007563,0,0,0,0.158610317
54,することで観賞魚が助かるラインを決めるのか．,0.065795169,0.113960576,0,0.050964719,0.129793533
55,実験２,0.184637236,0,0.204124145,0,0.097128586
58,画像集合類似度スコア,0,0,0,0.361813613,0.184288535
61,画像集合類似度スコア,0,0,0,0.361813613,0.184288535
64,画像集合類似度スコア,0,0,0,0.361813613,0.184288535
67,画像集合類似度スコア,0,0,0,0.361813613,0.184288535
69,尾腐れ病,0.050251891,0,0,0,0
70,白点病,0.201007563,0,0,0,0.039652579
71,個体,0.087038828,0,0,0,0.068680282
73,個体,0.087038828,0,0,0,0.068680282
,,2.643098458,0.642384471,0.601464193,3.065769301,3.213851943
