,,H-tsukiji,shohei516,kohei1110,toC1421,unblee
20,観賞魚は環境適応能力が強まり，飼育経験の豊富で,0,0,0.05143445,0,0
32,ある,0,0.277350098,0,0,0
34,体に寄生虫や白いカビが付着する,0,0,0,0,0.178174161
38,や背びれが溶けたりボロボロに破れたりする尾腐れ病,0,0,0,0,0.15430335
41,撮影した画像を基に外観変化を検,0.174963553,0.104828484,0.116642369,0.097590007,0.16495722
42,知する手法が観賞魚の病気の早期発見に,0,0,0,0,0.15430335
51,画像,0.15430335,0,0.3086067,0,0.21821789
55,類似度,0.21821789,0.39223227,0,0,0
57,画像の回転・拡大を考慮した画像特徴量,0.195180015,0.087705802,0.195180015,0.081649658,0.207019668
59,研究課題,0,0,0,0.365148372,0
60,像認識技術を適用することが可能,0,0,0,0,0.24743583
63,病気症状箇所が柄に混ざる可能性があるので，個,0,0.092450033,0,0,0
65,の模様を考慮した上で外観の変化を,0.125988158,0.113227703,0,0.105409255,0.089087081
66,認識,0,0,0,0,0.21821789
68,類似度,0.21821789,0.39223227,0,0,0
69,を算出する際の比較データが１枚だけで,0,0.098058068,0,0,0.231455025
70,は判定材料が少なく正確な判定が困難,0.109108945,0,0,0,0
72,単体画像の比較による類似度算出,0.188982237,0.226455407,0.125988158,0,0.178174161
73,欠点：画像の向き・角度・光の加減に影響されやすい,0.097590007,0,0.097590007,0,0.069006556
77,特徴：向きによる類似度の影響,0.138013112,0.248069469,0,0,0
83,識別画像,0.109108945,0,0.327326835,0,0.15430335
84,初期画像,0.109108945,0,0.327326835,0,0.3086067
85,画像の,0.15430335,0,0.3086067,0,0.21821789
90,類似度,0.21821789,0.39223227,0,0,0
98,画像集合,0.21821789,0,0.43643578,0,0.3086067
100,時系列で分類し，,0.15430335,0.138675049,0.077151675,0.129099445,0.109108945
101,画像,0.15430335,0,0.3086067,0,0.21821789
102,集合間類似度,0.231455025,0.277350098,0.15430335,0,0.109108945
108,類似度の総和,0.178174161,0.480384461,0,0,0
109,類似度の総和,0.178174161,0.480384461,0,0,0
110,類似度の総和,0.178174161,0.480384461,0,0,0
114,類似度の総和,0.178174161,0.480384461,0,0,0
116,概要図,0,0,0.109108945,0,0
117,画像集合,0.21821789,0,0.43643578,0,0.3086067
129,画像集合,0.21821789,0,0.43643578,0,0.3086067
133,画像集合,0.21821789,0,0.43643578,0,0.3086067
137,画像集合,0.21821789,0,0.43643578,0,0.3086067
141,画像集合,0.21821789,0,0.43643578,0,0.3086067
145,画像集合,0.21821789,0,0.43643578,0,0.3086067
149,画像集合,0.21821789,0,0.43643578,0,0.3086067
153,画像集合,0.21821789,0,0.43643578,0,0.3086067
157,画像集合,0.21821789,0,0.43643578,0,0.3086067
161,画像集合,0.21821789,0,0.43643578,0,0.3086067
165,画像集合,0.21821789,0,0.43643578,0,0.3086067
169,画像集合,0.21821789,0,0.43643578,0,0.3086067
173,画像集合,0.21821789,0,0.43643578,0,0.3086067
184,個体の識別機能の概要図,0,0,0.138013112,0,0
185,個体画像,0.109108945,0,0.21821789,0,0.15430335
186,類似度スコア,0.178174161,0.320256308,0,0,0
191,画像集合,0.21821789,0,0.43643578,0,0.3086067
194,初期画像集合,0.178174161,0,0.445435403,0,0.377964473
199,画像集合に追加,0.178174161,0,0.356348323,0,0.251976315
211,し,0.3086067,0.277350098,0,0.25819889,0.21821789
216,画像,0.15430335,0,0.3086067,0,0.21821789
224,された個体,0.089087081,0,0,0,0
226,画像,0.15430335,0,0.3086067,0,0.21821789
227,集合,0.15430335,0,0.3086067,0,0.21821789
234,別する,0,0,0,0,0.3086067
239,画像集合を時系,0.15430335,0,0.3086067,0,0.21821789
240,列に分割する．,0,0,0,0,0.251976315
244,複数の個体が混在する状況において各個体の画像集合,0.093048421,0,0.186096842,0,0.263180678
245,を生成する,0,0,0,0,0.3086067
250,別するときに，それまでに識別された個体,0.109108945,0,0.054554473,0,0.15430335
252,画像の和集合を学習データとする,0.125988158,0,0.251976315,0,0.356348323
254,分類された個体,0.077151675,0,0,0,0
256,の画像を時系列画像集合に分類する,0.163663418,0,0.327326835,0,0.385758375
258,他の個体画像においても閾値を超えた場合は類似度の,0.163663418,0.196116135,0.109108945,0,0.077151675
259,高いほうに追加される,0.069006556,0.124034735,0,0,0
264,よる識別,0,0,0.109108945,0,0
266,概要図,0,0,0.109108945,0,0
267,類似度スコアを,0.178174161,0.320256308,0,0,0
269,類似度,0.21821789,0.39223227,0,0,0
271,前日画像集合,0.178174161,0,0.356348323,0,0.251976315
272,との類似,0.15430335,0.277350098,0,0,0
273,度,0.15430335,0.277350098,0,0,0
274,初期画像集合との類似度,0.276026224,0.248069469,0.34503278,0,0.292770022
287,類似度,0.21821789,0.39223227,0,0,0
291,画像集合間の類似度の算出方法,0.233284737,0.209656967,0.233284737,0,0.16495722
293,各識別画像の類似度の合計を識別画像集合の類似度,0.247797314,0.254513905,0.28319693,0,0.150187852
294,とする,0,0,0,0,0.43643578
296,目的：画像の向き・角度・光の影響を減少,0.058321184,0,0.116642369,0,0.08247861
297,枚目,0,0.39223227,0,0,0
303,枚目,0,0.39223227,0,0,0
304,Ｎ枚目,0,0.39223227,0,0,0
305,枚目,0,0.39223227,0,0,0
306,枚目,0,0.39223227,0,0,0
307,Ｍ枚目,0,0.39223227,0,0,0
308,画像集合１,0.178174161,0,0.356348323,0,0.251976315
309,画像集合２,0.178174161,0,0.356348323,0,0.251976315
