,,H-tsukiji,ktakano,unblee,shohei516
4,識別する,0.050636968,0,0,0
6,された個体,0.041344912,0.136082763,0,0
8,の画像を時系列画像集合に分類する,0.126592421,0,0.121267813,0
10,他の個体画像においても閾値を超えた場合は類似度の,0.253184842,0,0.121267813,0
11,高いほうに追加される,0,0.052704628,0,0
15,実験３,0,0.083333333,0,0
19,個体識別機能を用いて個体分類が実現可能か検証,0.025318484,0,0,0.182574186
21,学習データを追加していくことで識別精度の低下を抑えられるか検証,0.062017367,0,0.099014754,0
23,実験１のような似た色・柄については,0.146176337,0.144337567,0,0
25,で分類可能,0.041344912,0,0.099014754,0
27,同じ柄で微妙に模様に変化をつけた場合分類可能か？,0.023870496,0.03928371,0,0
28,実験３,0,0.083333333,0,0
30,実験１のデータを,0,0.204124145,0,0
32,で分類,0.050636968,0,0.121267813,0
70,健康,0.071611487,0,0,0
82,することで観賞魚が助かるラインを決めるの,0.233882138,0,0.140028008,0
,,1.126617332,0.743199479,0.701860955,0.182574186
