,,ktakano,kohei1110,unblee,kaseiaoki,H-tsukiji
1,研究動機,0.272165527,0,0.381000381,0,0.071066905
3,上においては，改善点，良い点が投稿されることがある,0,0,0.103695169,0.093658581,0.145064713
4,しかし，駅のレビューにおいては．駅ごとにしかなく，駅の特,0,0.042257713,0,0,0
5,定の場所のプレビューは存在しない,0,0.141421356,0,0,0.269679945
7,特定の場所の投稿等を把握することによって,0,0.05976143,0.067884423,0.061313934,0.113960576
10,･･･クラスタリング,0,0.316227766,0.179605302,0,0.100503782
11,このようなクラスタリングを行うことで，,0,0.141421356,0.240965799,0.072547625,0.134839972
13,した言い回し,0.136082763,0.111803399,0,0,0.426401433
14,研究動機,0.272165527,0,0.381000381,0,0.071066905
17,係り受けによる構文解析を行うことによって，どの部分におい,0,0,0.067884423,0,0.037986859
19,に提示しているサービスは無い．,0.086066297,0.070710678,0,0,0.269679945
20,分類分け，係り受け解析を行う．,0,0,0.080321933,0,0.089893315
21,取得,0,0,0,0.162221421,0
22,した投稿を基に，どの箇所に改善の声，また良い点の投稿が集中して,0,0.076696499,0,0.078688948,0.316884717
24,駅において，どういう部分を改善してほしいというツイート、,0,0.05976143,0.067884423,0.061313934,0.227921153
25,また良いと思ったところのツイートがどれだけあったかを,0,0.052704628,0,0.054073807,0.033501261
28,一例,0,0,0.127000127,0,0.071066905
29,案内がわかりやすい,0.111111111,0.182574186,0,0,0
30,実験,0.19245009,0,0,0,0.100503782
32,東京駅,0,0,0,0.162221421,0
33,着いたけどどこ行けばいいかわからないから。詰みそう,0,0,0.216612144,0.342381192,0.090909091
37,東京駅で迷子にならなかったこの青天の霹靂をどう噛み,0,0,0.063500064,0.057353933,0
38,締めていいかわからない,0,0,0.240965799,0.362738125,0.089893315
40,実験,0.19245009,0,0,0,0.100503782
42,例文を通して係り受け解析を行った．,0,0.079056942,0,0,0
43,「東京駅着いたけどどこ行けばいいかわからないから詰みそう。」,0,0,0.207390339,0.374634325,0.087038828
44,東京駅着いたけど,0,0,0,0.229415734,0
47,どこ,0,0,0,0.162221421,0
53,わからないから,0,0,0.321287732,0.362738125,0.089893315
56,詰みそう,0,0,0,0,0.071066905
,,1.262491405,1.334397383,2.746998439,2.637522526,3.009327404
