,,kaseiaoki,misamatsuoka,kohei1110,toC1421,H-tsukiji,unblee,misamatsuoka
1,実装,0,0,0,0,0.044811071,0,0.333333333
2,詳細,0,0,0,0,0.089622143,0,0
5,全然わからない,0,0,0.083551199,0.048970211,0.051743368,0.203111116,0
9,実装,0,0,0,0,0.044811071,0,0.333333333
10,詳細,0,0,0,0,0.089622143,0,0
11,実装,0,0,0,0,0.044811071,0,0.333333333
12,詳細,0,0,0,0,0.089622143,0,0
15,解析結果を基に，吹き出しを表示する．,0.109108945,0,0,0.242390176,0.256116607,0.057448499,0
17,から,0,0,0.072357461,0.084818893,0.089622143,0.211079263,0
18,取得した投稿文,0,0.098058068,0.03617873,0.212047232,0.067216607,0.140719509,0
,,0.109108945,0.098058068,0.19208739,0.588226512,0.867998367,0.612358387,0.999999999
