id,text,ktakano,kohei1110,toC1421,H-tsukiji,shohei516
0," umetani/.txt	-- ::. ",0,0,0,0,0
1,GIS,0,0,0,0,0
2,上で歩道ネットワークを作成し，駅から周辺施設までの徒歩移動距離と迂回率を算,0.040291148,0.094491118,0.064820372,0.170782513,0.064820372
3,出する．,0,0,0,0.322748612,0
4,路線検索サービスの情報と，歩行情報の統合．,0.452267017,0,0.080845208,0.213003217,0
5,カロリー情報と駅・鉄道運航情報を統合することで付加,0.261116484,0.102062073,0.140028008,0.579750904,0
6,価値の高い情報を生成．,0.150755672,0,0,0.091287093,0
7,分,0,0,0,0,0
8,分,0,0,0,0,0
9,Google maps,0,0,0.171498585,0,0
10,を使って２点間のルート，距離，消費カロ,0.053300179,0,0,0.032274861,0
11,リーを表示．,0,0,0,0,0
12,駅すぱあと,0,0.612372436,0.420084025,0.210818511,0
13,API,0,0,0.242535625,0.091287093,0
14,で何ができるかを確認．,0.075377836,0.176776695,0,0.091287093,0.121267813
15,駅情報，路線情報，会社情報の情報が取得可能．,0.296078263,0.077151675,0.052925612,0.239045722,0
17,路線検索は可能だが検索結果は駅すぱあと,0.143019388,0.335410197,0.230089497,0.115470054,0
18,for web,0,0,0,0,0
19,で表示され,0,0,0,0,0
23,駅すぱあと：,0,0.612372436,0.420084025,0.210818511,0
24,出発地点と到着地点とを結ぶ公共交通機関,0,0,0,0,0
25,の最適経路を提供する,0,0,0,0.228217732,0
26,システム,0.150755672,0,0,0.091287093,0
28,駅すぱあと,0,0.612372436,0.420084025,0.210818511,0
29,と,0,0,0,0,0
30,Google,0,0,0.242535625,0,0
31,maps,0,0,0,0,0
32,の統合．,0.150755672,0,0.242535625,0.273861279,0
,,,,,,
,,1.773717332,2.623009065,2.728066234,3.172758798,0.186088185
