id,text,unblee,ktakano,kohei1110,H-tsukiji,HoshinoYuta
0," umetani/.txt	-- ::. ",0,0,0,0,0
1,歩けるのに電車を提案されてしまいリーズナブルな情報,0,0.193649167,0.231455025,0.085749293,0.063500064
2,を案内,0,0,0,0,0
3,できない．効率,0,0,0,0.171498585,0
4,が悪く情報統合が出来て,0,0.091287093,0,0,0
5,いない．,0,0,0,0,0
7,これを解決するために路線検索サービスの情報と歩行情,0,0.057735027,0,0,0
8,報の統合．,0,0,0,0,0
9,既存の鉄道乗り換えサービスに機能拡張をする形で,0,0,0.077151675,0,0
10,歩行推薦を行う,0,0,0,0,0
13,カロリー計算などの機能を追加．,0,0,0,0,0
14,ブラウザで路線検索を行い，乗り換える駅間が,0,0.069006556,0,0,0
15,設定した距離内であれば歩行経路を,0.238909241,0.074535599,0,0,0
17,使い推薦．,0,0,0,0,0
19,路線情報と歩行情報を結合することでユーザにより,0,0.115470054,0,0,0.056796183
20,リーズナブルな情報を提供できる．,0,0.091287093,0,0,0
21,提案システム,0,0.387298335,0.46291005,0,0.635000635
23,乗り換え情報,0,0.129099445,0,0,0
26,既存の鉄道乗り換えサービスに機能拡張をする形で,0,0,0.077151675,0,0
27,歩行推薦を行う．,0,0,0,0,0
29,駅すぱあと,0,0.105409255,0,0,0
30,API,0,0,0,0.242535625,0
31,を使い、駅・路線情報を取得して路線,0.195068579,0.182574186,0,0,0
32,検索を行う．,0,0,0,0,0
34,API,0,0,0,0.242535625,0
35,サンプルの実行結果,0,0.105409255,0,0,0
36,URL,0,0,0,0,0
37,から駅情報，時刻情報をスクレ,0,0.207019668,0,0,0
38,イピングして取得．,0.337868689,0.105409255,0,0,0
40,歩行情報,0,0.129099445,0,0,0
42,Google,0,0,0,0,0
43,maps API,0,0,0,0.171498585,0
44,を使い歩行経路を推薦．,0,0,0,0,0
45,摂取カロリーを消費させるにはそのぐらいの距離を歩くかを表,0,0,0.072739297,0.080845208,0
46,示．,0,0,0,0,0
47,個分のカロリーを消費するには現在地からどのぐらいの距離,0,0.064549722,0,0,0
48,を歩くか．,0,0,0,0,0
49,その逆に歩いた距離をケーキ数個分などわかりやすい例えを使い表示．,0,0,0,0,0.049813548
50,計算式：,0,0,0,0,0
51,消費カロリー,0,0,0,0,0
52,(h),0,0,0,0,0
54,実装,0,0,0,0.242535625,0
55,Goo,0,0,0,0,0
56,gle ,0,0,0,0,0
57,maps API,0,0,0,0.171498585,0
58,を取得して，,0.413802944,0.129099445,0,0,0
59,点間の距離とそこを歩くこと,0,0,0,0,0
60,で消費されるカロリーを計算して表示．,0.206901472,0.064549722,0.077151675,0.085749293,0
61,駅すぱあと,0,0.105409255,0,0,0
62,API,0,0,0,0.242535625,0
63,を取得して，駅情報と路線情報を取得．,0.176446168,0.220192753,0,0,0
64,上記,0,0,0,0,0
66,情報を統合して乗り換え時の歩行推薦をするシステムを,0.195068579,0.182574186,0.072739297,0,0.239473736
67,実装する．,0,0,0,0.171498585,0
69,駅すぱあと：出発地点と到着地点とを結ぶ公共交通機関の最適,0,0.048795004,0,0,0
70,経路を提供するシステム．,0,0.091287093,0.109108945,0,0.359210604
71,乗り換えを使うよりも歩いた方が良い距離ならば歩行を,0,0,0,0,0
72,推薦,0,0,0,0,0
73,歩行推薦の例（,0,0,0,0,0
75,乗り換えのない路線を利用している場合,0.265424373,0.069006556,0,0,0.067884423
77,例,0,0,0,0,0
79,小田急線,0,0,0,0,0
80,急行,0,0,0,0,0
81,小田原,0,0,0,0,0
83,本厚木,0,0,0,0,0
85,厚木,0,0,0,0,0
87,目的地から,0,0,0,0,0
88,km,0,0,0,0,0
89,以内の駅から徒歩の道を推薦,0,0.081649658,0,0,0
90,本厚木で各停に乗り換えて厚木に向かうことが出来るが，残,0,0,0,0,0
91,り距離が,0,0,0,0,0
92,km,0,0,0,0,0
93,を切っているため，本厚木から歩行を推薦．,0.047781848,0,0,0,0
94,小田原駅,0,0.129099445,0,0,0
95,本厚木駅,0,0.210818511,0,0,0
96,厚木駅,0,0.129099445,0,0,0
97,.km,0,0,0,0,0
98,km,0,0,0,0,0
99,歩行推薦の例（,0,0,0,0,0
102,現在地から最寄りの駅までの歩行経路を推薦し，最寄り駅,0.206901472,0.129099445,0,0,0
103,から目的地の駅までの路線経路を推薦する．,0,0.069006556,0,0,0
105,＜例：市役所,0,0,0,0,0
107,海老名駅,0,0.129099445,0,0,0
109,本厚木駅＞,0,0.210818511,0,0,0
110,海老名駅,0,0.129099445,0,0,0
111,本厚木駅,0,0.210818511,0,0,0
112,m,0,0,0,0,0
113,.km,0,0,0,0,0
114,駅すぱあと,0,0.105409255,0,0,0
115,API,0,0,0,0.242535625,0
116,の検索結果,0,0.129099445,0,0,0
117,URL,0,0,0,0,0
118,をスクレイピングし時刻，駅,0.292602868,0.273861279,0,0,0
119,情報を取得,0,0.129099445,0,0,0
,,,,,,
,,2.576776234,5.085831564,1.180407638,2.151016259,1.471679193
