id,text,kaseiaoki,shohei516,toC1421,H-tsukiji,sunya9,kohei1110,HoshinoYuta,unblee
0," umetani/.txt	-- ::. ",0,0,0,0,0,0,0,0
1,た経路が検索されることが多い．,0,0,0.39223227,0,0.108147614,0,0,0.311085508
2,既存の路線検索システムでは歩いて行ける距離,0,0,0.121045507,0.059028134,0,0,0.169030851,0.144004608
3,なのに鉄,0,0,0,0,0,0,0,0
4,道,0,0,0,0,0,0,0,0
5,の経路を,0,0,0.160128154,0,0,0,0,0.254000254
6,提案され,0,0,0.277350098,0,0.076471911,0,0.25819889,0.146647115
7,てしまうことがある．,0,0,0.092450033,0,0.076471911,0,0.25819889,0.073323558
8,駅すぱあと,0,0.166666667,0,0,0.076471911,0,0,0
9,API,0,0,0,0,0,0,0,0
10,情報と,0,0.577350269,0.320256308,0,0,0,0,0.381000381
11,Google,0,0,0.160128154,0,0,0,0,0
12,Maps API,0,0,0,0,0,0,0,0
13,情報,0,0.577350269,0.320256308,0,0,0,0,0.381000381
14,の結合．,0,0,0,0,0,0,0,0
16,駅すぱあと：出発地点と到着地点を結ぶ公共交通機関の最,0,0.077151675,0,0,0.035399616,0,0,0
17,適経路,0,0,0.113227703,0,0,0,0,0.179605302
19,提示するシステム．,0,0.166666667,0,0.090166963,0,0.182574186,0.25819889,0
20,路線,0,0,0,0,0,0,0,0
21,検索サービスの情報と歩行情報の統合,0,0.40824829,0.33968311,0,0.140487872,0.055901699,0,0.493914581
22,．カロ,0,0,0,0,0,0,0,0
23,リー,0,0,0,0,0,0,0,0
24,情報と駅・鉄道運航情報を統合することで付加,0,0.522232968,0.28968273,0.047088161,0.079872306,0.095346259,0,0.382919791
25,価値の高い情報を生成,0,0.288675135,0.160128154,0,0,0,0,0.317500318
28,待ち時間や渋滞を避けて軽い運動ができる．,0,0,0,0.063757671,0,0,0,0
29,API,0,0,0,0,0,0,0,0
30,から駅・路線情報を取得して検索を行う．,0.119522861,0.545544726,0.242091013,0,0.050062617,0.05976143,0,0.288009216
32,摂取カロリーを消費させるにはそのぐらいの距離を歩くかを表示．,0,0,0.106752103,0,0.088302157,0,0,0.042333376
33,個分のカロリーを消費するには現在地からどのぐらいの距離を歩,0,0.19245009,0,0.052057921,0,0.105409255,0,0
34,くか．,0,0,0,0,0,0,0,0
35,提案システム図,0,0,0,0,0,0,0.774596669,0
36,ユーザ,0,0,0,0,0,0,0,0
37,路線検索,0,0,0.226455407,0,0,0,0,0.179605302
38,機能,0,0,0,0,0,0,0,0
39,Google ,0,0,0.160128154,0,0,0,0,0
40,Map,0,0,0,0,0,0,0,0
41,駅情報,0,0.612372436,0.226455407,0,0.093658581,0,0,0.269407953
42,API,0,0,0,0,0,0,0,0
43,検索,0,0,0.320256308,0,0,0,0,0.254000254
44,参照,0,0,0,0,0,0,0,0
45,情報を取得,0,0.816496581,0.226455407,0,0,0,0,0.269407953
46,して表示,0.223606798,0,0,0,0,0.111803399,0,0.089802651
47,推薦,0,0,0,0.156173762,0.264906471,0.158113883,0,0
48,路線情報、歩行推薦を下記の,0,0.25819889,0.143222975,0.06984303,0.296174439,0.141421356,0,0.227184734
49,API,0,0,0,0,0,0,0,0
50,を利用して取得．,0.182574186,0.333333333,0,0,0,0.091287093,0,0.146647115
52,Google maps API,0,0,0.092450033,0,0,0,0,0
54,開始地点から終了地点までの経路と距離を検索．,0,0,0.160128154,0,0,0,0,0.169333503
55,点間の距離を歩くことで消費されるカロリーを計算．,0,0,0.151910905,0,0.083770782,0,0,0.080321933
58,開始地点と終了地点の駅名を入力して検索結果,0.095346259,0,0.144841365,0,0.079872306,0.047673129,0,0.114875937
60,URL,0,0,0,0,0,0,0,0
61,で表示．,0,0,0,0,0,0,0,0
,,,,,,,,,
,,0.621050103,5.542737995,4.947715756,0.538115641,1.550070496,1.049291691,1.718224189,5.195931722
