id,text,kaseiaoki,kohei1110,toC1421,H-tsukiji,ktakano,HoshinoYuta
0," umetani/.txt	-- ::. ",0,0,0,0,0,0
1,研究,0,0,0,0,0,0
2,動機,0,0,0,0,0,0
3,既存の路線検索システムでは歩いて行ける距離にも関わらず鉄,0.086066297,0.092450033,0,0.054799662,0.058025885,0.100503782
4,道を利用した経路を提案されてしまうことがある．,0.081649658,0.087705802,0.193649167,0.155962573,0.110096377,0.190692518
6,乗り換え駅で通勤ラッシュなど渋滞があった場合，電車待ちを,0,0,0,0,0.058025885,0
7,しているよりも歩いて次の駅に向かった方がいい場合がある．,0.163299316,0,0.129099445,0.051987524,0.110096377,0.190692518
8,研究課題,0,0,0,0,0,0
10,乗り換え情報は,0,0,0,0.232495277,0,0
11,Google Maps API,0,0,0,0.0949158,0.100503782,0
12,の情報よりも駅すぱあと,0,0,0,0.164398987,0.261116484,0
13,API,0,0,0,0.164398987,0.174077656,0
14,情報の方が適している．,0.129099445,0,0,0.164398987,0,0.150755672
15,カロリー計算などの機能を追加することで歩行への動機づ,0,0.184900065,0.136082763,0.21919865,0.116051771,0
16,けとなる．,0,0,0,0,0,0
17,消費カロリーを明確にすることで歩く意欲を向上させる．,0,0.087705802,0.129099445,0.155962573,0.165144565,0
18,分,0,0,0,0,0,0
19,分,0,0,0,0,0,0
20,提案システム図,0,0.320256308,0,0.284747399,0,0.522232968
21,ユーザ,0,0,0,0,0,0
22,路線検索,0,0,0,0,0.123091491,0
23,機能,0,0,0,0.164398987,0,0
24,Google ,0,0,0,0,0,0
25,Maps,0,0,0,0,0,0
26,API,0,0,0,0.164398987,0.174077656,0
27,駅情報,0,0,0,0.232495277,0.123091491,0
28,API,0,0,0,0.164398987,0.174077656,0
29,検索,0,0,0,0,0.174077656,0
30,参照,0,0,0,0,0,0
31,駅情報を,0,0,0,0.232495277,0.123091491,0
32,URL,0,0,0,0,0,0
33,から取得して,0.182574186,0,0.288675135,0.116247639,0.246182982,0.213200716
34,表示,0,0,0.204124145,0,0,0
35,推薦,0,0.277350098,0,0,0,0
36,Google ,0,0,0,0,0,0
37,Map,0,0,0,0,0,0
38,カロリー，,0,0,0.204124145,0.164398987,0,0
39,歩行経路表示,0,0.160128154,0.23570226,0,0,0
40,実験・実装,0,0,0,0.232495277,0.246182982,0
41,実装,0,0,0,0.328797975,0,0
42,路線情報、歩行推薦を下記の,0,0.248069469,0,0.147042924,0,0
43,を利用して取得．,0.149071198,0,0.23570226,0.0949158,0.201007563,0.174077656
45,Google maps API,0,0,0,0.0949158,0.100503782,0
46,開始地点から終了地点までの経路と距離を検索．,0,0,0.068041382,0,0.058025885,0
48,点間の距離を歩くことで消費されるカロリーを計算．,0,0,0.064549722,0.103975049,0.110096377,0
51,開始地点と終了地点の駅名を入力して検索結果,0.077849894,0,0.123091491,0.04956816,0.209945552,0.090909091
53,で表示．,0,0,0.144337567,0,0,0
54,上記,0,0,0,0,0,0
56,情報を統合して乗り換え時の歩行推薦をするシステムを,0.086066297,0.369800131,0.204124145,0.273998312,0.174077656,0.201007563
57,実装する．,0,0.196116135,0.144337567,0.348742916,0.246182982,0
58,実装,0,0,0,0.328797975,0,0
59,Googel,0,0,0,0,0,0
60,Maps API,0,0,0,0.116247639,0.123091491,0
61,の情報を使い,0,0,0,0.232495277,0,0
62,点間のルート案内を行う．,0,0,0,0,0,0
63,点の距離と消費されるカロリーを表示．,0,0,0.15430335,0.062136977,0.131590339,0
64,実装,0,0,0,0.328797975,0,0
67,出発地点と終了地点の駅名を入力することでその間の路線を検,0,0.076923077,0.056613852,0.091192151,0.09656091,0
68,索する．,0,0.196116135,0.144337567,0.116247639,0.246182982,0
69,この,0,0,0,0,0,0
70,API,0,0,0,0.164398987,0.174077656,0
71,から駅情報，時刻情報を取得する．,0,0.098058068,0.072168784,0.290619097,0.246182982,0
72,実装,0,0,0,0.328797975,0,0
,,,,,,,
,,0.955676291,2.395579276,2.932164194,6.716284467,4.654538342,1.834072484
