id,text,ktakano,toC1421,H-tsukiji,kohei1110
0," umetani/.txt	-- ::. ",0,0,0,0
1,情報をどう結合,0,0.353553391,0.093658581,0
2,させるか．,0,0,0,0
3,情報の,0,0.40824829,0.162221421,0
4,方が適している．,0.088045091,0.11785113,0,0.115470054
5,検索サービスの情報と歩行情報の,0.057639042,0.385758375,0.122627868,0
6,統合する．,0.32349832,0.144337567,0.229415734,0
8,カロリー,0,0,0.162221421,0
9,情報と駅・鉄道運航情報を統合することで付加価,0.132067636,0.353553391,0.280975743,0.057735027
10,値の高い情報を,0,0.23570226,0.093658581,0
11,生成する．,0.215665546,0.144337567,0.229415734,0
12,から駅・路線情報を取得して情報統合をすることで検,0.220112727,0.353553391,0.374634325,0.057735027
13,索を行う．,0,0,0,0
14,乗り換え先の駅との距離が設定した内に入っているのなら,0.096448564,0.129099445,0.153896753,0.063245553
15,歩行を推薦する．,0.264135272,0.353553391,0.280975743,0
16,歩行推薦の例,0.176090181,0.23570226,0.093658581,0
18,乗り換える,0,0,0,0
19,つ前の乗り換えた後の,0,0,0,0
20,つ先の駅との距,0,0.11785113,0.093658581,0
21,離が近い場合,0,0,0,0.115470054
22,点間が設定した距離内,0.062257281,0,0.132453236,0
23,(km),0,0,0,0
24,ならば歩行を推薦,0.088045091,0.23570226,0.093658581,0
25,歩行推薦の例,0.176090181,0.23570226,0.093658581,0
28,発,0,0,0,0
30,発,0,0,0,0
32,着,0,0,0,0
34,発,0,0,0,0
35,荻窪駅,0,0.144337567,0.114707867,0
36,歩行推薦の例,0.176090181,0.23570226,0.093658581,0
37,＜例：海老名市役所,0.088045091,0,0,0
38,Google Maps API,0,0,0,0
39,点間の移動距離，消費カロリーを計算して表示．,0.050832857,0,0.216295228,0
41,計算式：消費カロリー,0,0,0.162221421,0
42,(kcal)=METs,0,0,0,0
44,運動時間,0,0,0.229415734,0
45,(h),0,0,0,0
47,体重,0,0,0,0
48,(kg),0,0,0,0
51,(METs,0,0,0,0
52,：運動や身体活動の強度の単位．ウォーキングの値は,0,0,0,0
55,参考,0,0,0,0
56,文献,0,0,0,0
57,e,0,0,0,0
59,ヘルスネット,0,0,0,0
60,<https://www.e,0,0,0,0
62,healthnet.mhlw.go.jp/information/dicionary/exercise/ys,0,0,0,0
64,.html,0,0,0,0
67,出発地点と終了地点の駅名を入力することでその経路のリンク,0.084590987,0.056613852,0.134976381,0.05547002
68,が生成される．リンク先へ進むと検索結果が表示される．,0.076249285,0,0,0
69,このリンクから駅情報，時刻情報を取得する．,0.096448564,0.387298335,0.359092423,0
70,実装,0,0,0,0.4
,,,,,
,,2.472351896,4.628458123,4.001157101,0.865125734
