id,text,H-tsukiji,unblee,toC1421,toC1421
0," umetani/.txt	-- ::. ",0,0,0,0
1,端末に搭載されている加速度センサとジャ,0.076249285,0.067728546,0,0
2,イロセンサを使用し，データを集計してカロリー計算,0.375096887,0.18173476,0,0.313049517
3,鉄道による移動所要時間の可視化,0,0.039103094,0,0.115470054
6,鉄道による移動所要時間をわかりやすく可視化するウェアアプリケーションの作,0.062257281,0.110600253,0,0.081649658
7,成．,0,0,0,0
8,ネットワークを用いた鉄道駅周辺の徒歩移動距離および迂回,0,0.09086738,0,0.089442719
9,率の分析（,0,0,0,0
10,上で歩道ネットワークを作成し，駅から周辺施設までの徒歩移動距離と迂回,0.062257281,0.138250316,0,0.163299316
11,率を算出する．,0.186771842,0.221200505,0,0
12,幹線鉄道の乗換駅における乗換環境の評価に関する研究,0,0.030289127,0,0.134164079
14,既存の路線検索システムでは歩いて行ける距離にも関わら,0,0.067728546,0,0
15,ず鉄道を利用した経路を提案されてしまうことがある．,0.136398868,0.302891266,0.141421356,0.178885438
16,乗り換え駅で通勤ラッシュなど渋滞があった場合，電車待,0,0,0,0.094280904
17,ちをしているよりも歩いて次の駅に向かった方がいい場合,0.068199434,0.09086738,0,0.223606798
18,がある．,0,0.287347886,0,0
19,電車の運行情報以外の移動手法を推薦する．,0.076249285,0.135457092,0,0.15
20,運行情報と推定歩行情報の統合をする．,0.071888515,0.095782629,0,0.282842712
21,本研究では徒歩のみをカロリー計算の対象とする．,0.285298701,0.289619446,0,0.053452248
23,提案システム図,0,0.055300126,0,0
24,ユーザ,0,0,0,0
25,路線検索,0,0,0,0
26,機能,0,0,0,0
27,検索結果,0.076249285,0,0,0
28,駅情報,0,0,0,0.3
29,DB,0.215665546,0,0,0
30,検索,0,0,0,0
31,参照,0,0,0,0
32,検索結果の,0.076249285,0,0,0
33,候補を,0,0,0,0
34,つ提示,0,0,0,0
35,選択,0,0,0,0
36,路線経路＋,0,0,0,0
37,歩行経路,0,0,0,0.1
38,荻窪,0,0,0,0
39,C,0,0,0,0
40,駅,0,0,0,0.141421356
41,B,0,0,0,0
42,駅,0,0,0,0.141421356
43,D,0,0,0,0
44,駅,0,0,0,0.141421356
45,A,0,0,0,0
46,駅,0,0,0,0.141421356
47,B,0,0,0,0
49,C,0,0,0,0
51,D,0,0,0,0
52,の時間,0,0,0,0.141421356
53,分，距離,0,0.067728546,0,0
54,km,0,0,0,0
55,電車のみの場合は,0,0,0,0.1
56,分かかる,0,0,0,0
57,B,0,0,0,0
59,D,0,0,0,0
60,の時間,0,0,0,0.141421356
61,分，距離,0,0.067728546,0,0
62,.km,0,0,0,0
63,B,0,0,0,0
64,駅から歩く場合は,0,0.165900379,0,0.163299316
65,分かかる,0,0,0,0
66,鉄道移動,0,0.067728546,0,0.1
67,歩行移動,0,0.067728546,0,0.1
68,A,0,0,0,0
69,駅から,0,0,0,0.141421356
70,D,0,0,0,0
71,駅までの経路で，,0,0,0,0.1
72,D,0,0,0,0
73,駅と通過駅との距離が,0,0.039103094,0,0.115470054
74,km,0,0,0,0
75,以内だった場合，歩行を推薦する．,0.096448564,0.128505881,0,0.126491106
76,A,0,0,0,0
77,駅,0,0,0,0.141421356
78,D,0,0,0,0
79,駅,0,0,0,0.141421356
80,km,0,0,0,0
81,B,0,0,0,0
82,駅,0,0,0,0.141421356
83,C,0,0,0,0
84,駅,0,0,0,0.141421356
85,実験,0.215665546,0,0.447213595,0
86,実験,0.215665546,0,0.447213595,0
88,実験用として駅情報をデータベースに格納して検索を行う．,0.143777031,0.095782629,0.149071198,0.282842712
,,,,,
,,2.440388184,2.90497452,1.184919746,4.923881551
