id,text,toC1421,H-tsukiji,kohei1110
0," umetani/.txt	-- ::. ",0,0,0
1,駅・路線情報を取得して情報統合をすることで検索を行う．,0.464549364,0.186989398,0.368037369
2,路線検索機能,0,0,0
3,歩行推薦機能,0.120879577,0,0
4,カロリー計算，距離,0.060439789,0.077849894,0
5,計算機能,0,0,0
6,ユーザプロファイル，,0.037011661,0,0
7,条件決め,0.037011661,0,0
8,Map,0,0,0
9,乗換駅,0.111034982,0.286038777,0
11,着,0,0,0
13,着,0,0,0
14,C,0.157027177,0.404519917,0
15,鉄道移動,0,0,0
16,歩,0,0,0
17,行移動,0,0,0
19,ブラウザ上のテーブルをクリックすることで入力フォームに歩,0.174474641,0.089893315,0.098294637
20,行開始地点を終了地点を自動で入力する．,0.14896906,0.042640143,0.093250481
21,実験,0,0,0
24,実験用として駅情報をデータベースに格納して検索を行えるか,0.226817033,0.134839972,0.147441956
25,の実験を行う．,0,0,0
26,実験,0,0,0
,,,,
,,1.538214943,1.222771417,0.707024443
