User,text,time
tsukiji,"<!channel> 
オッケーの人は:o:
早めに集合したい人は:hand:でリアクションしてください",1504505809.000115,2017-09-04 15:16:49.000115
tsukiji,"金曜日の合同ゼミの集合場所は下高井戸でいいですか？
キャンパスの学食を食べる場合や、見学したい場合は集合時間を少し早めにするつもりですが、早めにしたい人は居ますか？",1504505412.000124,2017-09-04 15:10:12.000124
kurihara,打ち上げ費用などはどうなっていますか？（どこかで議論されていますか？）,1504425384.000022,2017-09-03 16:56:24.000022
takano,<https://www.chs.nihon-u.ac.jp/access/>,1504314041.000108,2017-09-02 10:00:41.000108
takano,最寄り駅などで待ち合わせしていくのが良いと思います。,1504262486.000084,2017-09-01 19:41:26.000084
takano,"9/8(金)合同ゼミ
場所: 文理学部 3号館 4階 3409教室

プログラム：
13:40 - 13:50  導入

13:50 - 14:40  尾崎ゼミ(15分 x 3名 + 5分)
14:40 - 15:30  鷹野ゼミ(15分 x 3名 + 5分)

15:30 - 15:50  休憩

15:50 - 16:40  鷹野ゼミ(15分 x 3名 + 5分)
16:40 - 17:30  尾崎ゼミ(15分 x 3名 + 5分)

17:30 - 17:40 Closing，その後，下高井戸駅周辺で打ち上げ",1504262422.000155,2017-09-01 19:40:22.000155
takano,":black_small_square:日時
    2017/09/30（土）
    17:00 〜 2.5h

:black_small_square:会場
     デビルクラフト 浜松町店
<http://www.devilcraft.jp/about/hamamatsucho/>

:black_small_square:会費
     学生料金の設定を依頼中",1504221458.000007,2017-09-01 08:17:38.000007
takano,鷹野研の同窓会を9月末に開催します。,1504221430.000158,2017-09-01 08:17:10.000158
ko-hei,"パンプキンで予約しなければいけなかったのですね、わかりました．
今回は無理そうですが、次にまた合宿をやる際に生かせるようにしたいと思います．",1504158507.000095,2017-08-31 14:48:27.000095
takano,<@U12475CJC> <@U105P17QT> 昨日ディスカッションしたことを、reportとかに書いてくれると大変良いと思います。,1504158284.000122,2017-08-31 14:44:44.000122
takano,"あと、合宿の補助は、やはりパンプキンで宿の手配をしたときに1泊4000円でるということでした。
（年間3泊まで）",1504157229.000213,2017-08-31 14:27:09.000213
takano,そういえば、おととい炊飯器が保温状態だったので切っておきました。,1504155989.000179,2017-08-31 14:06:29.000179
takano,コーヒーが好きな人は飲んでかまいません。,1504090452.000156,2017-08-30 19:54:12.000156
takano,研究室の冷凍庫に、シアトルのスタバ1号店で買ったコーヒー豆を置いておきました。,1504090439.000138,2017-08-30 19:53:59.000138
kaiseiaoki,<@U0JACJLRJ>  分かりました、いくつかまとめることを考えてみます,1504017161.000588,2017-08-29 23:32:41.000588
ko-hei,<@U0JACJLRJ> わかりました。後期から自分自身の英語学習もかねて、システムを使った英語勉強会などをやりたいと思います。,1503994927.000067,2017-08-29 17:22:07.000067
takano,<@U12475CJC> <@U105P17QT> システムもできてきているので、実際にシステムを英語学習に用いることを実践してみてください。,1503994072.000045,2017-08-29 17:07:52.000045
takano,考えましょう。,1503990574.000205,2017-08-29 16:09:34.000205
ko-hei,"１つ問題がありまして、会議室を利用してゼミをやろうと思っていたのですが、当日に他大学の予約が入っていて取れませんでした
、、、",1503987809.000053,2017-08-29 15:23:29.000053
takano,わかりました。,1503987737.000181,2017-08-29 15:22:17.000181
ko-hei,<@U0JACJLRJ>  3〜4人部屋を四部屋予約できました。先生に一部屋、松岡さんに一部屋、残りの6人を2部屋で使えば良いかと思います。,1503987588.000166,2017-08-29 15:19:48.000166
takano,<@U12475CJC> <@U107MMD8Q> ホテルパウエルの部屋は取れましたか。,1503985700.000173,2017-08-29 14:48:20.000173
takano,T地くんとともに。,1503867316.000008,2017-08-28 05:55:16.000008
takano,先ほど羽田に着きました。,1503867294.000006,2017-08-28 05:54:54.000006
ko-hei,宿に関してですが、Oのホテルパウエルで決定したいと思います．,1503813511.000005,2017-08-27 14:58:31.000005
takano,合宿の宿はそれぞれに長所がありそうなので、３つのうちどこでも良いです。,1503559193.000013,2017-08-24 16:19:53.000013
ko-hei,確認中ですが、大学側から補助がでる可能性もあるのでもう少し安くなる可能性もあります．,1503551443.000093,2017-08-24 14:10:43.000093
ko-hei,"移動費はそれぞれ違うので，考慮に入れません、すいません．お酒等の代金は、一人1000～1500円程度で十分かと思うので,
徴収するお金は，すべて含めると宿泊費＋お酒代＋ゼミ時の施設利用代等などで，約1万円ほどになるかと思います．
ここに＋でそれぞれ個人の移動費や，諸々の料金がかかってくると思います．",1503551350.000173,2017-08-24 14:09:10.000173
ko-hei,ここに書いた料金は、あくまでも宿泊費なので，ここにそれぞれの移動費と，飲み会用のお酒等の代金なども加算されます．,1503550847.000145,2017-08-24 14:00:47.000145
ko-hei,すべてプランは一泊二食つきです,1503550755.000104,2017-08-24 13:59:15.000104
ko-hei,"＊バスタオル等のアメニティの貸出などは、宿によって微妙に違うので，別途料金がかかる可能性があります．
　入浴料なども，150円程度ですが、別途かかる可能性もあります．
　パウエルのみ空部屋の確認ができていますが、その他は電話してみないとわかりません、、、、
　先生および松岡さんの別室希望に関しても確認してみないとわかりませんが，可能そうな文言も概要に書いてあるので，おそらく可能かと思います.",1503550705.000123,2017-08-24 13:58:25.000123
