User,text,time
takano,院生はどこ？,1499914704.048466,2017-07-13 11:58:24.048466
tsukiji,他にも探しましが、めぼしいものはこれぐらいでしたね・・・,1499339408.840567,2017-07-06 20:10:08.840567
takano,update-grubは、今日はやってないですね。,1499338936.701231,2017-07-06 20:02:16.701231
takano,ありがとう、明日試してみます。,1499338903.691362,2017-07-06 20:01:43.691362
tsukiji,"PCIe Bus Errorについて
<https://nzeid.net/ubuntu-16.04-linux-kernel-aer-crash-fix>",1499330874.949171,2017-07-06 17:47:54.949171
tsukiji,<https://research.google.com/pubs/papers.html>,1499068117.355833,2017-07-03 16:48:37.355833
takano,"最初のころに、
[    0.156858] ACPI FADT declares the system doesn't support PCIe ASPM, so disable it
とあるが、一回だけのログ出力

ログの真ん中くらいにこんなメッセージも出てる
[    1.246833] r8169 0000:03:00.0: can't disable ASPM; OS doesn't have ASPM control",1498496587.429317,2017-06-27 02:03:07.429317
takano,pcie_aspm=off,1498494786.781705,2017-06-27 01:33:06.781705
takano,かはわからないけど、この設定を試してみたい。,1498494768.774839,2017-06-27 01:32:48.774839
takano,消費電力の問題??,1498494754.769911,2017-06-27 01:32:34.769911
takano,"PCIe Bus Errorについて:
<https://askubuntu.com/questions/863150/pcie-bus-error-severity-corrected-type-physical-layer-id-00e5receiver-id>
<https://askubuntu.com/questions/726100/pci-nomsi-noaer-in-etc-default-grub-any-downside>",1498494606.71343,2017-06-27 01:30:06.713430
takano,ありがとう。,1498493575.342309,2017-06-27 01:12:55.342309
t.kasai,です,1498493338.255949,2017-06-27 01:08:58.255949
t.kasai,"CUI
alt + ctrl + F1~6
GUI
alt + ctrl + F7",1498493334.254421,2017-06-27 01:08:54.254421
takano,だっけ？,1498493066.152099,2017-06-27 01:04:26.152099
takano,"CUIモードへの切り替え:
alt + control + f1

GUIモードへの切り替え:
alt + f7",1498493064.151002,2017-06-27 01:04:24.151002
takano,<@U0JAEV08K> アイディアの根拠となる論理的説明や具体例を盛り込むこと。（自分のアイディアが実現可能であるという説明をしてください。実験がとれるまでわからない、というわけではないので。）,1498477791.021675,2017-06-26 20:49:51.021675
takano,<@U0J8PMAQJ> microsoft chat botも引用する。（笠井君は異なる目的で、実装している点を説明すること）,1498477631.992201,2017-06-26 20:47:11.992201
takano,<@U0J8PMAQJ> 変更点がわかるように、フォントの色などを変えてもらえると助かります。,1497914425.866876,2017-06-20 08:20:25.866876
takano,"スライド9を読み取るのもやや難しいので、説明なしでも理解できるような図に、さらに修正しておくと良いでしょう。
定義を文章でも説明し、例などで、補っておくと良いと思います。",1497914098.811289,2017-06-20 08:14:58.811289
takano,<@U0JAEV08K> スライド8にある「ユーザにとって新たに必要とされるような専門知識」ですが、この間の説明でわかったような気もしたのですが、また、わからなくなりました。,1497914071.806533,2017-06-20 08:14:31.806533
takano,技術系チャットツールについても、説明が必要だと思います。,1497913926.780723,2017-06-20 08:12:06.780723
takano,<@U0JAEV08K> 活動履歴なども活用して、人物から専門知識を抽出できる情報共有サービスにはどのようなものがありますか。,1497913905.77708,2017-06-20 08:11:45.777080
tsukiji,先週のセミナーをもとに修正しました,1497859867.460002,2017-06-19 17:11:07.460002
takano,今日は、不在なので、スライドのアップデート内容がわかるように、発表スライドの提出をお願いします。,1497827759.030579,2017-06-19 08:15:59.030579
tsukiji,<@U0JACJLRJ>  先生、昨日送っていただいた論文をもとに、図を修正したpptファイルを先ほど送ったのでチェックお願いします。,1497517148.705779,2017-06-15 17:59:08.705779
tsukiji,行動履歴に基づく地域の環境要因を考慮した観光行動モデルの構築とその応用,1497494513.487404,2017-06-15 11:41:53.487404
takano,<@U0JAEV08K> どうもありがとう。,1497413752.038951,2017-06-14 13:15:52.038951
