User,text,time
umetani,<@U0JACJLRJ> わかりました。,1504266815.000102,2017-09-01 20:53:35.000102
takano,<@U123ZGHM2> あと現在取り組んでいる事も報告すると良いでしょう。,1504262977.000028,2017-09-01 19:49:37.000028
takano,<@U123ZGHM2> プログラムをgithubにプッシュするようにしましょう。,1504262956.000185,2017-09-01 19:49:16.000185
umetani,"9/1
・現在地と目的地を設定して経路とその距離を表示できるようにしました。",1504248001.000284,2017-09-01 15:40:01.000284
ko-hei,ですが、この方法は協力してくれる方にも、また自分自身にも少し負担だと思うので、録音システムは機能修正していくつもりです。,1504230065.000009,2017-09-01 10:41:05.000009
ko-hei,なので、例えば外国の人に、研究室のサーバーにデプロイした録音システムを使って録音及びダウンロードをしてもらい、そのデータを別の、snsかメール等で送ってもらえば、現状でも音源収集は可能だと思います。,1504229952.000128,2017-09-01 10:39:12.000128
ko-hei,青木くんが作ってくれた音声録音システムは、音声を録音しているpcには、その音源をダウンロードすることができるのですが、録音した音声を、例えば遠隔の自分のpcから取り出すことはできないのが現状です。,1504229803.00014,2017-09-01 10:36:43.000140
kaiseiaoki,DBはありますが、頻度の記録をするプログラムが弱いので９月上旬には完成させたいと思います,1504223650.000138,2017-09-01 08:54:10.000138
takano,まず、現在のコンテンツで、実験してみるのは、大変良いと思います。,1504213669.000173,2017-09-01 06:07:49.000173
takano,青木君がWebブラウザからマイク録音できる機能を作っていましたが、これを利用してもらって、音源を増やすことできませんか。,1504213568.000129,2017-09-01 06:06:08.000129
takano,出題した問題に出現する単語（と頻度）を保存しておくためのDBはできていますか？,1504213509.000556,2017-09-01 06:05:09.000556
ko-hei,先生や青木君とのディスカッションの結果を自分なりにまとまました。夏休みの残りの期間は、「実験に向けて」の項目の作業を順次進めていきたいと思います．,1504168667.00007,2017-08-31 17:37:47.000070
kaiseiaoki,今後の方針として、ランダムに問題表示したケースとの比較して　学習者の関心の高い問題を出題するシステムによる実験を考えています,1504158747.000029,2017-08-31 14:52:27.000029
kurihara,npm run crawler:qiita といったコマンドを実行すると、DBに格納されます,1502862682.000065,2017-08-16 14:51:22.000065
kurihara,クロールに関してなら,1502862646.000083,2017-08-16 14:50:46.000083
takano,使用方法ですが、URLを指定するの?,1502751895.278001,2017-08-15 08:04:55.278001
takano,Qiitaからだと、結構ソースコード断片が集まりそうですね。,1502751879.273752,2017-08-15 08:04:39.273752
kurihara,Qiita上で動くクローラを作りました。ソースコードはおそらく&lt;pre&gt;要素や&lt;code&gt;で取得できると思いますが、その辺の解析は後にでも回せそうなのでひとまずDBにHTMLを全部格納するようにしました,1502720549.108978,2017-08-14 23:22:29.108978
ko-hei,"8/10
公開した方のシステムも、ローカルで実行してる時と同じように動作できるところまで、修正することができました。
鷹野先生がおっしゃっていたパッケージをインストールしたり、パーミッションを変更したりすることで解決できました。

今後は、ログイン機能など必要なものの実装と、音声別でなく、地域別の正答率が出せるように拡張していきたいと思います。",1502353203.765927,2017-08-10 17:20:03.765927
kurihara,とりあえず一旦見えるようになりました。  <http://dolphin.mkm.ic.kanagawa-it.ac.jp:9100/>,1501906537.269385,2017-08-05 13:15:37.269385
kurihara,アクセスできるようになりました（がこちらの設定ミスで表示できないのでそれは待ってください）,1501903391.065363,2017-08-05 12:23:11.065363
takano,9100を開けました。,1501903240.05489,2017-08-05 12:20:40.054890
takano,別件をやっているので、待って下さい。,1501902442.000978,2017-08-05 12:07:22.000978
takano,ファイヤウォールをまだ開けていません。,1501902410.998729,2017-08-05 12:06:50.998729
kurihara,<@U0JACJLRJ> 9100に公開しているはずなのですがアクセスできないようなのですが、本当に使えるのでしょうか…？,1501902268.988722,2017-08-05 12:04:28.988722
kaiseiaoki,<@U0JACJLRJ> サーバ側の設定によってはなんとかなるかもしれません,1501822020.072607,2017-08-04 13:47:00.072607
takano,PDOの設定を確認してみてください。,1501821394.977783,2017-08-04 13:36:34.977783
takano,<@U12475CJC> PDOno,1501821392.977443,2017-08-04 13:36:32.977443
kurihara,<@U0JACJLRJ> ありがとうございます。使ってみます,1501820793.88099,2017-08-04 13:26:33.880990
takano,以前申請したものですが、現在は使っていません。,1501820783.879491,2017-08-04 13:26:23.879491
takano,<@U106Y1J7N> 9100番のポート使っていいですよ。,1501820770.877352,2017-08-04 13:26:10.877352
takano,<@U105P17QT> Chromeを最新版にしたときの回避策はありそうですか。,1501820488.834145,2017-08-04 13:21:28.834145
ko-hei,"8/3 作業報告
・上記のコミット内容の通り，空欄個数をデフォルトの１０から変化させても，正答率を計算できるようにプログラムを修正しました．
・何個空欄を作って，そのうち何個正解したのかがわかるように全空欄個数と正解数を，解答送信時にデータベースに登録できる＋可視化できるようにプログラムの修正を行いました．
ひと段落ついたので，次はグローバル環境での動作の不具合を，先生や笠井さんなどからのアドバイスをもとに修正していきたいと思います．",1501745062.984374,2017-08-03 16:24:22.984374
kurihara,製作途中のシステム公開をしようとしたが、ポートの壁にぶち当たったのでリバースプロキシでどうにかしようとするところまで作業しました,1501674777.465885,2017-08-02 20:52:57.465885
ko-hei,"8/1　作業報告
・上記のコミット内容＋仮正答率（クリックした空欄個数/全空欄個数）を計算し，データベースに格納できるように機能を追加しました．
・笠井さんにお手伝いというかほとんどお任せるような形ですが，現状完成している部分のシステムをグローバル環境に公開することができました．
仮正答率は，空欄個数をデフォルトの10から変化させると，計算できなくなってしまうバグがあるので、今後はそれを修正していきたいと思います．",1501585456.047175,2017-08-01 20:04:16.047175
tsukiji,"作業報告
来月のPscificrim2017の発表スライドを作成しました
「pacificrim_v1.pptx」をonedriveのPacificRim2017フォルダに置いておきます
文章は論文から抜粋しただけなので何も手を加えていないです。
論文で使用した図の調整とKBSで用いた発表スライドの図を英語化
あとは図をさらに増やしてみたいと思います。(HCII2017の時のスライドは図が多かったため)",1501240965.790639,2017-07-28 20:22:45.790639
shohei516,投稿の取得,1501137866.300604,2017-07-27 15:44:26.300604
shohei516,葛西さんからGitHubの使い方を学習[26],1501137837.294121,2017-07-27 15:43:57.294121
shohei516,"スライドの修正[24,25]",1501137809.28802,2017-07-27 15:43:29.288020
shohei516,7/24~27,1501137797.285544,2017-07-27 15:43:17.285544
tsukiji,"先ほどGitHubのGUIの説明資料を作成しました
暇ならあした開設するかもしれません",1501075124.935585,2017-07-26 22:18:44.935585
