User,text,time
ko-hei,<@U0JACJLRJ>  わかりました。確認してみます。,1501663966.13007,2017-08-02 17:52:46.130070
takano,<@U12475CJC> sqliteのデータベースファイルの書き込み権限もチェックしておくと良いでしょう。,1501659958.708339,2017-08-02 16:45:58.708339
kaiseiaoki,タイトルの次、番号つきのquestionからが問題です(こちらはページの見出しから抽出しています),1501648162.178887,2017-08-02 13:29:22.178887
kaiseiaoki,あ！　一番最初はホームページのタイトルをとってきているだけで問題ではありません,1501648081.1656,2017-08-02 13:28:01.165600
takano,そういえば、一番最初の表示で、Question ...とついてなかった気がします。,1501648032.1577,2017-08-02 13:27:12.157700
kaiseiaoki,一応、-などの記号はreplace して削除するようにしたつもりでしたが　もしかしたらうまく動いていないのかもしれません　確認します,1501647851.128159,2017-08-02 13:24:11.128159
takano,- だと思います。,1501647751.111916,2017-08-02 13:22:31.111916
kaiseiaoki,ありがとございます,1501647743.110469,2017-08-02 13:22:23.110469
kaiseiaoki,記号や大文字小文字は区別せず判定しますが、スペースの数で不正解になったのかもしれません,1501647736.109341,2017-08-02 13:22:16.109341
takano,面白いね。このシステム。,1501647679.099827,2017-08-02 13:21:19.099827
takano,BBC - Homepageという問題に対して、BBC homepageと認識され、incorrectと判定されました。:kodakku1:,1501647587.084406,2017-08-02 13:19:47.084406
kaiseiaoki,説明不足で申し訳ありませんでした,1501647582.083445,2017-08-02 13:19:42.083445
takano,動いたみたいです。,1501647529.074529,2017-08-02 13:18:49.074529
takano,栗原君に使い方を聞いてわかりました。,1501647523.073424,2017-08-02 13:18:43.073424
kaiseiaoki,<@U0JACJLRJ> こちらは問題ありません、 URL を入力してから少し時間がかかることがあります,1501647424.05698,2017-08-02 13:17:04.056980
takano,<@U105P17QT> 私の環境ではGenerateQuestionを押しても問題が生成されないのですが、そちらではOKですか？,1501647277.031376,2017-08-02 13:14:37.031376
ko-hei,"自分もスマホからでもページは開けますが，データベースの接続がうまくいっていないようで，問題の表示，生成，音声再生はできませんでした．
sqlite3を入れないとだめなのかもしれません．後日解決を試みます．",1501592681.336986,2017-08-01 22:04:41.336986
kaiseiaoki,<@U0JACJLRJ> 実験システムですがスマホからも問題なく動くようです,1501589461.03203,2017-08-01 21:11:01.032030
ko-hei,このURL先に現在の自分のシステムを公開しました。,1501584653.549096,2017-08-01 19:50:53.549096
ko-hei,<http://dolphin.mkm.ic.kanagawa-it.ac.jp/~kamimura/public/problem.html>,1501584621.539289,2017-08-01 19:50:21.539289
kaiseiaoki,"<http://dolphin.mkm.ic.kanagawa-it.ac.jp/~kaisei/>

自分のシステム公開しました",1501581495.530136,2017-08-01 18:58:15.530136
ko-hei,<!channel>  合宿に行く気があるor興味がある人はchatチャンネルの先生の投稿にリアクションお願いします！,1501558153.446147,2017-08-01 12:29:13.446147
kurihara,昨日追加された分のリポジトリの通知がreportに飛ぶようにしました,1501161277.867937,2017-07-27 22:14:37.867937
takano,:kodakku2:,1500636835.234049,2017-07-21 20:33:55.234049
takano,ClassNames: [hitachi    mitsubishi    toshiba],1500636816.229333,2017-07-21 20:33:36.229333
kaiseiaoki,onedriveに中間発表というフォルダを作ったので、現在作成したスライドをアップしてくれると助かります,1500634675.646337,2017-07-21 19:57:55.646337
