User,text,timestamp,time
s1621071,<@UA83LUHK2>さんがチャンネルに参加しました,1524042728.000019,2018-04-18 18:12:08.000019
s1621049,<@UA85J25L1>さんがチャンネルに参加しました,1524030875.0001,2018-04-18 14:54:35.000100
s1521166,<@UA8J83XGB>さんがチャンネルに参加しました,1524027990.000096,2018-04-18 14:06:30.000096
s1621155,<@UA8R59T45>さんがチャンネルに参加しました,1524027474.000141,2018-04-18 13:57:54.000141
s1621086,<@UA94V2GF9>さんがチャンネルに参加しました,1523960395.00018,2018-04-17 19:19:55.000180
soccer.barca2423,<@UA6L5R7M1>さんがチャンネルに参加しました,1523666327.000067,2018-04-14 09:38:47.000067
ko-hei,"  4月27日 (金) 9:00 , 日本標準時 にこのチャンネルでこれをリマインドするよう設定しました : “延長届を出してください” ",1523599765.000068,2018-04-13 15:09:25.000068
slackbot,リマインダー : 延長届を出してください,1523577610.000447,2018-04-13 09:00:10.000447
djmmanganip,<@UA5GZKRKM>さんがチャンネルに参加しました,1523538879.000002,2018-04-12 22:14:39.000002
fonsgov,<@UA5HJU666>さんがチャンネルに参加しました,1523529540.00018,2018-04-12 19:39:00.000180
502takara323bako831,<@UA6E6PYSK>さんがチャンネルに参加しました,1523504754.000098,2018-04-12 12:45:54.000098
s1721059,<@UA68UE2VC>さんがチャンネルに参加しました,1523500330.000186,2018-04-12 11:32:10.000186
s1621093,<@UA4SAEVQS>さんがチャンネルに参加しました,1523447332.000418,2018-04-11 20:48:52.000418
s1421163,<@UA5NHRKCP>さんがチャンネルに参加しました,1523421993.000263,2018-04-11 13:46:33.000263
tsukiji,MATLAB学校アカウントで使えるらしいです,1522897454.000231,2018-04-05 12:04:14.000231
tsukiji,<@U0JAEV08K>さんがこのファイルをアップロードしました : <https://kait-takanolab.slack.com/files/U0JAEV08K/FA2H857FH/tah-student.pdf|TAH-Student.pdf>,1522897427.00023,2018-04-05 12:03:47.000230
syun070822,<@UA0BWS0F8>さんがチャンネルに参加しました,1522651942.000003,2018-04-02 15:52:22.000003
t.kasai,昨年度卒業生のアカウントをdiactivateしました,1522635072.000094,2018-04-02 11:11:12.000094
ko-hei,"  4月13日 (金) 9:00 , 日本標準時 にこのチャンネルでこれをリマインドするよう設定しました : “延長届を出してください” ",1522380670.000147,2018-03-30 12:31:10.000147
slackbot,リマインダー : 延長届を出してください,1520553624.000491,2018-03-09 09:00:24.000491
ko-hei,"  3月9日 (金) 9:00 , 日本標準時 にこのチャンネルでこれをリマインドするよう設定しました : “延長届を出してください” ",1519363773.000155,2018-02-23 14:29:33.000155
t.kasai,"<!everyone> 
明日（2/20）最後の懇親会というか飲み会やります。
参加自由なので3・4年生関係なく参加できる人だけ参加してほしい感じです。（遠方の人は無理しなくて大丈夫です）
ピザとかビールとかワインとかの予定です。
18時開始の予定です。よろしくお願いします。",1519027641.0002,2018-02-19 17:07:21.000200
ko-hei,はーい、海外研修頑張って:+1:,1519000129.000102,2018-02-19 09:28:49.000102
shibamoto,わかりました。宜しくお願いします,1518965100.000033,2018-02-18 23:45:00.000033
ko-hei,柴本さんと重田くんの分は別の日に補填するから大丈夫，いつやるかはまた今度決めましょう,1518919526.000028,2018-02-18 11:05:26.000028
shibamoto,海外研修組(私と重田君)が、参加できないのですが、必要な情報は後日、我々にも共有されるという認識で大丈夫でしょうか…。,1518915131.000084,2018-02-18 09:52:11.000084
ishikawa,"<!everyone> 
3年生の皆さんへ
お疲れ様です、石川です。少し前に4年生から研究紹介があったと思いますが、来年度に向けて、4年生がおこなってきた卒業研究の引き継ぎ会を2月26日（月）に実施します。
この引き継ぎ会では、4年生が取り組んできた研究内容を3年生が引き継げるように、そして4年生に上がる皆さんが1年間研究室で卒業研究に取り組んでいく中で、
必要な情報を共有する回になります。出来る限り参加してください。",1518858669.000083,2018-02-17 18:11:09.000083
