User,text,timestamp,time
takano,"5月15日		Auschwitz
5月16日	AINA	Welcome
5月17日	AINA	Banquet
5月18日	AINA",1523881228.000423,2018-04-16 21:20:28.000423
ko-hei,すいません、用事があって、その時間はテレビを見ることができなかったので、放送は見ていません、、、,1523842974.000148,2018-04-16 10:42:54.000148
takano,ところで、昨晩の放送は見た？,1523837880.000106,2018-04-16 09:18:00.000106
ko-hei,<@U0JACJLRJ> はい、今後もより意識するように努力します。,1523800640.00007,2018-04-15 22:57:20.000070
takano,<@U12475CJC> 案外そういうところで差がついたりすることもあるので、意識すると良いでしょう。,1523800119.000005,2018-04-15 22:48:39.000005
ko-hei,<@U0JACJLRJ> 一応、言葉の途中など不自然な位置での改行などは無いように調整はしました。しかし、読みやすいように気を配るという意識は少し欠けていたように思います。今後はもっと、相手が見やすいよう、読みやすいように、ということを考えて行動したいと思います。,1523799621.00011,2018-04-15 22:40:21.000110
takano,<@U12475CJC> 一応確認ですが、説明（800字以内）を記述する際は、読みやすくなるように改行、空白行などを工夫しましたか？,1523798750.000002,2018-04-15 22:25:50.000002
ko-hei,"わかりました。
僕も面白いと思います。
どこかの学年でのセミナーなどでできると良いかと思います。",1523760319.000059,2018-04-15 11:45:19.000059
takano,面白いゲームだと思います。実現したいですね。（入賞はともかく）,1523757887.000037,2018-04-15 11:04:47.000037
takano,投稿してみて下さい。,1523757857.000097,2018-04-15 11:04:17.000097
ko-hei,"<@U0JACJLRJ> ありがとうございます。
メール受け取りました。
タイトルについても、先生の意見に賛成です。そちらの方で投稿したいと思います。",1523757836.000072,2018-04-15 11:03:56.000072
takano,図をちょっとだけ修正しました。（図の下に文言を追加しました。）,1523757651.000105,2018-04-15 11:00:51.000105
takano,<@U0JACJLRJ>さんがこのファイルをアップロードしました : <https://kait-takanolab.slack.com/files/U0JACJLRJ/FA69AAFPA/dream_game_figure-v5.pdf|dream_game_figure-v5.pdf>,1523757634.000071,2018-04-15 11:00:34.000071
takano,編集可能なファイル一式は、メールで送りました。,1523755673.000033,2018-04-15 10:27:53.000033
takano,"特に問題なければ、これで投稿してみて下さい。
dream_game_figure-v4.pdfは、提出用の添付画像ファイルの意図で作成し
ました。",1523755655.000067,2018-04-15 10:27:35.000067
takano,<@U12475CJC> 図も修正しました。,1523755487.000009,2018-04-15 10:24:47.000009
takano,<@U0JACJLRJ>さんがこのファイルをアップロードしました : <https://kait-takanolab.slack.com/files/U0JACJLRJ/FA6SPQ1C3/dream_game_figure-v4.pdf|dream_game_figure-v4.pdf>,1523755477.000011,2018-04-15 10:24:37.000011
takano,<@U12475CJC> 文章を修正しました。,1523753128.000081,2018-04-15 09:45:28.000081
takano,<@U0JACJLRJ>さんがこのファイルをアップロードしました : <https://kait-takanolab.slack.com/files/U0JACJLRJ/FA6SKA88K/dream_game_kamimura-v5.docx|dream_game_kamimura-v5.docx>,1523753118.000045,2018-04-15 09:45:18.000045
takano,はどうでしょうか。,1523750261.000071,2018-04-15 08:57:41.000071
takano,<@U12475CJC> タイトルですが、「音に合わせて楽しく学ぼう! POPに語学リスニング!!」,1523750201.000068,2018-04-15 08:56:41.000068
t.kasai,<@U0J8PMAQJ>さんがメッセージをこのチャンネルにピン留めしました。,1523631749.000524,2018-04-14 00:02:29.000524
ko-hei,<@U12475CJC>さんがこのファイルをアップロードしました : <https://kait-takanolab.slack.com/files/U12475CJC/FA5L8BV8Q/dream_game_kamimura-v3.docx|dream_game_kamimura-v3.docx>,1523624073.000416,2018-04-13 21:54:33.000416
takano,"M1:
4/26 総合プロジェクト
5/16 研究計画、審査員2名、補佐1名

M2:
5/16 中間審査報告書

研究生:
8/21-28 願書提出期間
9/4入試試験日",1523623999.000419,2018-04-13 21:53:19.000419
ko-hei,<@U12475CJC>さんがこのファイルをアップロードしました : <https://kait-takanolab.slack.com/files/U12475CJC/FA77V6TBQ/dream_game_figure_v2.pptx|dream_game_figure_v2.pptx>,1523623034.000203,2018-04-13 21:37:14.000203
takano,<@U0JACJLRJ>さんがこのファイルをアップロードしました : <https://kait-takanolab.slack.com/files/U0JACJLRJ/FA6A3DESE/dream_game_kamimura-v2.docx|dream_game_kamimura-v2.docx>,1523618976.000189,2018-04-13 20:29:36.000189
ko-hei,<@U0JAEV08K> KCIC-IESのリンクです,1523608975.00038,2018-04-13 17:42:55.000380
ko-hei,<https://ies.pens.ac.id/2018/index.php/ies-kcic/>,1523608953.000455,2018-04-13 17:42:33.000455
ko-hei,<@U0JAEV08K> ありがとうございます．,1523602453.000031,2018-04-13 15:54:13.000031
tsukiji,"<@U0JAEV08K>さんががファイル (<https://kait-takanolab.slack.com/files/U0JAEV08K/FA5F6GJU8/research_plan_tsukiji_0512.docx|research_plan_tsukiji_0512.docx>) をアップロードしてコメントしました : <@U12475CJC> 
こっちの方が自分でたくさん書いたやつでした",1523602410.000259,2018-04-13 15:53:30.000259
tsukiji,議事録,1523601939.0,2018-04-13 15:45:39
tsukiji,<@U0JAEV08K>さんがファイルを共有しました: <https://kait-takanolab.slack.com/files/U0JAEV08K/FA72WNMTQ/4_13__________|4/13 院ゼミ>,1523601939.000239,2018-04-13 15:45:39.000239
ko-hei,<@U0JAEV08K> <@U0J8PMAQJ> ありがとうございます！,1523601588.000133,2018-04-13 15:39:48.000133
t.kasai,<@U12475CJC> 去年の僕の計画書です,1523601583.000085,2018-04-13 15:39:43.000085
t.kasai,<@U0J8PMAQJ>さんがこのファイルをアップロードしました : <https://kait-takanolab.slack.com/files/U0J8PMAQJ/FA635D7TM/research_plan_kasai-v2.docx|research_plan_kasai-v2.docx>,1523601561.000236,2018-04-13 15:39:21.000236
tsukiji,"<@U0JAEV08K>さんががファイル (<https://kait-takanolab.slack.com/files/U0JAEV08K/FA5URCNRJ/h29______________________-______-v2.xls|H29 研究指導計画書-築地-v2.xls>) をアップロードしてコメントしました : 去年の僕の計画書です
上村君参考にどうぞ",1523601495.000072,2018-04-13 15:38:15.000072
takano,<@U0JACJLRJ>さんがこのファイルをアップロードしました : <https://kait-takanolab.slack.com/files/U0JACJLRJ/FA72U6T7Y/____________2_______________________.xls|別紙１・2  研究指導計画書.xls>,1523601098.000126,2018-04-13 15:31:38.000126
tsukiji,<http://new.sigcle.jp/news/CLE25CFP>,1523435525.00042,2018-04-11 17:32:05.000420
t.kasai,今週は金曜です,1523426265.000164,2018-04-11 14:57:45.000164
t.kasai,&gt; 先生の会議が入る可能性が高いらしいので院ゼミの曜日が金曜日から移動する可能性が高いそうです,1523426256.000009,2018-04-11 14:57:36.000009
t.kasai,また、ゼミの時間があまりとれないので普段のコミュニケーションとして互いの研究について空き時間とかに話すようにしましょうという話がありました,1523425885.000218,2018-04-11 14:51:25.000218
t.kasai,先生の会議が入る可能性が高いらしいので院ゼミの曜日が金曜日から移動する可能性が高いそうです,1523425821.000163,2018-04-11 14:50:21.000163
t.kasai,ありがとうございます,1523422724.000008,2018-04-11 13:58:44.000008
takano,"1521166
1621049
1621071
1621086
1621093
1621141
1621152
1621155",1523422484.000092,2018-04-11 13:54:44.000092
takano,3年生セミナー生の学籍番号です。,1523422482.000091,2018-04-11 13:54:42.000091
ko-hei,live:24db3aecfc2809a2&lt;- 自分のskypeIDです,1523242183.000027,2018-04-09 11:49:43.000027
ko-hei,わかりました。印刷しておきます。,1523232769.00013,2018-04-09 09:12:49.000130
takano,6 in one 縮小で2部ほど印刷しておくと良いと思います。,1523232701.000017,2018-04-09 09:11:41.000017
takano,今届きました。ありがとう。,1523232626.000001,2018-04-09 09:10:26.000001
ko-hei,"すいません、自分が先生のメールアドレスを間違えていたようです。
今正しい方にメールを再度送りました。",1523232596.000032,2018-04-09 09:09:56.000032
ko-hei,今新しいCCOのアカウントで送信しました。,1523232303.000103,2018-04-09 09:05:03.000103
takano,とりあえずもう一度お願いします。,1523232228.000009,2018-04-09 09:03:48.000009
takano,他のメールは検索できています。,1523232163.000041,2018-04-09 09:02:43.000041
ko-hei,"わかりました。もう一度送ってみます。
kが大文字に変わっているので、そのせいかもしれません。",1523232134.000106,2018-04-09 09:02:14.000106
takano,"1421, 1885, koheiで検索しているのですが、見つかりません。",1523232046.000106,2018-04-09 09:00:46.000106
ko-hei,メールは4月4日に送りました。,1523232032.000065,2018-04-09 09:00:32.000065
takano,いやメールです。,1523232027.000123,2018-04-09 09:00:27.000123
ko-hei,15時頃の予定です。詳しい時間はまだ伝えていません。,1523232004.000221,2018-04-09 09:00:04.000221
takano,いつころですか？,1523231963.000099,2018-04-09 08:59:23.000099
ko-hei,"<@U0JACJLRJ> pensの4人ですか？報告が遅れていたのですが、既にUIBの学生とチャラの学生一名ずつ、通話するお願いをして了承してもらっているのですが、、
CＥ研究会の資料はメールで送っています。
新しい学籍番号は、1885010です。",1523231950.000152,2018-04-09 08:59:10.000152
takano,あと、新しい学籍番号を教えてもらえますか。,1523231746.000105,2018-04-09 08:55:46.000105
takano,メールで？,1523231680.000127,2018-04-09 08:54:40.000127
ko-hei,<@U0JACJLRJ> CＥ研究会のスライドは送ったと思います。あ、あとファンくんが来てくれます。,1523231553.000093,2018-04-09 08:52:33.000093
ko-hei,"<@U0JACJLRJ> おはようございます。
わかりました。スライドを渡して準備をしてもうようにします。",1523231422.000056,2018-04-09 08:50:22.000056
takano,<@U0JACJLRJ>さんががファイル (<https://kait-takanolab.slack.com/files/U0JACJLRJ/FA3AZN2BX/tbs-____________-_________.docx|TBS-技術紹介-鷹野研.docx>) をアップロードしてコメントしました : このレジュメをTBS佐藤様にお送りしました。これを参考に取材してもらうと思います。,1523231363.000062,2018-04-09 08:49:23.000062
takano,<@U12475CJC> そいうえばCE研究会の発表スライド送ってもらってましたっけ？,1523230012.000067,2018-04-09 08:26:52.000067
takano,"<@U12475CJC> Mindと、PENSの4人(Abdis, Aldi, Astrid, Hani)に、時間があったらFacetimeで接続できませんか、呼びかけているところです。時間は一応、15:30-16:30としています。",1523226373.000056,2018-04-09 07:26:13.000056
takano,<@U12475CJC> あと、午前中に英文を読む練習をしておいてもらうと良いと思います。,1523210411.000161,2018-04-09 03:00:11.000161
takano,<@U12475CJC> 来てくれる留学生は、chiさんと誰でしたっけ？英文を読んでいる様子を撮影されるかもしれません。英文ですが、以前の新潟紹介のスライドの英文はどうでしょうか。（本だと著作権に触れるか可能性があります。）,1523210384.000108,2018-04-09 02:59:44.000108
takano,ありがとう。,1523209872.000091,2018-04-09 02:51:12.000091
ko-hei,<@U0JAEV08K> <@U0J8PMAQJ> ありがとうございます！！！！！！！！！,1522992564.000173,2018-04-06 14:29:24.000173
tsukiji,"<@U0JACJLRJ> 
上村君から
テレビ取材で使用する青木君のシステムを笠井君と調整しました。
先生が言っていたシステムは発音のやつですよね？
リンクをここに貼るので確認よろしくお願いいたします。
ps. <@U0J8PMAQJ> ありがとう
<https://dolphin.mkm.ic.kanagawa-it.ac.jp/~aoki/simple/answer.html>",1522992232.000219,2018-04-06 14:23:52.000219
ko-hei,<@U0JACJLRJ> わかりました．,1522988743.000011,2018-04-06 13:25:43.000011
tsukiji,"<@U0JACJLRJ> 
わかりました
来週の院ゼミを目処に作っておきます",1522977642.000151,2018-04-06 10:20:42.000151
takano,成果にとらわれる必要もないのですが、自分で成果を出すことを意識すると、違った視点で研究に取り組めると思います。,1522972054.000006,2018-04-06 08:47:34.000006
takano,国内・海外の療法です。,1522971897.000223,2018-04-06 08:44:57.000223
takano,今年も、学会発表、論文投稿スケジュールを作ってみてもらえますか。,1522971887.000218,2018-04-06 08:44:47.000218
tsukiji,"<!channel> 
修士4人の前期・後期の授業やTAのスケジュールをまとめたいので、このチャンネルに何の形式でも構わないので共有お願いします。
僕が適当にまとめておけます",1522914376.000294,2018-04-05 16:46:16.000294
ko-hei,<@U12475CJC>さんががファイル (<https://kait-takanolab.slack.com/files/U12475CJC/FA1N2NBCM/kamimra_m1_lecture.xlsx|kamimra_M1_lecture.xlsx>) をアップロードしてコメントしました : 今年度の前後期の僕の日程です．,1522914286.000284,2018-04-05 16:44:46.000284
syun070822,<@UA0BWS0F8>さんががファイル (<https://kait-takanolab.slack.com/files/UA0BWS0F8/FA0R20E3V/__________________.pptx|修論中間発表.pptx>) をアップロードしてコメントしました : こちらが現在取り組んでいる修論用の研究の中間発表の資料です。,1522834938.000342,2018-04-04 18:42:18.000342
syun070822,<@UA0BWS0F8>さんががファイル (<https://kait-takanolab.slack.com/files/UA0BWS0F8/FA0U1PYD8/___fresh__by_cyberagent__________________________________________________________________.pdf|「FRESH! by CyberAgent」のチャンネル登録状況を利用した推薦システム.pdf>) をアップロードしてコメントしました : こちらになります。ただし、こちらは学部時代の卒論に準拠したものなので、別途修士論文向けの資料として中間発表の資料を上げておきます。,1522834788.000069,2018-04-04 18:39:48.000069
ko-hei,"<@U0JACJLRJ> おはようございます。
わかりました。これから大学に行くので、着いたらすぐに送ります。",1522803458.000061,2018-04-04 09:57:38.000061
takano,<@U12475CJC> CE研究会の最終発表スライドを送ってもらえる？メールで。,1522799930.000322,2018-04-04 08:58:50.000322
takano,藤田：昨年度、学会発表をしているとのことなので、みんなで藤田君の研究について情報共有できるように、論文原稿をSlackに送ってもらえますか。,1522799910.000167,2018-04-04 08:58:30.000167
takano,上村：TVの取材に対応できるくらいのレベルに実装しましょう。,1522759626.000145,2018-04-03 21:47:06.000145
takano,築地：DEIMの発表分に、アイディアを盛り込んで、特徴のある技術にしていくこと。,1522759449.000593,2018-04-03 21:44:09.000593
