User,text,timestamp,time
syun070822,<@UA0BWS0F8>さんがチャンネルに参加しました,1522652234.0001,2018-04-02 15:57:14.000100
slackbot,このチャンネルの以下のインテグレーションを解除しました : <https://kait-takanolab.slack.com/services/B6EK7H622|github>,1522634948.000164,2018-04-02 11:09:08.000164
shigetatomoki,<@U4YM85G94>さんがチャンネルに参加しました,1522214102.000028,2018-03-28 14:15:02.000028
B6EK7H622,,1520151589.00002,2018-03-04 17:19:49.000020
B6EK7H622,,1519721269.000336,2018-02-27 17:47:49.000336
tsukiji,"数値の一例をここに置きます
<https://docs.google.com/spreadsheets/d/177X41TciEf69l5k1tzNw7-3y1NiDpp9jJNLLa8qVhGc/edit?usp=sharing>",1519721158.000072,2018-02-27 17:45:58.000072
tsukiji,"<@U0JACJLRJ> 
遅くなりましたが、実験結果をメールで送りました．",1519720741.000337,2018-02-27 17:39:01.000337
tsukiji,"<@U0JACJLRJ>
分かりました今出かけているので
午後にログをかけた場合の一例をここに、実験結果の一覧メールで送ります。",1519689572.000325,2018-02-27 08:59:32.000325
takano,<@U0JAEV08K> 具体的な数字があるとわかりやすいです。（式はだいたいわかるので。。）,1519689431.000183,2018-02-27 08:57:11.000183
shibamoto,<@U2808K7U2>さんがチャンネルに参加しました,1519635788.000419,2018-02-26 18:03:08.000419
satotoshiki,<@U4Y2BNA2Y>さんがチャンネルに参加しました,1519625729.000019,2018-02-26 15:15:29.000019
urano_ryoya,<@U4Y2B9X28>さんがチャンネルに参加しました,1519622096.000114,2018-02-26 14:14:56.000114
daiju.haga-1521042,<@U4XUM59NX>さんがチャンネルに参加しました,1519622083.000034,2018-02-26 14:14:43.000034
B6EK7H622,,1519617325.000094,2018-02-26 12:55:25.000094
tsukiji,"<@U0JACJLRJ> 
α*(log(リーダスコア+サポートスコア))+(1-α)*類似度です",1519609705.000153,2018-02-26 10:48:25.000153
B6EK7H622,,1519608548.000044,2018-02-26 10:29:08.000044
B6EK7H622,,1519608534.000097,2018-02-26 10:28:54.000097
takano,<@U0JAEV08K> 計算例を説明してもらっても良いですか。,1519607372.000143,2018-02-26 10:09:32.000143
B6EK7H622,,1519573131.000065,2018-02-26 00:38:51.000065
tsukiji,ログをかけてもあまり変化はなかったです,1519474301.000079,2018-02-24 21:11:41.000079
takano,<@U0JAEV08K> ランキングに変化でそうですか？,1519474256.000016,2018-02-24 21:10:56.000016
B6EK7H622,,1519467806.000077,2018-02-24 19:23:26.000077
ko-hei,"2/22 作業報告
稲葉先生への報告
稲葉先生に研究協力への感謝とCEでの発表について、報告してきました。CEの論文も一緒に渡してきました。

プレゼン資料の英訳
プレゼン資料の英訳を行いました。
研究課題まで、スライドのみですが、英訳を行いました。",1519292642.00023,2018-02-22 18:44:02.000230
B6EK7H622,,1519022670.000013,2018-02-19 15:44:30.000013
B6EK7H622,,1519010380.000168,2018-02-19 12:19:40.000168
B6EK7H622,,1519010363.000027,2018-02-19 12:19:23.000027
B6EK7H622,,1519010322.000057,2018-02-19 12:18:42.000057
B6EK7H622,,1519010298.000093,2018-02-19 12:18:18.000093
yuta,"2/15 作業報告
システムの改良
　・発音動作図の表示不具合",1518685147.000387,2018-02-15 17:59:07.000387
B6EK7H622,,1518677541.000022,2018-02-15 15:52:21.000022
B6EK7H622,,1518677512.000119,2018-02-15 15:51:52.000119
B6EK7H622,,1518677262.00018,2018-02-15 15:47:42.000180
B6EK7H622,,1518677165.000093,2018-02-15 15:46:05.000093
ishikawa,"2/14 作業報告
先ほどの先生からのアドバイスを元に、要旨の式を具体的な内容に書き換え、式の説明を追加し、図をトリミングで調整しました。また、学術論文を追加しました。",1518603665.000349,2018-02-14 19:21:05.000349
B6EK7H622,,1518519874.000054,2018-02-13 20:04:34.000054
takahashiy,"2018/02/09　作業報告
・論文要旨の作成
GitHUBのthesisにアップロード",1518169891.000328,2018-02-09 18:51:31.000328
ishikawa,"2/3 作業報告
・スライドの修正
-研究背景を修正
現在取り組んでいる問題に対して、過去の会議や議論の情報が問題解決のヒントになる
という旨を追記し述べられる様にしました
-研究目的を修正
研究目的に実験で有用な意見が得られるか確認することを明記しました。
手法の一部になっていたところは記述出来るように原稿に組み込む予定です。
-提案方式を修正
ブレインストーミング・賛否数に着目することで得られるメリットを原稿に組み込みました。
- 議論型導出方式を修正
yとnの表記を賛成・反対に直したのと、迅速型～などの型の説明を追加しました。
- ブレインストーミング同士の類似度算出を修正
ブレインストーミングの型を算出する式（Type(bx) = a・A＋b・B＋c・C＋d・D）の説明を追加しました。",1517656606.000034,2018-02-03 20:16:46.000034
ishikawa,"2/2 作業報告
ブレインストーミング全体のベクトルを算出して、発言の類似度を算出する際に重み付けして計算出来るように
プログラムを改良しました。この結果をスライドに反映します。",1517572964.000026,2018-02-02 21:02:44.000026
shohei516,"2/2
口頭発表でもらった指摘･意見を基にスライドの修正
(スライドの分割･結合，文の言い回しなど)
取得した投稿から注意喚起に関っている投稿を「評価対象」投稿とし，その投稿を係り受け解析を改めて行った。",1517558457.000324,2018-02-02 17:00:57.000324
B6EK7H622,,1517464250.000052,2018-02-01 14:50:50.000052
B6EK7H622,,1517463703.000183,2018-02-01 14:41:43.000183
B6EK7H622,,1517439321.000048,2018-02-01 07:55:21.000048
takahashiy,"2018/01/31　作業報告
・最大値判定の根拠について実験データの比較検証
最大値判定の根拠として，実際の室外機の設置場所で誤検知の発生結果がどの程度のものなのか検証
・スライドの加筆修正
最大値判定について加筆・修正・追加
最大値判定に関する実験の追加（まだきれいにまとめていないので明日修正します）",1517402820.000008,2018-01-31 21:47:00.000008
kaiseiaoki,結果をCSVファイルにしてthesisリポジトリにアップしました,1517396886.000433,2018-01-31 20:08:06.000433
kaiseiaoki,複数のドキュメントを基に重みづけした追実験の結果をまとめました,1517396864.000529,2018-01-31 20:07:44.000529
shohei516,"1/31
昨日の意見を基にスライドを修正
欲しいツイートだったか○×△で判定(△も参照していきたいと考えている)",1517386261.000441,2018-01-31 17:11:01.000441
B6EK7H622,,1517385524.000015,2018-01-31 16:58:44.000015
shohei516,"1/30
発表用のスライドの作成及び発表
今日の発表練習で学部生、先生、院生から頂いた意見を基に修正を行います。
特に投稿文の評価を実行をする
内容を明確にする",1517300799.000233,2018-01-30 17:26:39.000233
B6EK7H622,,1517284871.00013,2018-01-30 13:01:11.000130
yuta,"2018/01/29
・発表用のスライドの修正
・実験は，英単語を２セット，発音動作図を先に活用するグループと後に活用するグループに分ける形で行うことに決定．英単語は20個程に増やします．",1517233405.000089,2018-01-29 22:43:25.000089
kaiseiaoki,"追実験の結果をまとめ考察しました
詳細はthesisりポジトリにアップしました",1517233272.00007,2018-01-29 22:41:12.000070
kurihara,提案方式のスコアリングを元に関連ソースコード上位20件の選択を行い，適合率・再現率・F値の計算を行いました．実験の考察は後日やります．,1517232593.000306,2018-01-29 22:29:53.000306
