User,text,timestamp,time
tsukiji,"<@U4Y3V5NKX>
それっぽい要件定義書？仕様書？があったのでリンクを送ります
<http://fmt.isti.cnr.it/nlreqdataset/>",1537850799.0001,2018-09-25 13:46:39.000100
shigetatomoki,"<@U4YM85G94>
ソースコードは1機能100ファイルを目標に集めてみる（まずはメール機能から）
比較　文字単位で学習して分類できるようにするのがいいのか・ソースコードよりもそれに付いたコメントを優先して分類できるようにするのがいいのか
　比較実験で卒論に書ける

コンセプトの議論は終わった、具体的な話と実験結果を意識する
どんな形式でラベル付けしてるのか",1537506397.0001,2018-09-21 14:06:37.000100
shigetatomoki,"<@U4Y3V5NKX>
仕様書の学習は、日本語より英語のほうがやりやすい（？）らしい
学習済みのモデルは既に誰かが用意してくれているものを流用できるかも",1537505900.0001,2018-09-21 13:58:20.000100
shigetatomoki,"<@U4Y2B9X28> <@U4Y3V5NKX>
お互いに、何を目的にしてどこまで進めているのか、何を考えているのか、進捗もわからないので、密な情報共有をしましょう
先生や先輩方からもらったアドバイスを留めずに広めるといいです",1537505789.0001,2018-09-21 13:56:29.000100
hisatsugu_1521038,ありがとうございます,1536722404.0001,2018-09-12 12:20:04.000100
shibamoto,<@U4Y3V5NKX> 多分，私・浦野君・羽賀君のGitHubのissue見れば書いてあるよ．,1536722314.0001,2018-09-12 12:18:34.000100
hisatsugu_1521038,"昨日の4ゼミ無断欠席してしまい申し訳ありません。
#chatで言われている学会以外で何か確認したことあったら教えてください。",1536721062.0001,2018-09-12 11:57:42.000100
shibamoto,"ちなみに、17日に残留届のリマインダーが来てると思うんですけど、誰か残留届提出しました？

あと、残留届のリマインダーはこのチャンネルじゃなくて、generalの方に設定してください",1534734742.0001,2018-08-20 12:12:22.000100
takano,お盆もあけたし、日々の卒研作業報告をお願いします。,1534681990.0001,2018-08-19 21:33:10.000100
slackbot,リマインダー : 残留届の提出.,1534464029.0001,2018-08-17 09:00:29.000100
shigetatomoki,"  8月17日 (金) 9:00 , 日本標準時 にこのチャンネルでこれをリマインドするよう設定しました : “残留届の提出” ",1533271341.000048,2018-08-03 13:42:21.000048
slackbot,リマインダー : 残留届の提出.,1533254409.000329,2018-08-03 09:00:09.000329
tsukiji,"<@U4Y2B9X28> 
浦野くんが学習できるようと考えられる学習例で実際に実装して見ると実験の最初の工程として卒論でも書けるのでガンガンできる範囲のものをやってみましょう",1533103124.000057,2018-08-01 14:58:44.000057
tsukiji,"<@U4Y3V5NKX> 
この卒研の目的の初めとして
要件定義にあるような文章からソースコードを推薦できるように目指すところから始めて欲しい

推薦した上で開発時間の短縮などはこの研究でやるメリット程度にとどめておくのがいい気がする",1533102099.000032,2018-08-01 14:41:39.000032
tsukiji,"<@U4YM85G94> 
ロジックを学習させる上でどの粒度が良い結果をもたらすのかは誰にも分からないので、むしろ色々な粒度を列挙した上で結果を見比べる事で価値のある実験になります",1533100285.000046,2018-08-01 14:11:25.000046
tsukiji,"2018/8/1 セミナーコメント
<@U4XUM59NX> 
実験で何を確認するのかを考えておいて下さい
実験によって何を証明(確認)するかを実験目的として、用意するデータや実験するためにはどのような手順で被験者に協力を仰ぐかを考えておいて下さい。",1533098732.000104,2018-08-01 13:45:32.000104
tsukiji,"4年生
・3年生セミナーには必ず参加すること(強制
・平日は必ず作業報告をする(場所時間問わず必ず行うこと
・基本的に午前中に研究室に来る事
",1533098586.00011,2018-08-01 13:43:06.000110
shibamoto,"<@U0JACJLRJ> 
先程、急に学生支援本部(?)から呼び出しがかかったので、ゼミ遅れて参加します。
急なことで、連絡が遅くなり申し訳ありません。",1533097103.000046,2018-08-01 13:18:23.000046
takano,ゼミを始めます。,1533096975.000145,2018-08-01 13:16:15.000145
tsukiji,"<!channel> 
何人かやっているようですが、空いている時間に清原先生から頂いたコメントをgithubのイシューなどにメモしておきましょう。
結構時間を割いてコメントしていたようなのでしっかり反映できるといいですね",1532491666.000007,2018-07-25 13:07:46.000007
shigetatomoki,<!channel> 4年生きてー,1532481945.000125,2018-07-25 10:25:45.000125
shigetatomoki,<!channel> １限からいないといけない日です、すぐ集合！,1532481915.000191,2018-07-25 10:25:15.000191
shigetatomoki,<!channel> 中間発表用の資料のスライド番号（右下の数字）について、卒業生の方から「小さくて見づらい」という意見があったので、サイズを大きくするように統一したいです。指定がなければ、16ポイントに変更でよいですか？,1532352260.000179,2018-07-23 22:24:20.000179
shibamoto,<@U0JAEV08K> リマインダー設定ありがとうございます。忘れていたので助かりました。,1532166802.000026,2018-07-21 18:53:22.000026
syun070822,<@U12475CJC>発表お疲れ様でした！,1532148767.000007,2018-07-21 13:52:47.000007
ko-hei,気にせず続けてください,1532147215.000031,2018-07-21 13:26:55.000031
ko-hei,すいません、チャンネルを間違えました,1532147199.000012,2018-07-21 13:26:39.000012
takano,<@U12475CJC> ご苦労様でした。長沼君にもお伝えください。,1532147137.000061,2018-07-21 13:25:37.000061
ko-hei,"ありがとうございます！
おみやげかってきます！",1532145951.000032,2018-07-21 13:05:51.000032
t.kasai,おつかれさまでした！ :tada:,1532145839.000066,2018-07-21 13:03:59.000066
tsukiji,<@U12475CJC> 発表お疲れ様！,1532145073.000008,2018-07-21 12:51:13.000008
