User,text,timestamp,time
takano,"To: 主に4年生
スライド資料などはこまめに更新し、githubにアップロードして管理すると良いと思います。後期はクロスチェックも開始します。",1537847518.0001,2018-09-25 12:51:58.000100
takano,"To: 主に3年生
火曜日5限に、「実践情報技術英語」があるので、時間がある人は受講を検討してください。上記の海外研修も視野にいれると、効率よく英語学習ができると思います。",1537840236.0001,2018-09-25 10:50:36.000100
takano,"To: 主に3年生
来年2～3月に、インドネシアでの海外研修プログラムがあります。大学からの補助を利用して参加できるし、海外で学べる大変良い機会です。こんどのセミナーでちょっと説明するので是非参加を検討して欲しいです。",1537780704.0001,2018-09-24 18:18:24.000100
syun070822,<@U0JACJLRJ> 申し込み完了しました。,1537753441.0001,2018-09-24 10:44:01.000100
takano,<@UA0BWS0F8> はい、同時に申し込んでおいてください。,1537753314.0001,2018-09-24 10:41:54.000100
syun070822,<@U0JACJLRJ> 参加申し込みの「参加申し込みも同時に行う」にチェックは入れたほうがいいでしょうか？,1537753094.0001,2018-09-24 10:38:14.000100
syun070822,<@U0JACJLRJ> わかりました。,1537752801.0001,2018-09-24 10:33:21.000100
takano,"<@UA0BWS0F8> 下記URLより，必要事項をご記入の上，申し込んでもらえますか．

<https://ai-gakkai.or.jp/sig-system/confusers/presenter_add/sigconf2018/kbs>",1537752777.0001,2018-09-24 10:32:57.000100
syun070822,<@U0JACJLRJ> 確かに先生の言う通り未知コンテンツに抱く感情値算出手法にフォーカスしているので、先生のタイトル案はいいなと思いました。,1537751998.0001,2018-09-24 10:19:58.000100
takano,などはどうでしょうか。,1537751437.0001,2018-09-24 10:10:37.000100
takano,<@UA0BWS0F8> ユーザ間の感情値の類似性に基づいて、未知コンテンツへの感情値を算出する方法を拡張するのでしたら、そこをフォーカスして、「未知コンテンツ推薦のための多値感情の類似度算出手法の検討」,1537751430.0001,2018-09-24 10:10:30.000100
syun070822,"<@U0JACJLRJ> 僕としては興味を持つ興味の傾向≒評価傾向と考えていました。
今思うと評価傾向にすると感情値の傾向のように意味が変わってしまうと思ったので、3番目のタイトルをベースにするのがしっくりくるのではないかと考えています。",1537750456.0001,2018-09-24 09:54:16.000100
takano,<@UA0BWS0F8> タイトルにある「評価傾向」はどの拡張部分に相当しますか。,1537750139.0001,2018-09-24 09:48:59.000100
syun070822,"<@U0JACJLRJ> DPSの内容との相違点は以下のように考えています。
・未知のコンテンツに抱く感情値の計算方法の変更
・ユーザ間の類似度算出の際に、共通のコンテンツのみで類似度を算出している
→共通していない部分は無視してしまっているため、ユーザ間の興味の傾向は考慮していない
・興味の傾向を考慮する場合、通常の類似度算出手法では、ユーザの未評価部分(欠損値)が多いことが考えられるため、算出が難しい
・そのため、類似度算出～未知のコンテンツに抱く感情値の算出にマトリクス演算（matrix factorization）を使用することが相違点です。",1537747287.0001,2018-09-24 09:01:27.000100
takano,<@UA0BWS0F8> どのタイトルも使えそうに思いますが、今回の拡張内容がわからないので、なんとも言えません。DPSの内容との相違点を教えてもらえますか。箇条書きなどで良いです。,1537745711.0001,2018-09-24 08:35:11.000100
syun070822,"<@U0JACJLRJ> KBSの論文のタイトル候補を一応考えました。
・ユーザのコンテンツに対する感情の評価傾向を考慮したコンテンツ推薦手法
・コンテンツの評価傾向と感情を考慮したコンテンツ推薦手法
・ユーザが興味を持つコンテンツの傾向と感情を考慮したコンテンツ推薦手法",1537408139.0001,2018-09-20 10:48:59.000100
takano,"4年生：作業レポートを日々書くようにお願いします。作業を習慣化して欲しいです。
ゼミに出れない場合も、スライドはみんなと共有するようにしてください。",1537400231.0001,2018-09-20 08:37:11.000100
tsukiji,<https://gigazine.net/news/20180403-tensorflow-js/>,1537341812.0001,2018-09-19 16:23:32.000100
takano,9/24が締め切りなので、9/22頃までが良いです。,1537327848.0001,2018-09-19 12:30:48.000100
syun070822,<@U0JACJLRJ> わかりました。いつまでにやれば大丈夫でしょうか？,1537327820.0001,2018-09-19 12:30:20.000100
takano,<@UA0BWS0F8> KBSの申し込みのために、タイトルの候補を送って欲しいのですが、千葉に行っている間にできますか。,1537327767.0001,2018-09-19 12:29:27.000100
tsukiji,,1537252653.0001,2018-09-18 15:37:33.000100
takano,一人：発表10分 + 質問5分、程度を想定しておいてください。,1537051108.0001,2018-09-16 07:38:28.000100
takano,9/18の合同ゼミですが、4年生は、中間発表+αで発表準備をしてください。中間発表は、構成、文章の質がある程度保証(?)されているので、それを骨子にして良いです。院生は、学会発表スライドなどをベースにしたもので発表してください。,1537050837.0001,2018-09-16 07:33:57.000100
syun070822,今自宅に着きました。,1536999411.0001,2018-09-15 17:16:51.000100
