User,text,timestamp,time
shigetatomoki,"  10月5日 (金) 9:00 , 日本標準時 にこのチャンネルでこれをリマインドするよう設定しました : “残留届の提出” ",1537514893.0001,2018-09-21 16:28:13.000100
slackbot,リマインダー : 残留届の提出.,1536883223.0001,2018-09-14 09:00:23.000100
hisatsugu_1521038,"  9月14日 (金) 9:00 , 日本標準時 にこのチャンネルでこれをリマインドするよう設定しました : “残留届の提出” ",1535697277.0001,2018-08-31 15:34:37.000100
slackbot,リマインダー : 残留届の提出.,1535673607.0001,2018-08-31 09:00:07.000100
tsukiji,,1535081552.0001,2018-08-24 12:32:32.000100
syun070822,"  8月31日 (金) 9:00 , 日本標準時 にこのチャンネルでこれをリマインドするよう設定しました : “残留届の提出” ",1534901401.0001,2018-08-22 10:30:01.000100
slackbot,リマインダー : 残留届を提出して下さい。,1532044813.000326,2018-07-20 09:00:13.000326
tsukiji,わかりました,1531839400.000026,2018-07-17 23:56:40.000026
takano,デモを作りこんで、どうにか間に合わせるみなたいなことは、しなくて良いです。,1531836920.000316,2018-07-17 23:15:20.000316
takano,役割が分担できれば、どうにかできる範囲でお願いします。,1531836817.000595,2018-07-17 23:13:37.000595
takano,"下記の対応の準備をお願いできますか。
1. 築地君と上村君と笠井君が作成したビデオ2本の上映
2. 青木君のspeakingシステムと上村君のlisteningシステム
3. 芳賀君のarダイナミックプレビューと、柴本さんのWebでの画像編集機能
4. 中間発表のポスター資料
5. その他動くデモ",1531836772.000083,2018-07-17 23:12:52.000083
takano,急で申し訳ありませんが、今準備している中間発表の内容などで、対応をお願いします。,1531826879.000002,2018-07-17 20:27:59.000002
takano,みなさん、7/22にオープンキャンパスの研究室公開担当でした！,1531826803.0002,2018-07-17 20:26:43.000200
shibamoto,"  7月20日 (金) 9:00 , 日本標準時 にこのチャンネルでこれをリマインドするよう設定しました : “残留届を提出して下さい。” ",1530850212.000053,2018-07-06 13:10:12.000053
slackbot,リマインダー : 残留届を出して下さい,1530835220.000249,2018-07-06 09:00:20.000249
takano,明日のチュラ研修生のプログラムです。,1530015580.000076,2018-06-26 21:19:40.000076
takano,長沼君、チーさん、トリンくんもお誘いください。,1529927741.000357,2018-06-25 20:55:41.000357
