User,text,timestamp,time
shigetatomoki,"連絡が遅れてすみません。
わかりました。現時点ではソースコード全体とラベルが1対1、というラベルの粒度でしたが、ロジック学習のために細かくラベル付けし、それをセミナーなどで例示できるようにします。",1537794805.0001,2018-09-24 22:13:25.000100
hisatsugu_1521038,"2018/09/24 作業報告
・仕様書の収集（英語だと可能性有り）
  -提示していただいた例の文の読解をした（継続中）
  -日本語での仕様書は1つ、本に例として書かれているとの情報を見つけた",1537785135.0001,2018-09-24 19:32:15.000100
shibamoto,"2018/09/24 作業報告
・ゼミのスライドに実験についての説明を追加
・収集する観光地データの観光地の再検討",1537780133.0001,2018-09-24 18:08:53.000100
hisatsugu_1521038,ありがとうございます。英語の記事で探してみます,1537763589.0001,2018-09-24 13:33:09.000100
ko-hei,<@U0JACJLRJ> わかりました．各解析方法について，どのような数値データとして取得できるのか調べてみます．,1537754172.0001,2018-09-24 10:56:12.000100
takano,<@U12475CJC> アウトプットとしては数値データを取得したいので、各解析方法で、どのような数値データが得られるのかを確認しておくと良いと思います。,1537754003.0001,2018-09-24 10:53:23.000100
ko-hei,<@U0JACJLRJ> ありがとうございます．こちらは以前に読ませてもらいました,1537753873.0001,2018-09-24 10:51:13.000100
takano,以前送っておいたリンクです。,1537753486.0001,2018-09-24 10:44:46.000100
takano,"<@U12475CJC> これはもう読んだのだっけ。
<https://qiita.com/daisukelab/items/4fdbf95c74e6206153c9>",1537753472.0001,2018-09-24 10:44:32.000100
ko-hei,すいません，このURLで見れると思います．,1537753099.0001,2018-09-24 10:38:19.000100
ko-hei,<http://speechresearch.fiw-web.net/73.html#g39862ab>,1537753057.0001,2018-09-24 10:37:37.000100
ko-hei,<@U0JACJLRJ> 自作の音源は，以前に学習用として録音した自分の音声です．音声は1英単語となっています．,1537753031.0001,2018-09-24 10:37:11.000100
takano,<@U12475CJC> 404errorのようです。,1537752804.0001,2018-09-24 10:33:24.000100
ko-hei,"<@U0JACJLRJ> <http://speechresearch.fiw-web.net/73.htm>
参考にしているのは主にこの記事です．一応最終更新が今年の一月なので，古いわけではないのですが，
コードをそのまま移してもうまく動作しないこともありました．",1537752169.0001,2018-09-24 10:22:49.000100
takano,日本語のは確かに、書き方についての記事が目立ちますね。,1537749971.0001,2018-09-24 09:46:11.000100
takano,"英語だと、いくつか見つかります。英語も検討してもらえますか。
<http://www.cs.nott.ac.uk/~pszjds/teaching/archive/G52LSSLecture10extra.pdf>
<http://www.cs.colostate.edu/TechReports/Reports/2011/tr11-105.pdf>
",1537749935.0001,2018-09-24 09:45:35.000100
hisatsugu_1521038,仕様書を例を探しているのですが見つからず、仕様書にかかれているような文章は全く収集できていません。,1537747895.0001,2018-09-24 09:11:35.000100
takano,<@U4YM85G94> 同時に、各ソースコードで実際に現れるロジックを、サンプルとして（サンプルといってもできるだけ大目に）抽出して、例示するようにしてみてもらえますか。,1537746370.0001,2018-09-24 08:46:10.000100
