User,text,time
t.kasai,<@U0J8PMAQJ|t.kasai> pinned <@U0JACJLRJ|takano>’s PowerPoint Presentation <https://kait-takanolab.slack.com/files/takano/F4XVB42UB/__________________2017.pptx|卒研の進め方2017.pptx> to this channel.,1491973947.258725
takano,<@U0JACJLRJ|takano> uploaded a file: <https://kait-takanolab.slack.com/files/takano/F4XVB42UB/__________________2017.pptx|卒研の進め方2017.pptx>,1491973878.248980
takano,<!channel> プログラムを最新版にしましょう。プログラムがすぐ使えるように実験データも忘れずにお願いします。,1489633504.141656
t.kasai,プログラム一式はまだgithubに上げてない、上げていても最新版でないという状態がちらほら見えます,1489630838.681751
t.kasai,各最新版の電子データは OneDrive に全員分上がってるはずです,1489630771.670028
takano,特にプログラムの動作確認、マニュアル類の整備をお願いします。,1489627151.022261
takano,プログラム一式も全てgithubにあるのだっけ？,1489627116.015612
takano,卒論、発表スライド、卒論要旨の各最終版の電子データは、onedriveにあるのだっけ？,1489627057.004571
takahashim,9.10に行う方向でいいですか？,1488411189.589213
takahashim,9.10かな,1488411029.577248
shimizu,6～8は祖父の法要で行けないです。,1488210368.702662
otaki,すいません、実家帰っていて全部行けません。引き継ぎ資料事態は作成してあります。,1488175839.996987
takano,少なくとも1週間前の周知を基本としてみてください。,1488159995.612834
takano,まず、日程は決まっていないけれど、計画中であるという程度で良いので、３年生に周知をお願いします。,1488159957.611948
takahashim,来れない人は事情とか発言してくれ,1488153733.476283
takahashim,3月10日（金）,1488153641.474562
takahashim,3月9日（木）,1488153608.473799
takahashim,3月8日（水）,1488153584.473267
takahashim,3月7日（火）,1488153564.472347
takahashim,3月6日（月）,1488153547.471843
takahashim,日にちがギリギリだったので、3月6.7.8.9.10日あたりにやりたいと思います。どうですか。実家の人とか来れない人は事情を教えて。これで、人が多いところでやります。来れるところは:ballot_box_with_check:おねがいします。,1488153521.471146
takano,1に周知、2に周知、3に周知,1488079924.492225
takano,早めに3年生に周知できると良いです,1488079904.491974
takahashim,3月3日,1488007613.519403
takahashim,3月2日,1488007603.519326
takahashim,3月1日,1488007591.519250
takahashim,3月1.2.3あたりにやりたいと思ってるんだけど、どうですか。実家の人とか来れない人は事情を教えて。これで、人が多いところでやりたいね,1488007576.519156
shimizu,とりあえず、実家に戻ってる人たちがいつこっちに戻ってくるのかを確認するべきかと,1487976914.000002
takahashim,土日開けたときにやる？,1487973131.000002
tsukiji,一緒にやれるならそれでいいし、無理なら2つに分けるとかすればいいし,1487902037.000005
tsukiji,とりあえず四年生だけで行ける日と行けない日を出しておくべきだと思うけど,1487902011.000004
tsukiji,"<!channel>: 四年生へ
日程だけでも引き継ぎ会企画したら？",1487901961.000003
takano,<@U0JAHLWD7> もう少ししたら確認してみます。,1487894692.000002
shimizu,"<@U0JACJLRJ> 修正した要旨をOneDriveの2016卒論/卒論要旨/02.17にアップロードしました。ファイル名の日付が20170221になっています。
適合した例文の数と提示された例文の例を表2に入れました。",1487613609.000002
takano,<@U0JAJ3J8P> そうですね、指摘したように、情報を補ってもうらうと修正が行えると思います。,1487547180.000003
takano,<@U0JAJ3J8P> 要旨ですが、1章のみ修正しました。OneDrive 02.17に挙げてあります。,1487547137.000002
matsumoto,<@U0JACJLRJ> 内定先の関係で今日は外に出てしまうので、指摘事項を記載したドキュメントを後でアップロードしておきます。 ,1487538350.000002
takano,<@U0JAJ3J8P> 表1の結果から、精度向上の可能性を読み取るのは困難なように思います。説明を補って欲しいです。,1487523095.000013
takano,<@U0JAJ3J8P> DPマッチングで類似度をはかるところは、数式でかけませんか。,1487523036.000012
takano,<@U0JAJ3J8P> 距離の算出方法はどうやるのだっけ。,1487522993.000011
takano,<@U0JAHLWD7> 表5.3というようり、表5.4以降をまとめる感じだと思います。発表スライドの結果だと、もう少し適合文書が多かったと思いますが、どうだったでしょうか。,1487520981.000010
takano,3年生が参考にするものなので、協力をお願いします。,1487512967.000008
shimizu,<@U0JACJLRJ> 分かりました。要旨に追加しておきます。,1487511324.000007
takano,あと、卒論要旨に含めて欲しいという意図で確認しています。,1487506398.000005
takano,移動が多く、ダウンロードできない環境で作業している場合が結構あります。,1487506356.000004
takano,<@U0JAHLWD7> 表5.3を見ないといけないでしょうか。。,1487506286.000003
shimizu,<@U0JACJLRJ> 卒論の表5.3がそういった内容のものだと思います,1487485021.000002
takahashim,<@U0JACJLRJ> わかりました,1487388054.000002
takano,<@U0JAHLWD7> 各入力文章における例文の出力結果として、適合した例文の数はまとめてありますか。,1487372312.000006
takano,Kbookへの電子版の投稿は更新しておいてもらえますか。,1487372273.000004
takano,清水の要旨も更新しました。,1487372256.000003
takano,もう印刷は間に合わないのですが、高橋の要旨を更新しました。,1487372212.000002
takano,大滝の要旨を更新しました。,1487291275.000005
takano,笠井の要旨を更新しました。,1487288865.000004
takano,フォルダは02.17です。,1487286730.000003
takano,築地の要旨を更新しました。,1487286714.000002
takano,ありがとう。ご苦労様でした。,1486995307.000087
t.kasai,<!channel> 全員分の卒論要旨・承諾書を提出してきました,1486966092.000078
shimizu,<@U0J8PMAQJ> ありがとうございます…！,1486965005.000077
t.kasai,<@U0JAJ3J8P> 印刷しましたー,1486962578.000076
otaki,(｀･ω･´)ゞ,1486960874.000075
t.kasai,ちゃんとモノクロ化した原稿を提出してくださいね～,1486960747.000074
tsukiji,"教えてくれてありがとう！
やります",1486960743.000073
