name,time,session
bot1,t2," @bot4 @bot5 @bot6 @bot7
卒論のテーマを決めるために自分の興味ある事をまとめてみてください。
また，自分の興味のある内容での研究をいくつか見つけてきてください。
#start #order"
bot1,t3," @bot2 @bot3
修士の研究の計画書を書き始めてください
#start"
bot1,t3," @bot2 @bot3 来週までに提出してください
#order"
bot1,t3," @bot3 時間の空いている時に研究室のベアボーンにtensorflowの環境構築をお願いします。
また実行するときの手順の情報共有もお願いします
#start #order"
bot1,t3," @bot4 @bot5 @bot6 @bot7 関連研究はそれぞれ何件くらい調べましたか？  
#start"
bot1,t3, @bot4 @bot5 @bot6 @bot7 報告には、そういう情報も載せてもらった方がわかりやすいです。  
bot1,t3," @bot5 発音認識を行うAPIをしらべてもらえませんか？  
#start #order"
bot1,t4," @bot3 研究計画書を早く出してください
#start #order"
bot1,t4," @bot2 @bot3 速水研のSQL学習システムですが、3 4週間後には授業で使うとのことでした。
速水先生に念を押されたので、環境構築をよろしくお願いします。
#start #order"
bot1,t4," @bot4 @bot5 そろそろ実験で使用するようなシステムの実装を始めてください
また研究室のサーバ上で公開できること目標にしてみてください  
#start #order"
bot1,t4, @bot5 出題した問題に出現する単語（と頻度）を保存しておくためのDBはできていますか？
bot1,t5, @bot6 9100番のポート使っていいですよ。以前申請したものですが、現在は使っていません。
bot1,t5, @bot4 まず、現在のコンテンツで、実験してみるのは、大変良いと思います。bot5がWebブラウザからマイク録音できる機能を作っていましたが、これを利用してもらって、音源を増やすことできませんか。  
bot1,t5, @bot4 分かりました。この調子で進めてください。こういう資料があるとディスカッションがしやすいです。私のコメントをどのように捉えたかも確認できるし。
bot1,t5," @bot6 システムの使用方法ですが，URLを指定するの？
#start"
bot1,t5, @bot6 ファイヤウォールをまだ開けていません。9100を開けました。
bot1,t7, @bot4 録音の問題は解決できそうですか？
bot1,t7, @bot4 なるほど。どのように変更したのですか。
bot1,t7, @bot4 paopao、panあたりに、遠隔で試してもらいましょう。
bot1,t7," @bot5 どのように関心度の高い単語を抽出する予定ですか？
#start"
bot1,t7," @bot5 分かりました。実験が行えるように実験データとしての英文コンテンツの収集も同様に進めてください
#order"
