User,text,time
takano,<@U0JACJLRJ|takano> uploaded a file: <https://kait-takanolab.slack.com/files/takano/F5ETXMSSX/research_plan-kasai-1.docx.docx|research_plan-kasai-1.docx>,1495097076.472720
t.kasai,<@U0J8PMAQJ|t.kasai> uploaded a file: <https://kait-takanolab.slack.com/files/t.kasai/F5FQQDSMD/research_plan_kasai-v1.docx|research_plan_kasai-v1.docx>,1495095946.263156
tsukiji,今遠藤先輩から連絡があり、5限に打ち合わせに来るようです,1495083036.677799
tsukiji,"やったコマンド
drop database order_login;  //データベースorder_loginの削除
create databese order_login; //データベースorder_loginの作成
mysql -u root -p order_login &lt; order_login.sql  //sqlファイルのインポート",1495082662.648175
tsukiji,"速水研の引継ぎで、昨日の話であったuserデータの入ったデータベースを削除し入れなおしました。
入れなおしたあと、テストとしてユーザをアプリ上で追加したら正常に追加されました",1495082436.630712
tsukiji,DEIMとAINA2018の情報を追加しました,1494926904.465396
tsukiji,<@U0JAEV08K|tsukiji> uploaded a file: <https://kait-takanolab.slack.com/files/tsukiji/F5E1AU69G/_____________________v3.xlsx|学会カレンダーv3.xlsx>,1494926861.457294
takano,テストの仕方も確認しておく必要があるように思いました。,1494844796.199267
takano,今週木曜日の3限以降で、遠藤君との打ち合わせを調整してもらえますか。,1494842507.827154
takano,sql_modeをNO_ENGINE_SUBSTITUTIONにすると解決するかもしれない,1494842108.753736
takano,"---
遠藤 5.6.20 Mac @@sql_mode NO_ENGINE_SUBSTITUTION
本番 5.1.x CentOS @@sql_modeに設定なし
鷹野研 5.7.x Ubunts @@sql_mode STRICT_TRANS_TABLESの他にいろいろ設定されている
---",1494842084.749508
takano,5.6から起きている問題かもしれません,1494841129.579185
takano,<http://blog.seeds-std.co.jp/entry/1035.html>,1494841112.576115
t.kasai,ダウングレードは可能です,1494840939.544062
takano,NOT NULLのときのINSERTの挙動が違うようなのですが、まだ公式文書で確認できていません。,1494840734.506907
takano,5.6を稼働させることできますか。,1494840678.496602
takano,mysql のバージョンは5.6がベターかもしれません。,1494840666.494258
tsukiji,確認できたありがとう,1494836037.657999
t.kasai,した,1494835747.608310
tsukiji,sqlファイルのファイル2つインポートしたっけ？,1494835738.606760
t.kasai,:kodakku1: ,1494835696.599774
tsukiji,sqlファイル,1494835689.598652
t.kasai,"ｱ,ｱﾚ",1494835684.597787
tsukiji,笠井君のホームディレクトリにあったよ,1494835674.596263
t.kasai,ディレクトリ構造自体はかわらない,1494835674.596119
t.kasai,先輩にもらった `SQL/` ディレクトリを `/var/www/` と読み替えて,1494835654.592857
t.kasai,`/var/www/html/` のどこか,1494835569.575961
tsukiji,orderdb.sqlどこにある？,1494835399.544583
takano,:scream:,1494835358.537772
t.kasai,つ、使えない状態かもしれません... :fearful: ,1494835307.529209
takano,築地くんに確認してもらっています。,1494835272.523361
takano,インポートコマンドはどうもありがとう。,1494835264.521892
takano,今、メールサーバつかえないじょうたいなのかな。。,1494835223.514886
t.kasai,ベアボーンに www2 のドメインの IP アドレスを割り当てています,1494835090.492134
t.kasai,インポートは `mysql -uroot -p orderdb &lt; orderdb.sql`,1494835032.482677
takano,www2は今のメールサーバのドメインだけど、ベアボーンにこのドメインを割り当てるのだっけ？,1494834854.454632
takano,ヒストリーに残ってる？,1494834592.413678
takano,テーブルとデータをインポートしたときのコマンドを覚えていますか。,1494834586.412738
t.kasai,していません,1494834303.369687
takano,<@U0J8PMAQJ>  phpmyadminはインストールしてる？,1494834286.367014
takano,<@U0JACJLRJ|takano> uploaded a file: <https://kait-takanolab.slack.com/files/takano/F5DEGM5CL/tsukiji-researchplan-170515-2.docx|ゼミでのディスカッション内容を赤入れしました。>,1494831557.981081
tsukiji,<@U0JAEV08K|tsukiji> uploaded a file: <https://kait-takanolab.slack.com/files/tsukiji/F5DFHBVKP/1785005___________________2017.docx|1785005_研究計画概要2017.docx>,1494828938.707996
takano,deimをマイルストーンに入れましょう。,1494828791.694468
takano,卒論の拡張版を、日本語で、9月頃をめどにできないかを検討しましょう。,1494828639.680769
takano,卒論についての英語発表は、もう少し早い時期にできると思うので、それを追加してみてください。,1494827922.606596
takano,マイルストーンは，表にすると見やすくなると思います。,1494827893.604307
tsukiji,"昨日赤入れしていただいた部分の修正と、概要図を入れました
真ん中の利用者の活動履歴と情報コンテンツのマッチングの部分は自分でさらに手直しするかもしれないです",1494590866.109956
tsukiji,<@U0JAEV08K|tsukiji> uploaded a file: <https://kait-takanolab.slack.com/files/tsukiji/F5DE2ND1U/research_plan_tsukiji_0512.docx|research_plan_tsukiji_0512.docx>,1494590791.092847
tsukiji,マウス切り替え機です,1494556438.766149
tsukiji,<http://amzn.asia/1ihFtQG>,1494556432.765599
tsukiji,<@U0JAEV08K|tsukiji> uploaded a file: <https://kait-takanolab.slack.com/files/tsukiji/F5CCPPTQT/2017________________.xlsx|2017_研究室備品.xlsx>,1494556424.764837
takano,整理した後に、提案方式の文書を再度見直し、必要に応じて修正すると良いでしょう。,1494504026.976619
takano,提案方式の文章がちょっと曖昧な感じがしたので、概要図を描きながら必要な機能を整理してみてください。 ,1494503950.962430
takano,赤入れしました。,1494503900.954225
takano,<@U0JACJLRJ|takano> uploaded a file: <https://kait-takanolab.slack.com/files/takano/F5CR54Q31/research_plan-tsukiji.docx|research_plan-tsukiji-commented>,1494503887.951833
takano,<@U0JAEV08K> だいぶ整ってきたように思います。,1494502615.756822
t.kasai,明日から環境構築と動作確認を始めます,1494502317.712591
t.kasai,わかりました,1494502225.698272
takano,速水先生に念を押されたので、環境構築をよろしくお願いします。,1494500579.442427
takano,速水研のSQL学習システムですが、3、4週間後には授業で使うとのことでした。,1494500519.433152
tsukiji,研究計画の文章を書いてみました．目を通していただけると幸いです。概要図は今から制作します,1494498925.185364
tsukiji,<@U0JAEV08K|tsukiji> uploaded a file: <https://kait-takanolab.slack.com/files/tsukiji/F5BCVV7LH/1785005___________________2017.docx|1785005 研究計画概要2017>,1494498925.185301
takano,spotifyも興味深そうなpatentを持っていますね,1494464116.022530
takano,<https://finance.strands.com/products/recommender/>,1494461844.791289
takano,サーベイ対象としておもしろそうです。,1494461844.791215
tsukiji,ヴィクトリアの学会を追加しました,1494427938.467654
tsukiji,<@U0JAEV08K|tsukiji> uploaded a file: <https://kait-takanolab.slack.com/files/tsukiji/F5BEDKP0S/_____________________v2.xlsx|学会カレンダーv2.xlsx>,1494427925.463296
t.kasai,<http://www.ece.uvic.ca/~pacrim/pacrim17/index.php>,1494426349.954048
takano,Activity分析を技術系チャットを対象に行い、SlideShareのコンテンツ分析と結びつけることが可能ならば（良いアプリケーションがあることも重要）、卒研の発展として取り組むことができるのではないかと思います。一晩か二晩寝かせるように考えてみてください。,1494217846.441587
tsukiji,"あ、はい
わかりました",1493808869.882117
takano,あと、国内・国際学会をマイルストーンとした達成目標が以前はあったと思うので、それも付け加えてみてください。,1493795649.909343
takano,基本的な作業ですが、関連研究と比較して、有意性はどこにあるのかを文章化してみることをやってみてください。,1493795603.904051
takano,関連研究は、良く調べられていて良いと思います。,1493795541.897410
takano,他の類似手法も、この点はカバーしているものが多いとのではないかという感覚です。,1493795507.893555
takano,「本研究における特徴は利用者に対して類似性のある専門知識を持った人物を抽出し，利用者の嗜好性を考慮した情報抽出および推薦が行える点にある．」,1493795420.883459
takano,しかし、研究の特徴がやや弱いでしょうか。,1493795393.880227
takano,<@U0JAEV08K> 文章は良くなってきたと思います。,1493795367.877483
tsukiji,<@U0JAEV08K|tsukiji> uploaded a file: <https://kait-takanolab.slack.com/files/tsukiji/F58594E8P/_______________v4.docx|研究計画書v4.docx>,1493719807.620072
tsukiji,昨日書いた研究計画書を自分なりに手直しと，提案する内容とその概要図をつけたしたのでここに送信します,1493719775.615167
tsukiji,"現状行うことは，slackapiの続きと
やりたいことは協調フィルタリングを用いることになりそうだと思ったので，自分のやりたい内容について関連のある協調フィルタリングの研究を調査しています",1493637909.684299
tsukiji,<@U0JAEV08K|tsukiji> uploaded a file: <https://kait-takanolab.slack.com/files/tsukiji/F57KU3NP9/_______________v3.docx|研究計画書v3.docx>,1493637835.680590
tsukiji,研究計画書を書いたのでここで送信します,1493637815.679423
