User,text,time
matsuoka,"5/19 作業報告
･機械学習について、勾配降下法や学習率について要点をまとめ、学習しました
･TensorFlowの特徴を調べました",1495181015.032464
kaiseiaoki,"5/18 作業報告
・発音の評価について調査しました、主にリンキングについて調査しました
・単語の区切りに注目して判定をとることも視野にいれようと考えました
・ユーザ情報を格納するデータベースについて学習しました",1495105335.766319
ko-hei,"5/15
自己推薦の作成
スライドの追加、考察",1494859274.380699
t.kasai,"5/12 作業報告
・速水研の授業演習環境システムのデプロイ
　・Ubuntu 16.04 でサーバ構築
　・ssh、ファイアウォール、apache、php、mysqlの設定
　・ソースコードの動作を確認した（index.php、ログイン機能が動作することを確認）",1494590891.400360
tsukiji,"5/12 作業報告
昨日コメントを頂いた計画書の修正
概要図の作成
月曜に向けたMySQLの環境の手伝い(笠井君と一緒にやりました)
笠井君にサーバ環境の構築方法(sshサーバやファイヤーウォールの設定方法やその大切さを教えてもらいました)",1494590593.340005
yuta,・Rubyのインストール,1494509771.465776
yuta,・MongoDBの勉強,1494509761.462364
yuta,5/11 作業報告,1494509748.457485
ko-hei,"5/10.11

ゼミにて研究の特徴についての指摘を受ける
-&gt;もっと深いアプローチを考える必要あり

ajaxの使用に関する勉強
-&gt;jquary等を用いて動かしてみることからやって行く方向に変更

研究に関するお勉強会
築地さん-&gt;プリントデバック
笠井さん-&gt;vscodeの拡張について",1494492286.316599
shohei516,"築地さんからはPRINTデバッグ, 笠井さんからはVSCodeの拡張の仕方などを教わった。",1494486152.025178
shohei516,論文については序論を読んで何を目的にしているかをまとめた。,1494486056.007799
shohei516,鉄道に関する論文や記事をピックアップ,1494486023.001790
shohei516,5/11 作業報告,1494485982.992756
shohei516,ゼミのスライドの体裁を確認,1494405239.322584
shohei516,ゼミで発表及び質疑応答(ただし、あまりにも体裁がなってなく質疑応答以前の問題だった),1494405218.317757
shohei516,5/10 作業報告,1494405150.302156
kaiseiaoki,"5/9 作業報告
・前日に引き続き発音練習アプリケーションの基本機能を実装しました",1494338056.096237
tsukiji,"5/9 sagyouhoukoku
課題の列挙（やりたいことと混ざっている気がしますが・・・）
もう少しきれいにしたものを木曜までに用意します
KBSの論文の英訳
1章の半分まで行いました。論文の体裁にしたものをこれから作っていくつもりです",1494335152.137178
ko-hei,"5/8.9 
ログ機能を実装するための準備：PHPを使ってデータベースにアクセスし、データを格納する簡単なプログラムを作成
研究用のプログラムを少し解析
発表スライドの作成
Web　Speech　api の各国風音声について",1494333641.724854
shohei516,明日のゼミのスライドの作成,1494312883.579443
shohei516,PHPの学習(引き続きDB連携をメイン),1494312872.577790
shohei516,Google map APIの学習(出発点から目的地までの大まかなルートの表示など),1494312850.574823
shohei516,5/9 作業報告,1494312792.566486
kaiseiaoki,"5/8 作業報告
・発音練習アプリケーションの基本機能を実装しました
・デザインを整えました
それにともない、Bulmaというフレームワークを導入しました",1494248055.559028
kaiseiaoki,・実際にテストするために簡単なUIを作成しました,1493744523.959855
kaiseiaoki,・音声認識のためのAPI(Web Speech API)について　精度や機能などを調査しました。,1493744490.947757
kaiseiaoki,5/2 作業報告,1493744436.926747
tsukiji,"5/2
・研究計画書の作成
研究計画書を作成しました．研究背景と，研究目的，自分が何を行うのかの提案，関連研究について書きました
・関連研究の調査
自分の研究において情報推薦の手法の一つである協調フィルタリングを用いた研究についてどのような手法があるのかをまとめました",1493720820.828663
ko-hei,"5/1.2
Jsのお勉強
・ブラウザオブジェクトについて
 form locationオブジェクトについて
Documentオブジェクトについて
History、Navigataer、Screenオブジェクトについて",1493719419.572105
shohei516,関連研究の調査,1493620542.907131
shohei516,Google map APIについての学習(クリック処理など),1493620532.906521
shohei516,ブラウザ上に駅のデータを表示させるカラムを追加させるためのデータ収集及び表示されるように修正(表示できた),1493620515.905330
shohei516,5/1 報告,1493620434.899868
ko-hei,"4/28 作業報告
JSのお勉強(続き)
・prototypeプロパティについて
・プロトタイプチェーン(JSにおける継承)について
・イベント処理の基本",1493377253.516061
matsuoka,"4/28 作業報告
･転移学習
転移学習を用いている論文や解説をしているサイトを5件ほどチェックしました(後ほどちゃんと読む)",1493370092.990684
ishikawa,"4月28日 作業報告
・ログ収集
Slackのチャットログを利用して日別発言量を収集、データベースに入れる所までやりました
・デスクトップPCの見積もりのお手伝い
4万以内でコスパの高い部品の見積もりのお手伝いをしました",1493369689.893808
shohei516,昨日格納したDBにカラムを増やすためにデータの収集を行った,1493348971.903475
shohei516,再来週のゼミのスライドの作成,1493348942.900522
shohei516,PHPの学習(DBとの連携について),1493348928.898993
shohei516,4/28 作業報告,1493348909.897107
shohei516,DBに入れた駅情報をPHPと連携してブラウザ上に表示させた。,1493286222.871308
shohei516,行った。,1493286191.863923
shohei516,及び吹き出しを表示されるプログラムを,1493286187.863206
shohei516,Google map APIプログラムを用いて経度･緯度を表示させる,1493286167.858426
shohei516,4/27 作業報告,1493286113.845708
kurihara,"04/27 :house: 
* とりあえずソースコードを書いてデータを投げれるようなフォームを作りました",1493285482.697410
ko-hei,"4/27　作業報告
JSのお勉強
・argumentsオブジェクト(引数情報の管理)のcalleeプロパティ(再帰呼び出しを定義する)について
・高級関数(関数の引数に関数を指定)
・スコープチェーン・クロージャ
について勉強しました",1493277047.827709
tsukiji,"<@U0JACJLRJ> いや、おそらくなっていないと思います。
一度文字列に変化するように試行錯誤しています",1493258133.511366
takano,<@U0JAEV08K> 文字列になってる？,1493251789.640786
tsukiji,"4/26 作業報告
既存のSNSなど情報共有サービスの調査(ReserchGateとQiitaとGithub)
それぞれの特徴をまとめてみれるようにスライドを作成しました
slackAPIを用いたプログラムの調整
昨日取得できたログがオブジェクト(?)インスタンス変数(?)でうまくファイルに出力できなく苦戦しています",1493211240.268934
ko-hei,"4/25.26 作業報告
海外研修の事前学習に関する研究と、
iPadを用いたＥlearningシステムに関する研究を、三件ほどまとめました。

ゼミ: 音声の集め方、システムに対する提案、ボトムアップの作業の重要性などを指摘されました。

しばらくは関連研究を調べつつ、JS等の勉強をやっていきたいと思います",1493200433.989039
shohei516,"今日言われた事の確認(DBに格納, ナンバリングの使用の傾向の調査など)",1493200164.927553
shohei516,ゼミにてスライドの発表,1493200089.909977
shohei516,4/26 作業報告,1493200067.905153
tsukiji,"2017/4/25 作業報告
SlackAPIのログを取得するプログラムの作成
指定したログを取るプログラムを作成しました。まだ表示しているだけなので、JSON形式で出力や配列に格納するとかは行っていないです。
こんな感じのと謎の物が混在しているので、うまく整理できればいろいろと捗りそうです
{'type': 'message', 'user': 'U0JACJLRJ', 'text': '卒研中間発表の日が決まりました。', 'ts': '1492073397.554400'}",1493121457.757061
shohei516,明日のゼミ用のスライドの作成,1493102990.991191
shohei516,<https://www.mapion.co.jp/route/>,1493102971.988493
shohei516,↑ 調べたところキョリ測というアプリを見つけた(カロリーもあわせて表示される),1493102954.985895
shohei516,昨日、鷹野先生からのアドバイスについての調査,1493102884.976394
shohei516,PHPの勉強(ユーザ定義関数),1493102860.973151
shohei516,4/25 作業報告,1493102846.971334
ko-hei,了解です,1493094480.118143
takano,報告には、そういう情報も載せてもらった方がわかりやすいです。,1493079197.495906
ko-hei,<@U0JACJLRJ> 三.四件調べました、内容的にまとめられたのは一件だけでした,1493070719.028908
kaiseiaoki,"<@U0JACJLRJ> ほぼ一件です,　
julius という認識エンジンについてを中心に調べました　",1493070519.981153
takano,<@U105P17QT> <@U12475CJC> それぞれ何件くらい調べましたか。,1493070227.909363
umetani,"2017/04/24　作業報告
関連研究のまとめ
ゼミスライドの作成",1493049938.167540
ko-hei,"4/21
関連研究まとめ
海外-&gt;日本に来るための、日本語を学ぶためのＥ-learningシステムについての論文についてまとめました",1493043791.768836
kaiseiaoki,"2017/4/21 作業報告
・音声認識について調査しました",1493037832.836296
yuta,JavaScriptの勉強,1493024343.037090
yuta,2017/04/24 作業報告,1493024333.034959
ishikawa,"2017/04/24 作業報告
・論文の読み進め
読みたかった論文メモを元に、PDFを探して論文を読みました
・Python開発環境の構築
Anacondaを利用してPython環境を構築、VSCodeで開発出来るまでの環境を構築しました",1493022846.697601
shohei516,作業報告 追記2: Google map等を用いてカロリーの計算が出来るかなど、高野先生からアドバイスをもらった,1493017936.721883
shohei516,作業報告 追記: 高橋さんの卒研のシステムの構築,1493017001.569023
takano,<@U10J4NGHH> 私からも一応アドバイスしたので、その情報も加えてもらえると、アドバイスのしがいがあったと思うことができます。,1493016881.551055
shohei516,あさってのゼミで発表するスライドの作成,1493016776.535614
shohei516,PHPの勉強(関数について),1493016758.533013
shohei516,4/24 作業報告,1493016739.530424
tsukiji,"2017/4/21 作業報告
研究計画のスライドの調整
前回指摘された、スライド・ブログ・Twitterについての関連研究を参考とした利点と研究目的を表にまとめて見やすくしました
自分がやりたいことの基盤になるような構想を図にして表現しました

研究室で使用されていなかったデスクトップパソコンの確認
使われていないデスクトップパソコンのスペックを確認しました
それぞれのスペックは以下のようでした
エイスースのケースのデスクトップ
CPU　AMD？
RAM　２GB
HDD　総計500GB
GPU　GT9600
DELLのデスクトップ
CPU　i3
RAM　４GB
HDD　300GB
GPU　なし
デスクトップを使うとなると、先輩のデータの保存と
マザボからそう取り換えが必要そうです。",1492776978.654178
kaiseiaoki,"2017/4/21 作業報告
・音声認識について調査しました
・テスト用のデータを用意しました",1492775104.290014
ishikawa,"2017/04/21 作業報告
・VSCode周りの環境構築
AtomからVSCodeに先日移行したので、C/C++/Ruby辺りをVSCode上で
実行出来る様に環境を整えた
・C++/Rubyの勉強
Paizaのスキルチェックの問題をRuby/C++で解いた",1492770494.468865
kaiseiaoki,"2017/4/20 作業報告
・音声認識について調査しました",1492701998.581798
takahashiy,"4月20日
関連研究の調査
pythonの勉強",1492699067.381588
takahashiy,"4/19 作業報告
卒研についての発表
質疑応答
次回までの課題の確認",1492611428.482347
shohei516,来週中に今日言われた質問等を答えたうえでスライドを作成,1492593289.033665
shohei516,卒研の概要についての発表及び質疑応答,1492593253.025330
shohei516,PHPの勉強,1492593229.019854
shohei516,4/19 作業報告,1492593220.017798
tsukiji,後ろが空いている棚だけでもかなりあるので、もっといいものがあるのかもしれないです,1492517582.197618
takano,追加の棚はあるみたい。,1492517459.162504
takano,良さそうですね。段はもうちょっと増やせたりするかな。,1492517352.131662
tsukiji,"2017/4/18 作業報告
・スライドに関する関連研究のまとめ作業
昨日に引き続きスライドに関する研究をまとめていました
スライドに大まかな内容を詰め込む作業を明日やろうかなと思います

ノートパソコン置くラックですが無印良品に良いのがありそうなので先生も見てみると良いかもしれないです
下のサイトで奥行などの絞り込みができます
<https://www.muji.net/store/pc/user/sizesearch/index.html>
こういうのいいかなと思います
<https://www.muji.net/store/cmdty/detail/4934761179421>",1492517073.051767
ko-hei,"4/17
・金曜日に引き続き、関連研究の検索
・関連研究から問題を選定し、研究の方向性をある程度定めることができた
・スライドに問題提起と関連研究の項目を追加",1492443636.551492
ishikawa,"2017/4/17 作業報告
・面接対策
キャリアアドバイザーの清田さんに今後の選考でのアドバイスなどを頂きました。なかなか面白い人でした。
・関連研究のリストアップ
今後すぐに調査に取り掛かれる様、気になった論文をWordにまとめました。
・システム図の作成
フィードバックを元にシステム図を作成し、卒論スライドに組み込みました。",1492438090.017373
kaiseiaoki,"2017/4/17 作業報告
・発表用の資料の作成と研究の方針について考察をまとめました
・研究テーマ候補の関連研究を調査しました",1492433105.042498
tsukiji,"2017/04/17 作業報告
関連研究のまとめ
・以前から調べていた関連研究をexcelにまとめながら、その研究が課題としている点、ブログやtwitterに着目している点をまとめました
明日はスライドに関する研究をまとめるつもりです",1492431521.842806
takano,<@U107MMD8Q> OpenCVの環境構築ははまる人も多いので、わかりそうな人にも相談しながらやってみてください。,1492180332.796377
umetani,"2017/04/14　作業報告
・PHPの勉強(データベースとの連携について)
・研究内容の見直し(どんなものを作りたいかを見直してはっきりさせました)",1492178555.365192
ko-hei,"4/14 作業報告
ゼミで指摘された部分のスライドの作成、追加
-&gt;自分の考えをよりまとめられた

関連研究の検索
自分の研究に関連しそうな研究の論文を二つほど調べてまとめる
-&gt;解決されていない問題点を発見でき、また自分の考えとは違う観点の機能も知ることができた",1492170798.009673
