User,text,time
matsuoka,".,.．",1495618993.751574,2017-05-24 18:43:13.751574
ishikawa,<@U106UP90U|ishikawa> shared a file: <https://kait-takanolab.slack.com/files/ishikawa/F5H81RLMS/_____________2017_05_24|セミナー 2017/05/24>,1495618770.695358,2017-05-24 18:39:30.695358
kaiseiaoki,午後には行きます,1495418300.981887,2017-05-22 10:58:20.981887
ishikawa,<@U106UP90U|ishikawa> shared a file: <https://kait-takanolab.slack.com/files/ishikawa/F5DR8BE0G/_____________2017_05_17|セミナー 2017/05/17>,1495014315.847413,2017-05-17 18:45:15.847413
tsukiji,<!channel> 勉強会いまからやるよー,1494478794.957298,2017-05-11 13:59:54.957298
kaiseiaoki,今日の勉強会ですが、テーマや課題はありますか？　院生の会議が終了したら一度、机に集まりますか？,1494474814.522845,2017-05-11 12:53:34.522845
kaiseiaoki,遅れて出席しました　申し訳ないです,1494474748.516026,2017-05-11 12:52:28.516026
shohei516,それぞれの机に置いときましたので、確認の方をよろしくお願いします。,1494471517.149409,2017-05-11 11:58:37.149409
shohei516,緑の就活状況シートが返却されました。,1494471494.146771,2017-05-11 11:58:14.146771
ishikawa,<@U106UP90U|ishikawa> shared a file: <https://kait-takanolab.slack.com/files/ishikawa/F5B5N1T8T/_____________2017_05_10|セミナー 2017/05/10>,1494402989.894468,2017-05-10 16:56:29.894468
tsukiji,"<@U107MMD8Q> そろそろ自分のシステムを作っていくために必要な技術の調査(もうやった？)や実際に動かしてみる事をやるといいかも
自分のシステムと関係のあることを念頭においてやってください",1494400235.344763,2017-05-10 16:10:35.344763
tsukiji,<@U107MMD8Q> <http://ci.nii.ac.jp/naid/110009486428>,1494399963.298735,2017-05-10 16:06:03.298735
tsukiji,"<@U106Y1J7N> 関連研究が何を解決しようとしたのかをいくつか列挙することで自分が解決したい課題を考える足掛かりにしよう
すでにスライドに書いた課題も研究になりうる課題点なのでそれも考慮してみよう
先生がタブレットで学習する環境の話もここにつながるヒントです
課題だけでなく，「なぜそれが課題になるのか」の説明をセットにまとめることでその研究の重要性が伝わりやすいです
「なぜそれが課題になるのか」は研究背景につながります",1494399720.256263,2017-05-10 16:02:00.256263
tsukiji,"<@U105P17QT> 既存のシステムと比べてどのように発音が上達するのか
→苦手問題を推薦して教育する過程が売りなのか
→音節に注目して練習することが他と比べて上達が見込めるとか
特にどの部分が自分にとって重要なのかを確認するのかも含めて掘り下げたスライドを作ってみよう",1494399201.170895,2017-05-10 15:53:21.170895
tsukiji,"<@U123ZGHM2> 関連研究ではどんな課題を解決するために行ったのかまで見てみると自分の研究の課題の設定に繋げよう．
どういう事をするためにPHPとデータベースの使い方を勉強したのかを書いてスライドの補強をしよう
例：料理とその中に含まれる栄養素をデータベースに登録することで，ブラウザベースでユーザに料理を推薦するようなシステムを作るために～など",1494398220.025314,2017-05-10 15:37:00.025314
tsukiji,"<@U106UP90U> slackを対象にした理由をスライドにまとめてみること(slackにはどのような知識データが存在するのか，これを得ることで自分の研究にどう関係していくのか)
ただデータをまとめるのではなく，まとめたうえでどうするのかorどのような方法でデータを集めるのかを着眼して関連研究などを調べてみること",1494397950.985823,2017-05-10 15:32:30.985823
takano,<@U106Y1J7N> それも含めて検討してみてもらえますか。UI設計も重要なファクターになると思います。,1494308619.051384,2017-05-09 14:43:39.051384
kurihara,<@U0JACJLRJ> 面白そうだとは思います。具体的になんのプログラミングをしたいかにもよるとは思いますが…,1494307946.984821,2017-05-09 14:32:26.984821
takano,<@U106Y1J7N> タブレットでできるプログラミング学習を何か考案できませんか。,1494307823.972458,2017-05-09 14:30:23.972458
takano,"２台のモニターについて：
新しいモニタが来た際に、モニターの割り当てが最適になるように調整してください。
使わないとか、余った（つもりになって）適当な場所に放置しないようにしましょう。
必要だから買ったはずなので。",1493849544.948055,2017-05-04 07:12:24.948055
takano,<@U0JAEV08K> どうもありがとう。,1493795278.222674,2017-05-03 16:07:58.222674
tsukiji,<@U0JAEV08K|tsukiji> uploaded a file: <https://kait-takanolab.slack.com/files/tsukiji/F56HT6NM6/2017________________.xlsx|2017_研究室備品.xlsx>,1493703351.137298,2017-05-02 14:35:51.137298
tsukiji,リンクに不備があったので，修正版を送ります,1493703331.135210,2017-05-02 14:35:31.135210
tsukiji,"<!channel> 
研究室の要望の備品についてまとめました
先生にはこれを参考にして頂ければ幸いです。
4年生の人も他に何か欲しいものがあれば申請してください",1493691052.877840,2017-05-02 11:10:52.877840
shohei516,<@U10J4NGHH|shohei516> shared a file: <https://kait-takanolab.slack.com/files/shohei516/F54JPDAJX/-|Untitled>,1493198908.542420,2017-04-26 18:28:28.542420
ko-hei,<@U12475CJC|ko-hei> shared a file: <https://kait-takanolab.slack.com/files/ko-hei/F54N7RVHS/-|Untitled>,1493198820.520116,2017-04-26 18:27:00.520116
ishikawa,<@U106UP90U|ishikawa> shared a file: <https://kait-takanolab.slack.com/files/ishikawa/F55DREF7Z/_____________2017_04_26|セミナー 2017/04/26>,1493196387.899451,2017-04-26 17:46:27.899451
kaiseiaoki,↑各国風に読み上げ,1493189914.502063,2017-04-26 15:58:34.502063
kaiseiaoki,<http://www.cyokodog.net/blog/web-speechi-api/>,1493189908.501054,2017-04-26 15:58:28.501054
kaiseiaoki,<@U105P17QT|kaiseiaoki> shared a file: <https://kait-takanolab.slack.com/files/kaiseiaoki/F53U5R2BS/4___26________________________|4月26日セミナー意見集>,1493185272.868855,2017-04-26 14:41:12.868855
ishikawa,"<!channel> 
3年生のセミナーには特別な理由が無い限り出て欲しいそうです。先生が「透明になるぞ」って言ってました。",1493180573.354945,2017-04-26 13:22:53.354945
takano,"<@U0JAEV08K> モニターとモニターアームについては、４年生に確認をお願い。
その他備品についてもヒアリングするなどして、候補のリスト化をお願い。

メモ： 
[廃棄]
プリンター

[物品]
モニター
SSD
モニターアーム
キーボード
マウス
PCラック
デスクトップPCの中身",1492655902.549437,2017-04-20 11:38:22.549437
takahashiy,<@U107G430F|takahashiy> shared a file: <https://kait-takanolab.slack.com/files/takahashiy/F521Z0F8E/4_19________________________|4/19　セミナーまとめ>,1492593386.847181,2017-04-19 18:16:26.847181
tsukiji,<http://yoshichiha.com/2013/08/20/asuken-diet-and-nutrition-advice>,1492590593.167901,2017-04-19 17:29:53.167901
ishikawa,<@U106UP90U|ishikawa> shared a file: <https://kait-takanolab.slack.com/files/ishikawa/F520KRJKY/__________________2017_04_19___|質問・意見（2017/04/19）>,1492586016.202818,2017-04-19 16:13:36.202818
kurihara,青木くん: 発音の正解データをどうやって用意するのか？（曖昧）,1492585906.182306,2017-04-19 16:11:46.182306
kurihara,pinyin（ピンイン）,1492585400.090371,2017-04-19 16:03:20.090371
takano,"スライド番号
卒研で解決する課題
英語学習のトレンド",1492584803.987504,2017-04-19 15:53:23.987504
kaiseiaoki,<@U105P17QT|kaiseiaoki> shared a file: <https://kait-takanolab.slack.com/files/kaiseiaoki/F513W4FD1/4_19_______________________________________|4/19　セミナー意見まとめ　青木>,1492584724.975052,2017-04-19 15:52:04.975052
kurihara,星野くん: 既存のデータベースを利用する方式でも良いのではないか,1492584044.869017,2017-04-19 15:40:44.869017
t.kasai,<@U0J8PMAQJ|t.kasai> pinned <@U0JAEV08K|tsukiji>’s PowerPoint Presentation <https://kait-takanolab.slack.com/files/tsukiji/F4Z812GN6/_________________________________.pptx|卒論とセミナーの進め方.pptx> to this channel.,1492144994.018122,2017-04-14 13:43:14.018122
tsukiji,"卒論やセミナーをやるうえで、必要そうなことをまとめておいたので参考にしてください
説明は。。。みんないるときにやる・・・かもしれない",1492144953.015260,2017-04-14 13:42:33.015260
tsukiji,<@U0JAEV08K|tsukiji> uploaded a file: <https://kait-takanolab.slack.com/files/tsukiji/F4Z812GN6/_________________________________.pptx|卒論とセミナーの進め方.pptx>,1492144863.008276,2017-04-14 13:41:03.008276
kurihara,<@U106Y1J7N|kurihara> set the channel purpose: 鷹野セミナーの2017年4月現在4年生用チャンネル,1492134407.060367,2017-04-14 10:46:47.060367
tsukiji,"昨日のセミナーで皆に質問した内容をまとめました(一部おぼろげです)
メモとか忘れた人は参考にしてみてください
無理に全部直そうとはせず、来週の時にできたことろを反映していってください",1492079898.226447,2017-04-13 19:38:18.226447
tsukiji,<@U0JAEV08K|tsukiji> commented on <@U0JAEV08K|tsukiji>’s file <https://kait-takanolab.slack.com/files/tsukiji/F4YM08C4T/_______________________________________|昨日のセミナーの意見＆質問>: 昨日のセミナー,1492079817.211320,2017-04-13 19:36:57.211320
tsukiji,<@U0JAEV08K|tsukiji> shared a file: <https://kait-takanolab.slack.com/files/tsukiji/F4YM08C4T/_______________________________________|昨日のセミナーの意見＆質問>,1492079817.211282,2017-04-13 19:36:57.211282
t.kasai,<@U0J8PMAQJ|t.kasai> pinned <@U0JAEV08K|tsukiji>’s PowerPoint Presentation <https://kait-takanolab.slack.com/files/tsukiji/F4XAUG34Y/__________________2017.pptx|卒研の進め方2017.pptx> to this channel.,1491977270.059457,2017-04-12 15:07:50.059457
tsukiji,<@U0JAEV08K|tsukiji> uploaded a file: <https://kait-takanolab.slack.com/files/tsukiji/F4XAUG34Y/__________________2017.pptx|卒研の進め方2017.pptx> and commented: 先生のを転載,1491976706.983327,2017-04-12 14:58:26.983327
t.kasai,<@U0J8PMAQJ|t.kasai> has joined the channel,1491974942.786969,2017-04-12 14:29:02.786969
ko-hei,水曜のセミナーでそこも発表してほしいそうです。,1491808393.100952,2017-04-10 16:13:13.100952
ko-hei,<!channel> 　e-learning系をやる人は、「そのシステムを利用することによって、どのような効果がでるのか」を考えることが大事だと鷹野先生から言われました。,1491808303.086266,2017-04-10 16:11:43.086266
ishikawa,<@U106UP90U|ishikawa> pinned a message to this channel.,1490254927.240375,2017-03-23 16:42:07.240375
ishikawa,<@U0JACJLRJ|takano> commented on <@U0JACJLRJ|takano>’s file <https://kait-takanolab.slack.com/files/takano/F4P5RD2HL/-|Untitled>: てすと,1490253945.105222,2017-03-23 16:25:45.105222
takano,<@U0JACJLRJ|takano> shared a file: <https://kait-takanolab.slack.com/files/takano/F4P5RD2HL/-|Untitled>,1490253945.105212,2017-03-23 16:25:45.105212
takano,----,1490253896.098739,2017-03-23 16:24:56.098739
takano,上村,1490253895.098611,2017-03-23 16:24:55.098611
takano,----,1490253889.097837,2017-03-23 16:24:49.097837
takano,- b,1490253882.096928,2017-03-23 16:24:42.096928
takano,- a,1490253880.096594,2017-03-23 16:24:40.096594
takano,<@U0JACJLRJ|takano> pinned a message to this channel.,1490253843.091329,2017-03-23 16:24:03.091329
takano,ところで、,1490253817.087685,2017-03-23 16:23:37.087685
takano,引継ぎの担当者です。,1490253784.083436,2017-03-23 16:23:04.083436
takano,"清水	齊藤、高橋、松岡
高橋	齊藤、石川、青木
築地	栗原、上村
大滝	松岡、高橋、栗原
熊田	星野、青木、梅谷
笠井	石川、上村",1490253737.076922,2017-03-23 16:22:17.076922
ishikawa,今日のセミナーですが、渋滞のため遅れます。,1484100357.000002,2017-01-11 11:05:57.000002
