user,count
502takara323bako831,0
bobobobobobobobo,0
daiju.haga-1521042,0
djmmanganip,0
fonsgov,0
googledrive,0
hisatsugu_1521038,0
ishikawa,3
kaiseiaoki,52
kimura_fuuga,0
ko-hei,110
kumada,0
kurihara,30
leeke,0
matsumoto,0
matsuoka,13
miyashita,0
naito,0
oosawa,0
otaki,0
polly,0
s1421163,2
s1521046,0
s1521078,0
s1521166,0
s1521178,0
s1621049,2
s1621071,1
s1621086,0
s1621093,2
s1621155,0
s1721059,0
satotoshiki,0
sebastian,0
shibamoto,2
shigetatomoki,0
shimizu,0
shohei516,10
soccer.barca2423,0
syun070822,0
t.kasai,63
takahashim,0
takahashiy,15
takano,442
terada,0
toshiya_iiba,0
tsukiji,118
umetani,3
urano_ryoya,0
yuta,5
slackbot,0
