User,text,timestamp,time
B6EK7H622,`<https://github.com/kait-takanolab/1321084-aoki-sotuken/commit/11a1607204e48392e9d2e2d93601e486872426a8|11a1607>` 録音中であるとことを知らせるメッセージを表示する - kaseiaoki,1501405088.372061,2017-07-30 17:58:08.372061
B6EK7H622,`<https://github.com/kait-takanolab/1321084-aoki-sotuken/commit/40e59f40604a471c53ffe3ab969ea6a616e6c7fe|40e59f4>` 正否判定しやすいように問題の文字列を置換するようにした - kaseiaoki,1501426054.598557,2017-07-30 23:47:34.598557
B6EK7H622,`<https://github.com/kait-takanolab/e-listening/commit/4d52780b09fb6d1dfd3d2147938a3ce7a9650a91|4d52780>` 仮管理者画面に，学習履歴を削除できるボタンを設置 - kohei1110,1501577580.385509,2017-08-01 17:53:00.385509
B6EK7H622,`<https://github.com/kait-takanolab/e-listening/commit/e1d11ccd1240b99280e6d4646f53c092894311c3|e1d11cc>` 空欄数が10以外でも正答率を計算可＆正解数と全空欄数をデータべースに記録 - kohei1110,1501744374.798863,2017-08-03 16:12:54.798863
B6EK7H622,`<https://github.com/kait-takanolab/1421083-kurihara-sotsuken/commit/866127551e52650470deaacd97832ee4dd5d8485|8661275>` Implement simple editor - sunya9,1501744968.958616,2017-08-03 16:22:48.958616
B6EK7H622,`<https://github.com/kait-takanolab/1421102-Saito-sotsuken/commit/99823b2f8806e82266751e75b792069da397b31e|99823b2>` DB内に格納した単語があるかのプログラム - shohei516,1501814028.808534,2017-08-04 11:33:48.808534
B6EK7H622,`<https://github.com/kait-takanolab/1421102-Saito-sotsuken/commit/d5bc3f3f9395653bd91e064b7547f4bf1046f220|d5bc3f3>` Update README.md - shohei516,1501815929.129876,2017-08-04 12:05:29.129876
B6EK7H622,"`<https://github.com/kait-takanolab/1421083-kurihara-sotsuken/commit/d36141bebf5bcefd48c0b60afba2a03f77dd0830|d36141b>` Add dotenv - sunya9
 `<https://github.com/kait-takanolab/1421083-kurihara-sotsuken/commit/289cb46898b62601ace2b86659b39a607b34b89e|289cb46>` Add pm2 - sunya9",1501821734.029666,2017-08-04 13:42:14.029666
B6EK7H622,`<https://github.com/kait-takanolab/1421083-kurihara-sotsuken/commit/b7f31370bd45d5159d292b9dbd0ab99abb317791|b7f3137>` Fix script - sunya9,1501821837.045244,2017-08-04 13:43:57.045244
B6EK7H622,`<https://github.com/kait-takanolab/1421083-kurihara-sotsuken/commit/ba0e2c118ce5a1a6aff8af79dbaeb2ca331de7a5|ba0e2c1>` Add build command - sunya9,1501905782.220688,2017-08-05 13:03:02.220688
