user,message_count
502takara323bako831,0
daiju.haga-1521042,13
djmmanganip,0
fonsgov,0
hisatsugu_1521038,16
ishikawa,11
kaiseiaoki,22
kimura_fuuga,0
ko-hei,32
kumada,0
kurihara,13
leeke,0
matsumoto,0
matsuoka,0
miyashita,0
naito,0
oosawa,0
otaki,0
s1421163,0
s1521046,0
s1521078,0
s1521166,0
s1521178,0
s1621049,2
s1621071,0
s1621086,0
s1621093,0
s1621155,0
s1721059,0
satotoshiki,0
sebastian,0
shibamoto,28
shigetatomoki,29
shimizu,0
shohei516,0
soccer.barca2423,0
syun070822,7
t.kasai,56
takahashim,2
takahashiy,0
takano,137
terada,0
toshiya_iiba,0
tsukiji,27
umetani,0
urano_ryoya,16
yuta,0
